source_id,citation_short,dataset_role,data_level,figure_table_or_section,page_or_location,field_name,value_raw,value_numeric,unit,statistic_type,uncertainty_value,uncertainty_unit,n,extraction_method,extraction_script_or_command,source_local_path,source_quote_short,confidence,provenance_note,usable_for_route1
harnett_2012,Harnett et al. 2012 Nature,harnett_gold_anchor,summary_model,Supplementary Fig. 1 caption,supplement PDF text lines near Supplementary Fig. 1,R_neck_model_or_summary,~500 MOhm,500,MOhm,single_value,,,,machine_read_pdf_text,,data\external_empirical\phase0_1_sources\extracted_text\harnett_supplementary_information.txt,Rneck approx 500 MOhm,medium,Machine-readable supplement states a large spine neck resistance around 500 MOhm in schematic/model framing.,conditional
harnett_2012,Harnett et al. 2012 Nature,harnett_gold_anchor,reported_range,Abstract / publisher landing HTML,HTML abstract text,reported_amplification_range_min,1.5-fold,1.5,fold,range_min,,,,machine_read_html,,data\external_empirical\phase0_1_sources\extracted_text\harnett_nature11554_html.txt,amplify 1.5-fold,medium,Publisher HTML reports lower end of amplification range; not a paired per-spine row.,conditional
harnett_2012,Harnett et al. 2012 Nature,harnett_gold_anchor,reported_range,Abstract / publisher landing HTML,HTML abstract text,reported_amplification_range_max,45-fold,45,fold,range_max,,,,machine_read_html,,data\external_empirical\phase0_1_sources\extracted_text\harnett_nature11554_html.txt,amplify 45-fold,medium,Publisher HTML reports upper end of amplification range; not a paired per-spine row.,conditional
harnett_2012,Harnett et al. 2012 Nature,harnett_gold_anchor,summary_model,Supplementary Fig. 7 caption,supplement PDF text lines near Supplementary Fig. 7,Rdend_model_parameter,Rdend = 125 MOhm,125,MOhm,single_value,,,,machine_read_pdf_text,,data\external_empirical\phase0_1_sources\extracted_text\harnett_supplementary_information.txt,Rdend 125 MOhm,high,"Machine-readable supplement gives a model dendritic load proxy, not measured native R_d-EPSC.",conditional
harnett_2012,Harnett et al. 2012 Nature,harnett_gold_anchor,summary_model,Supplementary Fig. 7 caption,supplement PDF text lines near Supplementary Fig. 7,R_neck_model_parameter,Rneck = 500 MOhm,500,MOhm,single_value,,,,machine_read_pdf_text,,data\external_empirical\phase0_1_sources\extracted_text\harnett_supplementary_information.txt,Rneck 500 MOhm,high,Model parameter paired with Rdend = 125 MOhm in the supplement; not measured native paired row.,conditional
harnett_2012,Harnett et al. 2012 Nature,harnett_gold_anchor,summary_model,Supplementary Fig. 8 caption,supplement PDF text lines near Supplementary Fig. 8,model_spine_distance_from_soma,213 um from soma,213,um,single_value,,,,machine_read_pdf_text,,data\external_empirical\phase0_1_sources\extracted_text\harnett_supplementary_information.txt,213 um from soma,high,Machine-readable supplement gives one model-spine location.,conditional
harnett_2012,Harnett et al. 2012 Nature,harnett_gold_anchor,summary_measured,Supplementary Fig. 6 caption,supplement PDF text lines near Supplementary Fig. 6,long_neck_subset_n_spines,n = 8 spines from 4 cells,8,spines,n,,,,machine_read_pdf_text,,data\external_empirical\phase0_1_sources\extracted_text\harnett_supplementary_information.txt,n=8 spines,high,Subset count for long-neck comparison; no per-spine load values recovered.,false
harnett_2012,Harnett et al. 2012 Nature,harnett_gold_anchor,unavailable,native measured Harnett paired-load dataset,machine-readable sources acquired in Phase 0.1,exact_native_paired_R_neck_and_R_d_EPSC_rows,not recovered,,not_applicable,not_applicable,,,,not_recoverable,,,not recovered,rejected,"Exact reported mean around 514 MOhm, AR around 49, and paired measured R_d-EPSC rows were not machine-recovered from acquired text sources.",false
popovic_2015,Popovic et al. 2015 Nat Commun,popovic_low_isolation,summary_measured,Results / Fig. 5,PDF text around Fig. 5,representative_Rneck_iontophoresis,Rneck = 15 MOhm,15,MOhm,single_value,,,1 representative experiment,machine_read_pdf_text,,data\external_empirical\phase0_1_sources\extracted_text\popovic_ncomms9436.txt,Rneck 15 MOhm,high,Representative measured example calculated from measured parameters; not a complete per-spine table.,conditional
popovic_2015,Popovic et al. 2015 Nat Commun,popovic_low_isolation,summary_measured,Results / Fig. 5,PDF text around Fig. 5,representative_Zdendrite_iontophoresis,Zdendrite = 197 MOhm,197,MOhm,single_value,,,1 representative experiment,machine_read_pdf_text,,data\external_empirical\phase0_1_sources\extracted_text\popovic_ncomms9436.txt,Zdendrite 197 MOhm,high,Representative measured example calculated from measured parameters.,conditional
popovic_2015,Popovic et al. 2015 Nat Commun,popovic_low_isolation,summary_measured,Results / Fig. 5,PDF text around Fig. 5,representative_Rneck_2p_uncaging,Rneck = 29 MOhm,29,MOhm,single_value,,,1 representative experiment,machine_read_pdf_text,,data\external_empirical\phase0_1_sources\extracted_text\popovic_ncomms9436.txt,Rneck 29 MOhm,high,Representative measured example calculated from measured parameters.,conditional
