source_id,citation_short,doi,role,attempted_url_or_identifier,acquisition_route,acquisition_status,local_path,content_type,license_or_access_note,sha256,acquired_datetime_local,failure_reason,notes
harnett_2012,Harnett et al. 2012 Nature,10.1038/nature11554,gold_anchor,https://doi.org/10.1038/nature11554,DOI landing page,acquired,data\external_empirical\phase0_1_sources\raw_private\harnett_nature11554.html,text/html,Local private feasibility copy; raw full text excluded from checkpoint.,16268371468bdf620fe3fc09c3e83cd8019c635f553aef94020054b75a49fffc,2026-06-13T16:37:26-04:00,,Publisher landing HTML acquired programmatically; useful for abstract-level summary only.
harnett_2012,Harnett et al. 2012 Nature,10.1038/nature11554,gold_anchor,PMID 23103868 -> PMCID PMC3504647,PubMed Central / idconv metadata,metadata_only,,application/json,PMC ID conversion metadata only.,,2026-06-13T16:37:26-04:00,,"PMCID identified, but full OA package was not retrievable."
harnett_2012,Harnett et al. 2012 Nature,10.1038/nature11554,gold_anchor,PMC3504647 OA package FTP,PubMed Central / author manuscript,not_found,,,PMC OA record had no usable package for this run.,,,FTP package path returned not found.,
harnett_2012,Harnett et al. 2012 Nature,10.1038/nature11554,gold_anchor,Nature supplementary information PDF,Publisher supplemental files,acquired,data\external_empirical\phase0_1_sources\raw_private\harnett_supplementary_information.pdf,application/pdf,Local private feasibility copy; raw full text excluded from checkpoint.,2199d161ab3c30580050779986e26b0934f844d172a951fd57a4b1c9379599c3,2026-06-13T16:37:26-04:00,,Supplementary PDF was converted with pdftotext for machine-readable extraction.
popovic_2015,Popovic et al. 2015 Nat Commun,10.1038/ncomms9436,low_isolation_contrast,https://doi.org/10.1038/ncomms9436,DOI landing page,acquired,data\external_empirical\phase0_1_sources\raw_private\popovic_ncomms9436.html,text/html,Local private feasibility copy; raw full text excluded from checkpoint.,39f560a47dfdfcf03b03953b653e6c8e2ba5b9ded91c7e120dcf810313341da9,2026-06-13T16:37:26-04:00,,Publisher HTML acquired programmatically.
popovic_2015,Popovic et al. 2015 Nat Commun,10.1038/ncomms9436,low_isolation_contrast,EuropePMC PMCID PMC4594633 PDF,PubMed Central / publisher PDF,acquired,data\external_empirical\phase0_1_sources\raw_private\popovic_ncomms9436.pdf,application/pdf,OA metadata indicated CC BY; raw still excluded from checkpoint by Phase 0.1 policy.,e9cc71515c75f8a0df4085768eef9b1f62ac75baa10f80e080034badbfee82a6,2026-06-13T16:37:26-04:00,,PDF text was machine-extractable and contains measured Rneck/Zdendrite summaries.
popovic_2015,Popovic et al. 2015 Nat Commun,10.1038/ncomms9436,low_isolation_contrast,Nature supplementary information PDF,Publisher supplemental files,acquired,data\external_empirical\phase0_1_sources\raw_private\popovic_supplementary_information.pdf,application/pdf,Local private feasibility copy; raw full text excluded from checkpoint.,7a6ffefae246468750bb8eb32ca1ea24955509bcd304a51c09aad31c96b5e4e2,2026-06-13T16:37:26-04:00,,"Supplement acquired, but main PDF text carried the needed summary values."
kwon_2017,Kwon et al. 2017 Cell Reports,10.1016/j.celrep.2017.07.012,low_isolation_contrast,Crossref/EuropePMC DOI metadata,Crossref or PubMed metadata,metadata_only,,application/json,Bibliographic metadata only; not used for numeric extraction.,,2026-06-13T16:37:26-04:00,,Metadata confirms target but does not provide paired load/Rneck values.
kwon_2017,Kwon et al. 2017 Cell Reports,10.1016/j.celrep.2017.07.012,low_isolation_contrast,EuropePMC PMCID PMC5709047 PDF render,PubMed Central / publisher PDF,failed,,,No local full-text copy retained.,,,EuropePMC PDF render returned server error during programmatic acquisition.,
kwon_2017,Kwon et al. 2017 Cell Reports,10.1016/j.celrep.2017.07.012,low_isolation_contrast,ScienceDirect/Cell PDF URL,Publisher HTML/PDF,blocked_paywall,,,Publisher direct PDF blocked for automated retrieval.,,,HTTP 403/paywall-style block.,
cornejo_2022,Cornejo et al. 2022 Science,10.1126/science.abg0501,voltage_compartment_contrast,Crossref/EuropePMC DOI metadata,Crossref or PubMed metadata,metadata_only,,application/json,Bibliographic metadata only; not used as primary numeric data.,,2026-06-13T16:37:26-04:00,,Metadata supports contrast-only source role.
cornejo_2022,Cornejo et al. 2022 Science,10.1126/science.abg0501,voltage_compartment_contrast,Science/Unpaywall public PDF URL,Publisher PDF,blocked_paywall,,,No local full-text copy retained.,,,HTTP 403 during scripted PDF retrieval.,
zecevic_2023,Zecevic 2023 Biophys J,10.1016/j.bpj.2023.10.008,interpretive_review,EuropePMC PMCID PMC10698282 PDF,PubMed Central / publisher PDF,acquired,data\external_empirical\phase0_1_sources\raw_private\zecevic_bpj_2023.pdf,application/pdf,Local private feasibility copy; raw full text excluded from checkpoint.,e94615a76130e56746f5a6403ad59c19bb1da5512718501b1d6b2d8fe68c7413,2026-06-13T16:37:26-04:00,,Review PDF text was machine-extractable and used only for framing/context.
