row_id,source_id,citation_short,dataset_role,data_level,measured_or_model,recommended_marker_group,load_model_id,load_model_value_MOhm,load_model_source,load_model_assumption,source_native_to_row,measured_same_source_load,R_neck_MOhm,rho_L,Gamma_div,rho_L_class,source_native_rho_L,source_native_Gamma_div,calculation_note
harnett_2012_summary_model_anchor,harnett_2012,Harnett et al. 2012 Nature,harnett_high_isolation_anchor,summary_model,model_summary,Harnett_summary_model,source_native,125,Harnett_model_Rdend,row load_provenance=model_reported_same_source,true,false,500,4,0.2,high_gte_0p75,4,0.2,Phase 2a summary-level load-model overlay; not a per-spine sweep.
popovic_2015_measured_summary_anchor,popovic_2015,Popovic et al. 2015 Nat Commun,popovic_low_isolation_anchor,summary_measured,measured_summary,Popovic_measured_summary,source_native,275,Popovic_Zdendrite,row load_provenance=measured_same_source,true,true,27,0.09818181818,0.9105960265,low_lt_0p25,0.0981818182,0.910596026,Phase 2a summary-level load-model overlay; not a per-spine sweep.
popovic_2015_model_fit_reference,popovic_2015,Popovic et al. 2015 Nat Commun,popovic_low_isolation_anchor,summary_model,model_summary,Popovic_model_fit,source_native,564,Popovic_Zdendrite,row load_provenance=model_reported_same_source,true,false,40.5,0.07180851064,0.9330024814,low_lt_0p25,0.0718085106,0.933002481,Phase 2a summary-level load-model overlay; not a per-spine sweep.
harnett_2012_summary_model_anchor,harnett_2012,Harnett et al. 2012 Nature,harnett_high_isolation_anchor,summary_model,model_summary,Harnett_summary_model,common_SPINE_baseline_144p487,144.487,SPINE baseline common-reference load specified for Phase 2a,Computational common reference; not a biological measurement.,false,false,500,3.460518939,0.2241891613,high_gte_0p75,4,0.2,Phase 2a summary-level load-model overlay; not a per-spine sweep.
popovic_2015_measured_summary_anchor,popovic_2015,Popovic et al. 2015 Nat Commun,popovic_low_isolation_anchor,summary_measured,measured_summary,Popovic_measured_summary,common_SPINE_baseline_144p487,144.487,SPINE baseline common-reference load specified for Phase 2a,Computational common reference; not a biological measurement.,false,false,27,0.1868680227,0.842553663,low_lt_0p25,0.0981818182,0.910596026,Phase 2a summary-level load-model overlay; not a per-spine sweep.
popovic_2015_model_fit_reference,popovic_2015,Popovic et al. 2015 Nat Commun,popovic_low_isolation_anchor,summary_model,model_summary,Popovic_model_fit,common_SPINE_baseline_144p487,144.487,SPINE baseline common-reference load specified for Phase 2a,Computational common reference; not a biological measurement.,false,false,40.5,0.2803020341,0.7810656965,intermediate_0p25_to_lt_0p75,0.0718085106,0.933002481,Phase 2a summary-level load-model overlay; not a per-spine sweep.
harnett_2012_summary_model_anchor,harnett_2012,Harnett et al. 2012 Nature,harnett_high_isolation_anchor,summary_model,model_summary,Harnett_summary_model,common_Harnett_model_125,125,Harnett model Rdend anchor carried from Phase 1,Model/proxy common load; not a universal biological load.,false,false,500,4,0.2,high_gte_0p75,4,0.2,Phase 2a summary-level load-model overlay; not a per-spine sweep.
popovic_2015_measured_summary_anchor,popovic_2015,Popovic et al. 2015 Nat Commun,popovic_low_isolation_anchor,summary_measured,measured_summary,Popovic_measured_summary,common_Harnett_model_125,125,Harnett model Rdend anchor carried from Phase 1,Model/proxy common load; not a universal biological load.,false,false,27,0.216,0.8223684211,low_lt_0p25,0.0981818182,0.910596026,Phase 2a summary-level load-model overlay; not a per-spine sweep.
popovic_2015_model_fit_reference,popovic_2015,Popovic et al. 2015 Nat Commun,popovic_low_isolation_anchor,summary_model,model_summary,Popovic_model_fit,common_Harnett_model_125,125,Harnett model Rdend anchor carried from Phase 1,Model/proxy common load; not a universal biological load.,false,false,40.5,0.324,0.7552870091,intermediate_0p25_to_lt_0p75,0.0718085106,0.933002481,Phase 2a summary-level load-model overlay; not a per-spine sweep.
harnett_2012_summary_model_anchor,harnett_2012,Harnett et al. 2012 Nature,harnett_high_isolation_anchor,summary_model,model_summary,Harnett_summary_model,common_Popovic_measured_275,275,Popovic measured Zdendrite summary anchor carried from Phase 1,Measured Popovic summary load reused as a common reference; not universal.,false,false,500,1.818181818,0.3548387097,high_gte_0p75,4,0.2,Phase 2a summary-level load-model overlay; not a per-spine sweep.
popovic_2015_measured_summary_anchor,popovic_2015,Popovic et al. 2015 Nat Commun,popovic_low_isolation_anchor,summary_measured,measured_summary,Popovic_measured_summary,common_Popovic_measured_275,275,Popovic measured Zdendrite summary anchor carried from Phase 1,Measured Popovic summary load reused as a common reference; not universal.,false,false,27,0.09818181818,0.9105960265,low_lt_0p25,0.0981818182,0.910596026,Phase 2a summary-level load-model overlay; not a per-spine sweep.
popovic_2015_model_fit_reference,popovic_2015,Popovic et al. 2015 Nat Commun,popovic_low_isolation_anchor,summary_model,model_summary,Popovic_model_fit,common_Popovic_measured_275,275,Popovic measured Zdendrite summary anchor carried from Phase 1,Measured Popovic summary load reused as a common reference; not universal.,false,false,40.5,0.1472727273,0.8716323296,low_lt_0p25,0.0718085106,0.933002481,Phase 2a summary-level load-model overlay; not a per-spine sweep.
