figure_id,panel_id,plot_role,row_id,citation_short,measured_or_model,marker_group,load_model_id,x_variable,y_variable,x_value,y_value,rho_L,Gamma_div,rho_L_class,visual_encoding,source_table,claim_supported,caveat
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.03,0.9708737864,0.03,0.9708737864,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.03144181055,0.9695166414,0.03144181055,0.9695166414,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.03295291503,0.9680983377,0.03295291503,0.9680983377,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.03453664371,0.9666163167,0.03453664371,0.9666163167,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.03619648696,0.9650679312,0.03619648696,0.9650679312,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.03793610285,0.9634504448,0.03793610285,0.9634504448,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.03975932529,0.9617610303,0.03975932529,0.9617610303,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.04167017245,0.9599967691,0.04167017245,0.9599967691,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.0436728556,0.9581546503,0.0436728556,0.9581546503,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.0457717884,0.9562315709,0.0457717884,0.9562315709,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.04797159665,0.9542243351,0.04797159665,0.9542243351,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.05027712845,0.952129655,0.05027712845,0.952129655,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.05269346493,0.9499441512,0.05269346493,0.9499441512,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.05522593139,0.9476643534,0.05522593139,0.9476643534,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.05788010907,0.9452867026,0.05788010907,0.9452867026,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.06066184747,0.9428075521,0.06066184747,0.9428075521,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.0635772772,0.9402231708,0.0635772772,0.9402231708,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.0666328235,0.9375297459,0.0666328235,0.9375297459,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.06983522044,0.9347233863,0.06983522044,0.9347233863,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.07319152569,0.9318001271,0.07319152569,0.9318001271,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.07670913616,0.9287559346,0.07670913616,0.9287559346,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.08039580422,0.9255867119,0.08039580422,0.9255867119,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.08425965485,0.9222883057,0.08425965485,0.9222883057,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.0883092035,0.9188565132,0.0883092035,0.9188565132,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.09255337488,0.9152870908,0.09255337488,0.9152870908,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.09700152263,0.911575763,0.09700152263,0.911575763,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.1016634499,0.9077182329,0.1016634499,0.9077182329,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
phase2a_summary_route1_decision_gate,A,divider_curve,divider_curve,analytic divider,analytic,analytic_curve,source_native,rho_L,Gamma_div,0.1065494311,0.9037101931,0.1065494311,0.9037101931,low_lt_0p25,black line,analytic Gamma_div=1/(1+rho_L),Divider mapping used for summary anchor placement.,Analytic curve only; not empirical data.
