row_id,source_id,citation_short,recommended_marker_group,measured_or_model,R_neck_MOhm,R_neck_uncertainty_MOhm,load_model_id,load_model_value_MOhm,load_model_type,load_model_source,load_model_assumption,load_model_is_native,load_model_is_measured_same_source,rho_L,Gamma_div,rho_L_class,calculation_note
harnett_2012_summary_model_anchor,harnett_2012,Harnett et al. 2012 Nature,Harnett_summary_model,model_summary,500,,source_native,125,source_native,harnett_2012_summary_model_anchor,Uses each row's locked Phase 1 source-native load.,true,false,4,0.2,high_gte_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
harnett_2012_summary_model_anchor,harnett_2012,Harnett et al. 2012 Nature,Harnett_summary_model,model_summary,500,,common_SPINE_baseline_144p487,144.487,fixed_common_reference,computational_reference,"Computational reference load, not a biological measurement.",false,false,3.460518939,0.2241891613,high_gte_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
harnett_2012_summary_model_anchor,harnett_2012,Harnett et al. 2012 Nature,Harnett_summary_model,model_summary,500,,common_Harnett_model_125,125,recovered_source_common,harnett_2012_summary_model_anchor,Harnett model Rdend carried from Phase 1; not universal.,false,false,4,0.2,high_gte_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
harnett_2012_summary_model_anchor,harnett_2012,Harnett et al. 2012 Nature,Harnett_summary_model,model_summary,500,,common_Popovic_measured_275,275,recovered_source_common,popovic_2015_measured_summary_anchor,Popovic measured Zdendrite reused as a common reference; not universal.,false,false,1.818181818,0.3548387097,high_gte_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
harnett_2012_summary_model_anchor,harnett_2012,Harnett et al. 2012 Nature,Harnett_summary_model,model_summary,500,,common_Popovic_model_fit_564,564,recovered_source_common,popovic_2015_model_fit_reference,Popovic model-fit load carried from Phase 1; not universal.,false,false,0.8865248227,0.530075188,high_gte_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
harnett_2012_summary_model_anchor,harnett_2012,Harnett et al. 2012 Nature,Harnett_summary_model,model_summary,500,,diagnostic_common_load_grid_75,75,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,6.666666667,0.1304347826,high_gte_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
harnett_2012_summary_model_anchor,harnett_2012,Harnett et al. 2012 Nature,Harnett_summary_model,model_summary,500,,diagnostic_common_load_grid_100,100,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,5,0.1666666667,high_gte_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
harnett_2012_summary_model_anchor,harnett_2012,Harnett et al. 2012 Nature,Harnett_summary_model,model_summary,500,,diagnostic_common_load_grid_108,108,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,4.62962963,0.1776315789,high_gte_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
harnett_2012_summary_model_anchor,harnett_2012,Harnett et al. 2012 Nature,Harnett_summary_model,model_summary,500,,diagnostic_common_load_grid_125,125,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,4,0.2,high_gte_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
harnett_2012_summary_model_anchor,harnett_2012,Harnett et al. 2012 Nature,Harnett_summary_model,model_summary,500,,diagnostic_common_load_grid_144p487,144.487,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,3.460518939,0.2241891613,high_gte_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
