panel,row_id,source_id,citation_short,label,x_value,y_value,x_variable,y_variable,load_model_id,marker_group,measured_or_model,plot_note
A,divider_curve,analytic,analytic divider,Gamma_div = 1/(1+rho_L),0.03,0.9708737864,rho_L,Gamma_div,analytic,curve,analytic,Analytic divider curve; not empirical data.
A,divider_curve,analytic,analytic divider,Gamma_div = 1/(1+rho_L),0.03123016417,0.9697156219,rho_L,Gamma_div,analytic,curve,analytic,Analytic divider curve; not empirical data.
A,divider_curve,analytic,analytic divider,Gamma_div = 1/(1+rho_L),0.0325107718,0.9685128982,rho_L,Gamma_div,analytic,curve,analytic,Analytic divider curve; not empirical data.
A,divider_curve,analytic,analytic divider,Gamma_div = 1/(1+rho_L),0.03384389135,0.9672640216,rho_L,Gamma_div,analytic,curve,analytic,Analytic divider curve; not empirical data.
A,divider_curve,analytic,analytic divider,Gamma_div = 1/(1+rho_L),0.03523167609,0.9659673512,rho_L,Gamma_div,analytic,curve,analytic,Analytic divider curve; not empirical data.
A,divider_curve,analytic,analytic divider,Gamma_div = 1/(1+rho_L),0.03667636761,0.9646211983,rho_L,Gamma_div,analytic,curve,analytic,Analytic divider curve; not empirical data.
A,divider_curve,analytic,analytic divider,Gamma_div = 1/(1+rho_L),0.03818029938,0.963223826,rho_L,Gamma_div,analytic,curve,analytic,Analytic divider curve; not empirical data.
A,divider_curve,analytic,analytic divider,Gamma_div = 1/(1+rho_L),0.03974590059,0.9617734481,rho_L,Gamma_div,analytic,curve,analytic,Analytic divider curve; not empirical data.
A,divider_curve,analytic,analytic divider,Gamma_div = 1/(1+rho_L),0.04137570001,0.9602682298,rho_L,Gamma_div,analytic,curve,analytic,Analytic divider curve; not empirical data.
A,divider_curve,analytic,analytic divider,Gamma_div = 1/(1+rho_L),0.04307233013,0.9587062863,rho_L,Gamma_div,analytic,curve,analytic,Analytic divider curve; not empirical data.
A,divider_curve,analytic,analytic divider,Gamma_div = 1/(1+rho_L),0.04483853137,0.9570856836,rho_L,Gamma_div,analytic,curve,analytic,Analytic divider curve; not empirical data.
A,divider_curve,analytic,analytic divider,Gamma_div = 1/(1+rho_L),0.04667715652,0.9554044375,rho_L,Gamma_div,analytic,curve,analytic,Analytic divider curve; not empirical data.
A,divider_curve,analytic,analytic divider,Gamma_div = 1/(1+rho_L),0.04859117536,0.9536605147,rho_L,Gamma_div,analytic,curve,analytic,Analytic divider curve; not empirical data.
A,divider_curve,analytic,analytic divider,Gamma_div = 1/(1+rho_L),0.05058367946,0.951851832,rho_L,Gamma_div,analytic,curve,analytic,Analytic divider curve; not empirical data.
A,divider_curve,analytic,analytic divider,Gamma_div = 1/(1+rho_L),0.05265788712,0.9499762575,rho_L,Gamma_div,analytic,curve,analytic,Analytic divider curve; not empirical data.
A,divider_curve,analytic,analytic divider,Gamma_div = 1/(1+rho_L),0.05481714865,0.9480316103,rho_L,Gamma_div,analytic,curve,analytic,Analytic divider curve; not empirical data.
A,divider_curve,analytic,analytic divider,Gamma_div = 1/(1+rho_L),0.05706495171,0.9460156619,rho_L,Gamma_div,analytic,curve,analytic,Analytic divider curve; not empirical data.
A,divider_curve,analytic,analytic divider,Gamma_div = 1/(1+rho_L),0.05940492701,0.9439261367,rho_L,Gamma_div,analytic,curve,analytic,Analytic divider curve; not empirical data.
A,divider_curve,analytic,analytic divider,Gamma_div = 1/(1+rho_L),0.06184085409,0.9417607131,rho_L,Gamma_div,analytic,curve,analytic,Analytic divider curve; not empirical data.
A,divider_curve,analytic,analytic divider,Gamma_div = 1/(1+rho_L),0.06437666752,0.9395170249,rho_L,Gamma_div,analytic,curve,analytic,Analytic divider curve; not empirical data.
A,divider_curve,analytic,analytic divider,Gamma_div = 1/(1+rho_L),0.06701646317,0.9371926625,rho_L,Gamma_div,analytic,curve,analytic,Analytic divider curve; not empirical data.
