audit_item,status,evidence_path,notes
evidence_file_exists,PASS,results/external_empirical/phase0_1_feasibility/go_no_go_decision.json,Traceability file present.
evidence_file_exists,PASS,data/external_empirical/external_summary_measurements.csv,Traceability file present.
evidence_file_exists,PASS,results/external_empirical/phase2a_decision_gate/phase2a_decision_gate_result.json,Traceability file present.
evidence_file_exists,PASS,results/external_empirical/phase2b_load_sensitivity/phase2b_decision_result.json,Traceability file present.
evidence_file_exists,PASS,results/external_empirical/phase3_manuscript_addon/phase3_validation_summary.json,Traceability file present.
evidence_file_exists,PASS,results/external_empirical/phase2b_load_sensitivity/phase2b_load_model_calculations.csv,Traceability file present.
evidence_file_exists,PASS,results/external_empirical/phase2b_load_sensitivity/phase2b_class_threshold_loads.csv,Traceability file present.
evidence_file_exists,PASS,results/external_empirical/phase2b_load_sensitivity/phase2b_uncertainty_envelopes.csv,Traceability file present.
evidence_file_exists,PASS,results/external_empirical/phase2b_load_sensitivity/phase2b_transfer_proxy_interpretation.csv,Traceability file present.
evidence_file_exists,PASS,manuscript/supplement/figures/FigS10_external_summary_load_sensitivity.svg,Traceability file present.
evidence_file_exists,PASS,manuscript/figures_publication/FigS10_external_summary_load_sensitivity.pdf,Traceability file present.
no_per_spine_route1_rows,PASS,data/external_empirical/external_summary_measurements.csv,0 per-spine usable rows.
