path_category,current_path,public_release_path,current_exists,public_release_exists,hash_match,public_release_sync_needed_for_exact_archive_identity,patch_release_relevance,notes
manuscript_source,manuscript/sections/results.tex,public_release/spine-divider-residuals/manuscript/sections/results.tex,True,True,false,true,patch_release_material,Public release/archive differs or lacks this Phase 3 material.
manuscript_source,manuscript/sections/methods.tex,public_release/spine-divider-residuals/manuscript/sections/methods.tex,True,True,false,true,patch_release_material,Public release/archive differs or lacks this Phase 3 material.
manuscript_source,manuscript/sections/discussion.tex,public_release/spine-divider-residuals/manuscript/sections/discussion.tex,True,True,false,true,patch_release_material,Public release/archive differs or lacks this Phase 3 material.
supplement_source,manuscript/supplement/sections/external_summary_anchors.tex,public_release/spine-divider-residuals/manuscript/supplement/sections/external_summary_anchors.tex,True,False,false,true,patch_release_material,Public release/archive differs or lacks this Phase 3 material.
ledger,manuscript/CLAIM_TO_SOURCE_LEDGER.csv,public_release/spine-divider-residuals/manuscript/CLAIM_TO_SOURCE_LEDGER.csv,True,True,false,true,patch_release_material,Public release/archive differs or lacks this Phase 3 material.
ledger,manuscript/FIGURE_SOURCE_MANIFEST.csv,public_release/spine-divider-residuals/manuscript/FIGURE_SOURCE_MANIFEST.csv,True,True,false,true,patch_release_material,Public release/archive differs or lacks this Phase 3 material.
figure_asset,manuscript/figures_publication/FigS10_external_summary_load_sensitivity.pdf,public_release/spine-divider-residuals/manuscript/figures/FigS10_external_summary_load_sensitivity.pdf,True,False,false,true,patch_release_material,Public release/archive differs or lacks this Phase 3 material.
external_empirical_data,data/external_empirical/external_summary_measurements.csv,public_release/spine-divider-residuals/data/external_empirical/external_summary_measurements.csv,True,False,false,true,patch_release_material,Public release/archive differs or lacks this Phase 3 material.
external_empirical_results,results/external_empirical/phase2b_load_sensitivity/phase2b_decision_result.json,public_release/spine-divider-residuals/results/external_empirical/phase2b_load_sensitivity/phase2b_decision_result.json,True,False,false,true,patch_release_material,Public release/archive differs or lacks this Phase 3 material.
doi_metadata,.zenodo.json,public_release/spine-divider-residuals/.zenodo.json,True,True,true,false,do_not_change_without_human_approval,No Phase 4 public action authorized.
