relative_path,exists,category,notes
scripts/external_empirical/phase5b_human_approved_submission_sync.py,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
docs/PROJECT_STATE.md,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
docs/DECISION_LOG.md,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
submission/human_approval/PHASE5_HUMAN_APPROVAL.md,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
reports/PHASE_5B_HUMAN_APPROVED_SUBMISSION_PACKAGE_SYNC.md,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
reports/PHASE_5B_PACKAGE_SYNC_AUDIT.md,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
reports/PHASE_5B_STATIC_LANGUAGE_AND_PDF_AUDIT.md,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
reports/PHASE_5B_RELEASE_AND_SUBMISSION_BOUNDARY_AUDIT.md,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
reports/PHASE_5B_NEXT_PHASE_HANDOFF.md,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
results/external_empirical/phase5b_human_approved_sync/phase5b_approval_marker_parse.csv,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
results/external_empirical/phase5b_human_approved_sync/phase5b_changed_files_manifest.csv,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
results/external_empirical/phase5b_human_approved_sync/phase5b_core_protected_hash_comparison.csv,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
results/external_empirical/phase5b_human_approved_sync/phase5b_core_protected_hashes_after.csv,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
results/external_empirical/phase5b_human_approved_sync/phase5b_core_protected_hashes_before.csv,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
results/external_empirical/phase5b_human_approved_sync/phase5b_decision_result.json,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
results/external_empirical/phase5b_human_approved_sync/phase5b_figure_s10_package_audit.csv,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
results/external_empirical/phase5b_human_approved_sync/phase5b_input_gate_validation.csv,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
results/external_empirical/phase5b_human_approved_sync/phase5b_pdf_text_audit.csv,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
results/external_empirical/phase5b_human_approved_sync/phase5b_public_release_hash_comparison.csv,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
results/external_empirical/phase5b_human_approved_sync/phase5b_public_release_hashes_after.csv,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
results/external_empirical/phase5b_human_approved_sync/phase5b_public_release_hashes_before.csv,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
results/external_empirical/phase5b_human_approved_sync/phase5b_source_zip_audit.csv,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
results/external_empirical/phase5b_human_approved_sync/phase5b_static_claim_language_audit.csv,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
results/external_empirical/phase5b_human_approved_sync/phase5b_submission_package_hash_comparison.csv,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
results/external_empirical/phase5b_human_approved_sync/phase5b_submission_package_hashes_after.csv,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
results/external_empirical/phase5b_human_approved_sync/phase5b_submission_package_hashes_before.csv,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
results/external_empirical/phase5b_human_approved_sync/phase5b_sync_manifest.csv,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
results/external_empirical/phase5b_human_approved_sync/phase5b_validation_summary.json,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
results/external_empirical/phase5b_human_approved_sync/pdf_text/main_unblinded.txt,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
results/external_empirical/phase5b_human_approved_sync/pdf_text/supplement.txt,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
checkpoints/SPINE_phase_5b_human_approved_submission_sync_checkpoint_20260614_124528.zip,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
checkpoints/SPINE_phase_5b_human_approved_submission_sync_checkpoint_20260614_124528.zip.sha256,True,phase5b_artifact,Phase 5b changed/created file or human approval marker.
submission/nature_neuroscience/CLAIM_TO_SOURCE_LEDGER.csv,True,submission_package,Phase 5b changed/created file or human approval marker.
submission/nature_neuroscience/FIGURE_SOURCE_MANIFEST.csv,True,submission_package,Phase 5b changed/created file or human approval marker.
submission/nature_neuroscience/figures/FigS10_external_summary_load_sensitivity.pdf,True,submission_package,Phase 5b changed/created file or human approval marker.
submission/nature_neuroscience/figures/FigS10_external_summary_load_sensitivity.png,True,submission_package,Phase 5b changed/created file or human approval marker.
submission/nature_neuroscience/figures/FigS10_external_summary_load_sensitivity.svg,True,submission_package,Phase 5b changed/created file or human approval marker.
