audit_item,path,status,evidence,notes
package_asset_exists,submission/nature_neuroscience/figures/FigS10_external_summary_load_sensitivity.svg,PASS,7177ebc757d5c87a217f96eaa7bc6fda98e08dec94574e63322921119ed01d59,Figure S10 package asset.
package_asset_exists,submission/nature_neuroscience/figures/FigS10_external_summary_load_sensitivity.png,PASS,60705403fdafe56016f594424068edee105b77593d263870f2b97c049b0ee8f7,Figure S10 package asset.
package_asset_exists,submission/nature_neuroscience/figures/FigS10_external_summary_load_sensitivity.pdf,PASS,7819a036c5de85bdce61ee99e9189b1ce338fff982b32f18d6083ebcc0181f15,Figure S10 package asset.
package_asset_exists,submission/nature_neuroscience/figures_publication/FigS10_external_summary_load_sensitivity.svg,PASS,7177ebc757d5c87a217f96eaa7bc6fda98e08dec94574e63322921119ed01d59,Figure S10 package asset.
package_asset_exists,submission/nature_neuroscience/figures_publication/FigS10_external_summary_load_sensitivity.png,PASS,60705403fdafe56016f594424068edee105b77593d263870f2b97c049b0ee8f7,Figure S10 package asset.
package_asset_exists,submission/nature_neuroscience/figures_publication/FigS10_external_summary_load_sensitivity.pdf,PASS,7819a036c5de85bdce61ee99e9189b1ce338fff982b32f18d6083ebcc0181f15,Figure S10 package asset.
package_asset_exists,submission/nature_neuroscience/supplement/figures/FigS10_external_summary_load_sensitivity.svg,PASS,7177ebc757d5c87a217f96eaa7bc6fda98e08dec94574e63322921119ed01d59,Figure S10 package asset.
package_asset_exists,submission/nature_neuroscience/supplement/figures_pdf/FigS10_external_summary_load_sensitivity.pdf,PASS,7819a036c5de85bdce61ee99e9189b1ce338fff982b32f18d6083ebcc0181f15,Figure S10 package asset.
manifest_row_exists,manuscript/FIGURE_SOURCE_MANIFEST.csv,PASS,FigS10_external_summary_load_sensitivity,Figure S10 provenance row in manuscript manifest.
caption_caveats_present,submission/nature_neuroscience/supplement/sections/external_summary_anchors.tex,PASS,caption caveats checked,Caption preserves summary-only and no-overclaim language.
supplement_pdf_references_figure_s10,results/external_empirical/phase5b_human_approved_sync/pdf_text/supplement.txt,PASS,Figure S10 text reference,Synced PDF text references Figure S10.
phase2b_traceability,results/external_empirical/phase2b_load_sensitivity/phase2b_decision_result.json,PASS,793e6b5c89fb6f85b0dfe3285005fe1d4711a6dc2bd6a39b2272207561927e95,Phase 2b source data/result are traceable.
