plan_item,source_path,target_path,action_if_public_patch_approved,mode_a_action,requires_human_approval,notes
CLAIM_TO_SOURCE_LEDGER.csv,submission/nature_neuroscience/CLAIM_TO_SOURCE_LEDGER.csv,public_release/spine-divider-residuals/manuscript/CLAIM_TO_SOURCE_LEDGER.csv,copy_or_update_if_approved,none,True,Derived from Phase 5b synced Nature submission package delta.
FIGURE_SOURCE_MANIFEST.csv,submission/nature_neuroscience/FIGURE_SOURCE_MANIFEST.csv,public_release/spine-divider-residuals/manuscript/FIGURE_SOURCE_MANIFEST.csv,copy_or_update_if_approved,none,True,Derived from Phase 5b synced Nature submission package delta.
FigS10_external_summary_load_sensitivity.pdf,submission/nature_neuroscience/figures/FigS10_external_summary_load_sensitivity.pdf,public_release/spine-divider-residuals/manuscript/figures/FigS10_external_summary_load_sensitivity.pdf,copy_or_update_if_approved,none,True,Derived from Phase 5b synced Nature submission package delta.
FigS10_external_summary_load_sensitivity.png,submission/nature_neuroscience/figures/FigS10_external_summary_load_sensitivity.png,public_release/spine-divider-residuals/manuscript/figures/FigS10_external_summary_load_sensitivity.png,copy_or_update_if_approved,none,True,Derived from Phase 5b synced Nature submission package delta.
FigS10_external_summary_load_sensitivity.svg,submission/nature_neuroscience/figures/FigS10_external_summary_load_sensitivity.svg,public_release/spine-divider-residuals/manuscript/figures/FigS10_external_summary_load_sensitivity.svg,copy_or_update_if_approved,none,True,Derived from Phase 5b synced Nature submission package delta.
FigS10_external_summary_load_sensitivity.pdf,submission/nature_neuroscience/figures_publication/FigS10_external_summary_load_sensitivity.pdf,public_release/spine-divider-residuals/manuscript/figures/FigS10_external_summary_load_sensitivity.pdf,copy_or_update_if_approved,none,True,Derived from Phase 5b synced Nature submission package delta.
FigS10_external_summary_load_sensitivity.png,submission/nature_neuroscience/figures_publication/FigS10_external_summary_load_sensitivity.png,public_release/spine-divider-residuals/manuscript/figures/FigS10_external_summary_load_sensitivity.png,copy_or_update_if_approved,none,True,Derived from Phase 5b synced Nature submission package delta.
FigS10_external_summary_load_sensitivity.svg,submission/nature_neuroscience/figures_publication/FigS10_external_summary_load_sensitivity.svg,public_release/spine-divider-residuals/manuscript/figures/FigS10_external_summary_load_sensitivity.svg,copy_or_update_if_approved,none,True,Derived from Phase 5b synced Nature submission package delta.
main_unblinded.pdf,submission/nature_neuroscience/main_unblinded.pdf,public_release/spine-divider-residuals/manuscript/main_unblinded.pdf,copy_or_update_if_approved,none,True,Derived from Phase 5b synced Nature submission package delta.
discussion.tex,submission/nature_neuroscience/sections/discussion.tex,public_release/spine-divider-residuals/manuscript/sections/discussion.tex,copy_or_update_if_approved,none,True,Derived from Phase 5b synced Nature submission package delta.
methods.tex,submission/nature_neuroscience/sections/methods.tex,public_release/spine-divider-residuals/manuscript/sections/methods.tex,copy_or_update_if_approved,none,True,Derived from Phase 5b synced Nature submission package delta.
results.tex,submission/nature_neuroscience/sections/results.tex,public_release/spine-divider-residuals/manuscript/sections/results.tex,copy_or_update_if_approved,none,True,Derived from Phase 5b synced Nature submission package delta.
source_files.zip,submission/nature_neuroscience/source_files.zip,public_release/spine-divider-residuals/submission_package/source_files.zip,copy_or_update_if_approved,none,True,Derived from Phase 5b synced Nature submission package delta.
supplement.pdf,submission/nature_neuroscience/supplement.pdf,public_release/spine-divider-residuals/manuscript/supplement.pdf,copy_or_update_if_approved,none,True,Derived from Phase 5b synced Nature submission package delta.
FigS10_external_summary_load_sensitivity.svg,submission/nature_neuroscience/supplement/figures/FigS10_external_summary_load_sensitivity.svg,public_release/spine-divider-residuals/manuscript/supplement/figures/FigS10_external_summary_load_sensitivity.svg,copy_or_update_if_approved,none,True,Derived from Phase 5b synced Nature submission package delta.
FigS10_external_summary_load_sensitivity.pdf,submission/nature_neuroscience/supplement/figures_pdf/FigS10_external_summary_load_sensitivity.pdf,public_release/spine-divider-residuals/manuscript/supplement/figures_pdf/FigS10_external_summary_load_sensitivity.pdf,copy_or_update_if_approved,none,True,Derived from Phase 5b synced Nature submission package delta.
external_summary_anchors.tex,submission/nature_neuroscience/supplement/sections/external_summary_anchors.tex,public_release/spine-divider-residuals/manuscript/supplement/sections/external_summary_anchors.tex,copy_or_update_if_approved,none,True,Derived from Phase 5b synced Nature submission package delta.
supplement.pdf,submission/nature_neuroscience/supplement/supplement.pdf,public_release/spine-divider-residuals/manuscript/supplement/supplement.pdf,copy_or_update_if_approved,none,True,Derived from Phase 5b synced Nature submission package delta.
supplement.tex,submission/nature_neuroscience/supplement/supplement.tex,public_release/spine-divider-residuals/manuscript/supplement/supplement.tex,copy_or_update_if_approved,none,True,Derived from Phase 5b synced Nature submission package delta.
external_summary_dataset,data/external_empirical/external_summary_measurements.csv,public_release/spine-divider-residuals/data/external_empirical/external_summary_measurements.csv,copy_or_update_if_approved,none,True,Release-supporting source/audit material for a future approved patch release.
phase2b_source_data,results/external_empirical/phase2b_load_sensitivity/,public_release/spine-divider-residuals/results/external_empirical/phase2b_load_sensitivity/,copy_or_update_if_approved,none,True,Release-supporting source/audit material for a future approved patch release.
phase3_addon_audit,results/external_empirical/phase3_manuscript_addon/,public_release/spine-divider-residuals/results/external_empirical/phase3_manuscript_addon/,copy_or_update_if_approved,none,True,Release-supporting source/audit material for a future approved patch release.
