manifest_item,source_path,target_path,include_in_patch_release_if_approved,claim_scope,status
CLAIM_TO_SOURCE_LEDGER.csv,submission/nature_neuroscience/CLAIM_TO_SOURCE_LEDGER.csv,public_release/spine-divider-residuals/manuscript/CLAIM_TO_SOURCE_LEDGER.csv,True,summary-level load-normalization hypothesis only,DRAFT_MODE_A_NOT_STAGED
FIGURE_SOURCE_MANIFEST.csv,submission/nature_neuroscience/FIGURE_SOURCE_MANIFEST.csv,public_release/spine-divider-residuals/manuscript/FIGURE_SOURCE_MANIFEST.csv,True,summary-level load-normalization hypothesis only,DRAFT_MODE_A_NOT_STAGED
FigS10_external_summary_load_sensitivity.pdf,submission/nature_neuroscience/figures/FigS10_external_summary_load_sensitivity.pdf,public_release/spine-divider-residuals/manuscript/figures/FigS10_external_summary_load_sensitivity.pdf,True,summary-level load-normalization hypothesis only,DRAFT_MODE_A_NOT_STAGED
FigS10_external_summary_load_sensitivity.png,submission/nature_neuroscience/figures/FigS10_external_summary_load_sensitivity.png,public_release/spine-divider-residuals/manuscript/figures/FigS10_external_summary_load_sensitivity.png,True,summary-level load-normalization hypothesis only,DRAFT_MODE_A_NOT_STAGED
FigS10_external_summary_load_sensitivity.svg,submission/nature_neuroscience/figures/FigS10_external_summary_load_sensitivity.svg,public_release/spine-divider-residuals/manuscript/figures/FigS10_external_summary_load_sensitivity.svg,True,summary-level load-normalization hypothesis only,DRAFT_MODE_A_NOT_STAGED
FigS10_external_summary_load_sensitivity.pdf,submission/nature_neuroscience/figures_publication/FigS10_external_summary_load_sensitivity.pdf,public_release/spine-divider-residuals/manuscript/figures/FigS10_external_summary_load_sensitivity.pdf,True,summary-level load-normalization hypothesis only,DRAFT_MODE_A_NOT_STAGED
FigS10_external_summary_load_sensitivity.png,submission/nature_neuroscience/figures_publication/FigS10_external_summary_load_sensitivity.png,public_release/spine-divider-residuals/manuscript/figures/FigS10_external_summary_load_sensitivity.png,True,summary-level load-normalization hypothesis only,DRAFT_MODE_A_NOT_STAGED
FigS10_external_summary_load_sensitivity.svg,submission/nature_neuroscience/figures_publication/FigS10_external_summary_load_sensitivity.svg,public_release/spine-divider-residuals/manuscript/figures/FigS10_external_summary_load_sensitivity.svg,True,summary-level load-normalization hypothesis only,DRAFT_MODE_A_NOT_STAGED
main_unblinded.pdf,submission/nature_neuroscience/main_unblinded.pdf,public_release/spine-divider-residuals/manuscript/main_unblinded.pdf,True,summary-level load-normalization hypothesis only,DRAFT_MODE_A_NOT_STAGED
discussion.tex,submission/nature_neuroscience/sections/discussion.tex,public_release/spine-divider-residuals/manuscript/sections/discussion.tex,True,summary-level load-normalization hypothesis only,DRAFT_MODE_A_NOT_STAGED
methods.tex,submission/nature_neuroscience/sections/methods.tex,public_release/spine-divider-residuals/manuscript/sections/methods.tex,True,summary-level load-normalization hypothesis only,DRAFT_MODE_A_NOT_STAGED
results.tex,submission/nature_neuroscience/sections/results.tex,public_release/spine-divider-residuals/manuscript/sections/results.tex,True,summary-level load-normalization hypothesis only,DRAFT_MODE_A_NOT_STAGED
source_files.zip,submission/nature_neuroscience/source_files.zip,public_release/spine-divider-residuals/submission_package/source_files.zip,True,summary-level load-normalization hypothesis only,DRAFT_MODE_A_NOT_STAGED
supplement.pdf,submission/nature_neuroscience/supplement.pdf,public_release/spine-divider-residuals/manuscript/supplement.pdf,True,summary-level load-normalization hypothesis only,DRAFT_MODE_A_NOT_STAGED
FigS10_external_summary_load_sensitivity.svg,submission/nature_neuroscience/supplement/figures/FigS10_external_summary_load_sensitivity.svg,public_release/spine-divider-residuals/manuscript/supplement/figures/FigS10_external_summary_load_sensitivity.svg,True,summary-level load-normalization hypothesis only,DRAFT_MODE_A_NOT_STAGED
FigS10_external_summary_load_sensitivity.pdf,submission/nature_neuroscience/supplement/figures_pdf/FigS10_external_summary_load_sensitivity.pdf,public_release/spine-divider-residuals/manuscript/supplement/figures_pdf/FigS10_external_summary_load_sensitivity.pdf,True,summary-level load-normalization hypothesis only,DRAFT_MODE_A_NOT_STAGED
external_summary_anchors.tex,submission/nature_neuroscience/supplement/sections/external_summary_anchors.tex,public_release/spine-divider-residuals/manuscript/supplement/sections/external_summary_anchors.tex,True,summary-level load-normalization hypothesis only,DRAFT_MODE_A_NOT_STAGED
supplement.pdf,submission/nature_neuroscience/supplement/supplement.pdf,public_release/spine-divider-residuals/manuscript/supplement/supplement.pdf,True,summary-level load-normalization hypothesis only,DRAFT_MODE_A_NOT_STAGED
supplement.tex,submission/nature_neuroscience/supplement/supplement.tex,public_release/spine-divider-residuals/manuscript/supplement/supplement.tex,True,summary-level load-normalization hypothesis only,DRAFT_MODE_A_NOT_STAGED
external_summary_dataset,data/external_empirical/external_summary_measurements.csv,public_release/spine-divider-residuals/data/external_empirical/external_summary_measurements.csv,True,summary-level load-normalization hypothesis only,DRAFT_MODE_A_NOT_STAGED
