current_path,public_release_path,current_exists,public_release_exists,hash_match,planned_patch_action_if_approved,mode_a_status,notes
manuscript/sections/results.tex,public_release/spine-divider-residuals/manuscript/sections/results.tex,True,True,false,copy_or_update_if_approved,DEFERRED_NO_PUBLIC_RELEASE_APPROVAL,Current Phase 5b/external empirical material differs or is absent from public release.
manuscript/sections/methods.tex,public_release/spine-divider-residuals/manuscript/sections/methods.tex,True,True,false,copy_or_update_if_approved,DEFERRED_NO_PUBLIC_RELEASE_APPROVAL,Current Phase 5b/external empirical material differs or is absent from public release.
manuscript/sections/discussion.tex,public_release/spine-divider-residuals/manuscript/sections/discussion.tex,True,True,false,copy_or_update_if_approved,DEFERRED_NO_PUBLIC_RELEASE_APPROVAL,Current Phase 5b/external empirical material differs or is absent from public release.
manuscript/supplement/supplement.tex,public_release/spine-divider-residuals/manuscript/supplement/supplement.tex,True,True,false,copy_or_update_if_approved,DEFERRED_NO_PUBLIC_RELEASE_APPROVAL,Current Phase 5b/external empirical material differs or is absent from public release.
manuscript/supplement/sections/external_summary_anchors.tex,public_release/spine-divider-residuals/manuscript/supplement/sections/external_summary_anchors.tex,True,False,false,copy_or_update_if_approved,DEFERRED_NO_PUBLIC_RELEASE_APPROVAL,Current Phase 5b/external empirical material differs or is absent from public release.
manuscript/CLAIM_TO_SOURCE_LEDGER.csv,public_release/spine-divider-residuals/manuscript/CLAIM_TO_SOURCE_LEDGER.csv,True,True,false,copy_or_update_if_approved,DEFERRED_NO_PUBLIC_RELEASE_APPROVAL,Current Phase 5b/external empirical material differs or is absent from public release.
manuscript/FIGURE_SOURCE_MANIFEST.csv,public_release/spine-divider-residuals/manuscript/FIGURE_SOURCE_MANIFEST.csv,True,True,false,copy_or_update_if_approved,DEFERRED_NO_PUBLIC_RELEASE_APPROVAL,Current Phase 5b/external empirical material differs or is absent from public release.
manuscript/figures_publication/FigS10_external_summary_load_sensitivity.pdf,public_release/spine-divider-residuals/manuscript/figures_publication/FigS10_external_summary_load_sensitivity.pdf,True,False,false,copy_or_update_if_approved,DEFERRED_NO_PUBLIC_RELEASE_APPROVAL,Current Phase 5b/external empirical material differs or is absent from public release.
manuscript/figures_publication/FigS10_external_summary_load_sensitivity.png,public_release/spine-divider-residuals/manuscript/figures_publication/FigS10_external_summary_load_sensitivity.png,True,False,false,copy_or_update_if_approved,DEFERRED_NO_PUBLIC_RELEASE_APPROVAL,Current Phase 5b/external empirical material differs or is absent from public release.
manuscript/figures_publication/FigS10_external_summary_load_sensitivity.svg,public_release/spine-divider-residuals/manuscript/figures_publication/FigS10_external_summary_load_sensitivity.svg,True,False,false,copy_or_update_if_approved,DEFERRED_NO_PUBLIC_RELEASE_APPROVAL,Current Phase 5b/external empirical material differs or is absent from public release.
data/external_empirical/external_summary_measurements.csv,public_release/spine-divider-residuals/data/external_empirical/external_summary_measurements.csv,True,False,false,copy_or_update_if_approved,DEFERRED_NO_PUBLIC_RELEASE_APPROVAL,Current Phase 5b/external empirical material differs or is absent from public release.
results/external_empirical/phase2b_load_sensitivity/phase2b_decision_result.json,public_release/spine-divider-residuals/results/external_empirical/phase2b_load_sensitivity/phase2b_decision_result.json,True,False,false,copy_or_update_if_approved,DEFERRED_NO_PUBLIC_RELEASE_APPROVAL,Current Phase 5b/external empirical material differs or is absent from public release.
results/external_empirical/phase3_manuscript_addon/phase3_validation_summary.json,public_release/spine-divider-residuals/results/external_empirical/phase3_manuscript_addon/phase3_validation_summary.json,True,False,false,copy_or_update_if_approved,DEFERRED_NO_PUBLIC_RELEASE_APPROVAL,Current Phase 5b/external empirical material differs or is absent from public release.
results/external_empirical/phase4_final_qa_sync_gate/phase4_decision_result.json,public_release/spine-divider-residuals/results/external_empirical/phase4_final_qa_sync_gate/phase4_decision_result.json,True,False,false,copy_or_update_if_approved,DEFERRED_NO_PUBLIC_RELEASE_APPROVAL,Current Phase 5b/external empirical material differs or is absent from public release.
results/external_empirical/phase5b_human_approved_sync/phase5b_decision_result.json,public_release/spine-divider-residuals/results/external_empirical/phase5b_human_approved_sync/phase5b_decision_result.json,True,False,false,copy_or_update_if_approved,DEFERRED_NO_PUBLIC_RELEASE_APPROVAL,Current Phase 5b/external empirical material differs or is absent from public release.
