relative_path,status,before_sha256,after_sha256,before_size_bytes,after_size_bytes
public_release/spine-divider-residuals/.gitignore,unchanged,f3bcf0f0c1c328f6c8285248563ba7b5d00ca0518c009aaa1d7b1d8d4006ed4f,f3bcf0f0c1c328f6c8285248563ba7b5d00ca0518c009aaa1d7b1d8d4006ed4f,367,367
public_release/spine-divider-residuals/.zenodo.json,unchanged,82aa164f80446b0cf03365e809486eb92b233a93a7072d2d7f315849a86f6ebf,82aa164f80446b0cf03365e809486eb92b233a93a7072d2d7f315849a86f6ebf,1322,1322
public_release/spine-divider-residuals/.zenodo.json.disabled,unchanged,82aa164f80446b0cf03365e809486eb92b233a93a7072d2d7f315849a86f6ebf,82aa164f80446b0cf03365e809486eb92b233a93a7072d2d7f315849a86f6ebf,1322,1322
public_release/spine-divider-residuals/CHANGELOG.md,unchanged,587837584bbd74cd69f91e70ecc27dc3acfe6976254c14f6b0dc92b189a31c4d,587837584bbd74cd69f91e70ecc27dc3acfe6976254c14f6b0dc92b189a31c4d,2483,2483
public_release/spine-divider-residuals/CITATION.cff,unchanged,13311b47dca3d039ead105029207841825a9b7f7821dd3fffa0538391de813f9,13311b47dca3d039ead105029207841825a9b7f7821dd3fffa0538391de813f9,882,882
public_release/spine-divider-residuals/DATA_LICENSE.md,unchanged,adf19dca5d4ffc2862050b12f4d7074d23b8bab05a43c2f03086b288fbd6e3c0,adf19dca5d4ffc2862050b12f4d7074d23b8bab05a43c2f03086b288fbd6e3c0,556,556
public_release/spine-divider-residuals/INSTALL.md,unchanged,8a83665af6870bb41a126eccc4dc345a3b093642c254decc00d9f7c12df9b769,8a83665af6870bb41a126eccc4dc345a3b093642c254decc00d9f7c12df9b769,1647,1647
public_release/spine-divider-residuals/LICENSE,unchanged,623af2a94e1e7510bbf1c3fcbed1317bcbf849f49b549ceeb64cbf7f16a19d8c,623af2a94e1e7510bbf1c3fcbed1317bcbf849f49b549ceeb64cbf7f16a19d8c,1113,1113
public_release/spine-divider-residuals/MANIFEST.md,unchanged,3ff96a53b05f88498537eed3a0ecdc72b13a3e253f7f36fb05e20adf97512f90,3ff96a53b05f88498537eed3a0ecdc72b13a3e253f7f36fb05e20adf97512f90,396,396
public_release/spine-divider-residuals/PUBLIC_RELEASE_MANIFEST.csv,unchanged,2370c7b5712f0b1eaae38d4b0f21430441bf1e7a4dbe399ce7b9932b8f99265f,2370c7b5712f0b1eaae38d4b0f21430441bf1e7a4dbe399ce7b9932b8f99265f,69774,69774
public_release/spine-divider-residuals/QUICKSTART.md,unchanged,52b3811a310f11079f2de7e08f2ce50b95e0b4319002aaae259d06a6100b452c,52b3811a310f11079f2de7e08f2ce50b95e0b4319002aaae259d06a6100b452c,2170,2170
public_release/spine-divider-residuals/README.md,unchanged,286b0054822f64556e556daca7002ec1a35312d40d10f4b9b377134a149293e2,286b0054822f64556e556daca7002ec1a35312d40d10f4b9b377134a149293e2,3789,3789
public_release/spine-divider-residuals/RELEASE_NOTES.md,unchanged,ba4533f7b535280642741bbe58856793d38c0c7c40fe8f812220d1e8375b47e8,ba4533f7b535280642741bbe58856793d38c0c7c40fe8f812220d1e8375b47e8,1226,1226
public_release/spine-divider-residuals/REPRODUCIBILITY.md,unchanged,0c6e9f729fb3b15896d9d56648f22b20667871d0c0f1601dc9818b5e3ec82947,0c6e9f729fb3b15896d9d56648f22b20667871d0c0f1601dc9818b5e3ec82947,1274,1274
public_release/spine-divider-residuals/configs/active_extension/baseline.toml,unchanged,61a4444201e0bb60b815d87d70442bbe7b3d7aff9be3358bc5f95700557d5075,61a4444201e0bb60b815d87d70442bbe7b3d7aff9be3358bc5f95700557d5075,978,978
public_release/spine-divider-residuals/configs/epilepsy_exploratory/baseline.toml,unchanged,9db6e3424c5c146fb16c79623e3ef925375a7235b57bcf42e2f4e4a411928d00,9db6e3424c5c146fb16c79623e3ef925375a7235b57bcf42e2f4e4a411928d00,907,907
public_release/spine-divider-residuals/configs/epilepsy_exploratory/scenarios.toml,unchanged,bab13ab79516270826c43706be4f8711ced5cf75462d99bcd574ca290b2441bf,bab13ab79516270826c43706be4f8711ced5cf75462d99bcd574ca290b2441bf,1957,1957
public_release/spine-divider-residuals/configs/manuscript_faithful/baseline.toml,unchanged,40f2b001751cf20bbb7c5339b53f0a17716e08db6b76012ffe70c8c11bd0e115,40f2b001751cf20bbb7c5339b53f0a17716e08db6b76012ffe70c8c11bd0e115,962,962
public_release/spine-divider-residuals/configs/plausibility_revised/baseline.toml,unchanged,19ff66959ca8586d8aa6ba7886db4c84718093d5a003759baf7db5849c2b274b,19ff66959ca8586d8aa6ba7886db4c84718093d5a003759baf7db5849c2b274b,997,997
public_release/spine-divider-residuals/docs/DECISION_LOG.md,unchanged,5280892bab203433d4aebd946e3d76cff01ae68702fa5ab0363f7f85f88ae3d1,5280892bab203433d4aebd946e3d76cff01ae68702fa5ab0363f7f85f88ae3d1,121507,121507
public_release/spine-divider-residuals/docs/LIMITATIONS.md,unchanged,fddf6f2b18d277b92ac2ea9cec8427e02a6480b6085bdb26c73486d232b22ba8,fddf6f2b18d277b92ac2ea9cec8427e02a6480b6085bdb26c73486d232b22ba8,1274,1274
