condition,time_ms,V_h_mV,V_d_mV,V_s_mV,g_syn_nS
intermediate,0.0,-70.0,-70.0,-70.0,0.0
intermediate,0.01,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.02,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.030000000000000006,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.04,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.05,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.06000000000000001,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.07,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.08,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.09000000000000001,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.1,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.11,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.12000000000000002,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.13,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.14,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.15000000000000002,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.16,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.17,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.18000000000000002,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.19,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.2,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.21000000000000002,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.22,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.23,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.24000000000000005,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.25,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.26,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.27,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.28,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.29,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.30000000000000004,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.31,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.32,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.33000000000000007,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.34,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.35000000000000003,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.36000000000000004,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.37000000000000005,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.38,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.39000000000000007,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.4,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.41000000000000003,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.42000000000000004,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.43000000000000005,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.44,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.45000000000000007,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.46,-69.99999999999999,-70.0,-69.99999999999999,0.0
intermediate,0.47000000000000003,-69.99999999999999,-70.0,-69.99999999999999,0.0
