condition,time_ms,V_h_mV,V_d_mV,V_s_mV,g_syn_nS
low,0.0,-70.0,-70.0,-70.0,0.0
low,0.01,-70.0,-70.0,-70.0,0.0
low,0.02,-70.0,-70.0,-70.0,0.0
low,0.030000000000000006,-70.0,-70.0,-70.0,0.0
low,0.04,-70.0,-70.0,-70.0,0.0
low,0.05,-70.0,-70.0,-70.0,0.0
low,0.06000000000000001,-70.0,-70.0,-70.0,0.0
low,0.07,-70.0,-70.0,-70.0,0.0
low,0.08,-70.0,-70.0,-70.0,0.0
low,0.09000000000000001,-70.0,-70.0,-70.0,0.0
low,0.1,-70.0,-70.0,-70.0,0.0
low,0.11,-70.0,-70.0,-70.0,0.0
low,0.12000000000000002,-70.0,-70.0,-70.0,0.0
low,0.13,-70.0,-70.0,-70.0,0.0
low,0.14,-70.0,-70.0,-70.0,0.0
low,0.15000000000000002,-70.0,-70.0,-70.0,0.0
low,0.16,-70.0,-70.0,-70.0,0.0
low,0.17,-70.0,-70.0,-70.0,0.0
low,0.18000000000000002,-70.0,-70.0,-70.0,0.0
low,0.19,-70.0,-70.0,-70.0,0.0
low,0.2,-70.0,-70.0,-70.0,0.0
low,0.21000000000000002,-70.0,-70.0,-70.0,0.0
low,0.22,-70.0,-70.0,-70.0,0.0
low,0.23,-70.0,-70.0,-70.0,0.0
low,0.24000000000000005,-70.0,-70.0,-70.0,0.0
low,0.25,-70.0,-70.0,-70.0,0.0
low,0.26,-70.0,-70.0,-70.0,0.0
low,0.27,-70.0,-70.0,-70.0,0.0
low,0.28,-70.0,-70.0,-70.0,0.0
low,0.29,-70.0,-70.0,-70.0,0.0
low,0.30000000000000004,-70.0,-70.0,-70.0,0.0
low,0.31,-70.0,-70.0,-70.0,0.0
low,0.32,-70.0,-70.0,-70.0,0.0
low,0.33000000000000007,-70.0,-70.0,-70.0,0.0
low,0.34,-70.0,-70.0,-70.0,0.0
low,0.35000000000000003,-70.0,-70.0,-70.0,0.0
low,0.36000000000000004,-70.0,-70.0,-70.0,0.0
low,0.37000000000000005,-70.0,-70.0,-70.0,0.0
low,0.38,-70.0,-70.0,-70.0,0.0
low,0.39000000000000007,-70.0,-70.0,-70.0,0.0
low,0.4,-70.0,-70.0,-70.0,0.0
low,0.41000000000000003,-70.0,-70.0,-70.0,0.0
low,0.42000000000000004,-70.0,-70.0,-70.0,0.0
low,0.43000000000000005,-70.0,-70.0,-70.0,0.0
low,0.44,-70.0,-70.0,-70.0,0.0
low,0.45000000000000007,-70.0,-70.0,-70.0,0.0
low,0.46,-70.0,-70.0,-70.0,0.0
low,0.47000000000000003,-70.0,-70.0,-70.0,0.0
low,0.4800000000000001,-70.0,-70.0,-70.0,0.0
low,0.4900000000000001,-70.0,-70.0,-70.0,0.0
low,0.5,-70.0,-70.0,-70.0,0.0
low,0.51,-70.0,-70.0,-70.0,0.0
low,0.52,-70.0,-70.0,-70.0,0.0
low,0.5300000000000001,-70.0,-70.0,-70.0,0.0
low,0.54,-70.0,-70.0,-70.0,0.0
low,0.55,-70.0,-70.0,-70.0,0.0
low,0.56,-70.0,-70.0,-70.0,0.0
low,0.5700000000000001,-70.0,-70.0,-70.0,0.0
low,0.58,-70.0,-70.0,-70.0,0.0
low,0.5900000000000001,-70.0,-70.0,-70.0,0.0
low,0.6000000000000001,-70.0,-70.0,-70.0,0.0
low,0.6100000000000001,-70.0,-70.0,-70.0,0.0
low,0.62,-70.0,-70.0,-70.0,0.0
low,0.63,-70.0,-70.0,-70.0,0.0
low,0.64,-70.0,-70.0,-70.0,0.0
low,0.6500000000000001,-70.0,-70.0,-70.0,0.0
low,0.6600000000000001,-70.0,-70.0,-70.0,0.0
low,0.67,-70.0,-70.0,-70.0,0.0
low,0.68,-70.0,-70.0,-70.0,0.0
low,0.6900000000000001,-70.0,-70.0,-70.0,0.0
low,0.7000000000000001,-70.0,-70.0,-70.0,0.0
low,0.71,-70.0,-70.0,-70.0,0.0
low,0.7200000000000001,-70.0,-70.0,-70.0,0.0
low,0.7300000000000001,-70.0,-70.0,-70.0,0.0
low,0.7400000000000001,-70.0,-70.0,-70.0,0.0
low,0.75,-70.0,-70.0,-70.0,0.0
low,0.76,-70.0,-70.0,-70.0,0.0
low,0.77,-70.0,-70.0,-70.0,0.0
low,0.7800000000000001,-70.0,-70.0,-70.0,0.0
low,0.79,-70.0,-70.0,-70.0,0.0
low,0.8,-70.0,-70.0,-70.0,0.0
low,0.81,-70.0,-70.0,-70.0,0.0
low,0.8200000000000001,-70.0,-70.0,-70.0,0.0
low,0.8300000000000001,-70.0,-70.0,-70.0,0.0
low,0.8400000000000001,-70.0,-70.0,-70.0,0.0
low,0.8500000000000001,-70.0,-70.0,-70.0,0.0
low,0.8600000000000001,-70.0,-70.0,-70.0,0.0
low,0.8700000000000001,-70.0,-70.0,-70.0,0.0
low,0.88,-70.0,-70.0,-70.0,0.0
low,0.89,-70.0,-70.0,-70.0,0.0
low,0.9000000000000001,-70.0,-70.0,-70.0,0.0
low,0.9100000000000001,-70.0,-70.0,-70.0,0.0
low,0.92,-70.0,-70.0,-70.0,0.0
low,0.93,-70.0,-70.0,-70.0,0.0
low,0.9400000000000001,-70.0,-70.0,-70.0,0.0
low,0.9500000000000001,-70.0,-70.0,-70.0,0.0
low,0.9600000000000002,-70.0,-70.0,-70.0,0.0
low,0.9700000000000001,-70.0,-70.0,-70.0,0.0
low,0.9800000000000002,-70.0,-70.0,-70.0,0.0
low,0.99,-70.0,-70.0,-70.0,0.0
low,1.0,-70.0,-70.0,-70.0,0.0
low,1.01,-70.0,-70.0,-70.0,0.0
low,1.02,-70.0,-70.0,-70.0,0.0
low,1.03,-70.0,-70.0,-70.0,0.0
low,1.04,-70.0,-70.0,-70.0,0.0
low,1.05,-70.0,-70.0,-70.0,0.0
low,1.0600000000000003,-70.0,-70.0,-70.0,0.0
low,1.07,-70.0,-70.0,-70.0,0.0
low,1.08,-70.0,-70.0,-70.0,0.0
low,1.09,-70.0,-70.0,-70.0,0.0
low,1.1,-70.0,-70.0,-70.0,0.0
low,1.11,-70.0,-70.0,-70.0,0.0
low,1.12,-70.0,-70.0,-70.0,0.0
low,1.1300000000000001,-70.0,-70.0,-70.0,0.0
low,1.1400000000000001,-70.0,-70.0,-70.0,0.0
low,1.1500000000000001,-70.0,-70.0,-70.0,0.0
low,1.16,-70.0,-70.0,-70.0,0.0
low,1.17,-70.0,-70.0,-70.0,0.0
low,1.1800000000000002,-70.0,-70.0,-70.0,0.0
low,1.1900000000000002,-70.0,-70.0,-70.0,0.0
low,1.2000000000000002,-70.0,-70.0,-70.0,0.0
low,1.2100000000000002,-70.0,-70.0,-70.0,0.0
low,1.2200000000000002,-70.0,-70.0,-70.0,0.0
low,1.2300000000000002,-70.0,-70.0,-70.0,0.0
low,1.24,-70.0,-70.0,-70.0,0.0
low,1.25,-70.0,-70.0,-70.0,0.0
low,1.26,-70.0,-70.0,-70.0,0.0
low,1.27,-70.0,-70.0,-70.0,0.0
low,1.28,-70.0,-70.0,-70.0,0.0
low,1.29,-70.0,-70.0,-70.0,0.0
low,1.3000000000000003,-70.0,-70.0,-70.0,0.0
low,1.3100000000000003,-70.0,-70.0,-70.0,0.0
low,1.3200000000000003,-70.0,-70.0,-70.0,0.0
low,1.33,-70.0,-70.0,-70.0,0.0
low,1.34,-70.0,-70.0,-70.0,0.0
low,1.35,-70.0,-70.0,-70.0,0.0
low,1.36,-70.0,-70.0,-70.0,0.0
low,1.37,-70.0,-70.0,-70.0,0.0
low,1.3800000000000001,-70.0,-70.0,-70.0,0.0
low,1.3900000000000001,-70.0,-70.0,-70.0,0.0
low,1.4000000000000001,-70.0,-70.0,-70.0,0.0
low,1.41,-70.0,-70.0,-70.0,0.0
low,1.42,-70.0,-70.0,-70.0,0.0
low,1.4300000000000002,-70.0,-70.0,-70.0,0.0
low,1.4400000000000002,-70.0,-70.0,-70.0,0.0
low,1.4500000000000002,-70.0,-70.0,-70.0,0.0
low,1.4600000000000002,-70.0,-70.0,-70.0,0.0
low,1.4700000000000002,-70.0,-70.0,-70.0,0.0
low,1.4800000000000002,-70.0,-70.0,-70.0,0.0
low,1.4900000000000002,-70.0,-70.0,-70.0,0.0
low,1.5,-70.0,-70.0,-70.0,0.0
low,1.51,-70.0,-70.0,-70.0,0.0
low,1.52,-70.0,-70.0,-70.0,0.0
low,1.53,-70.0,-70.0,-70.0,0.0
low,1.54,-70.0,-70.0,-70.0,0.0
low,1.5500000000000003,-70.0,-70.0,-70.0,0.0
low,1.5600000000000003,-70.0,-70.0,-70.0,0.0
low,1.5700000000000003,-70.0,-70.0,-70.0,0.0
low,1.58,-70.0,-70.0,-70.0,0.0
low,1.59,-70.0,-70.0,-70.0,0.0
low,1.6,-70.0,-70.0,-70.0,0.0
low,1.61,-70.0,-70.0,-70.0,0.0
low,1.62,-70.0,-70.0,-70.0,0.0
low,1.6300000000000001,-70.0,-70.0,-70.0,0.0
low,1.6400000000000001,-70.0,-70.0,-70.0,0.0
low,1.6500000000000001,-70.0,-70.0,-70.0,0.0
low,1.6600000000000001,-70.0,-70.0,-70.0,0.0
low,1.6700000000000002,-70.0,-70.0,-70.0,0.0
low,1.6800000000000002,-70.0,-70.0,-70.0,0.0
low,1.6900000000000002,-70.0,-70.0,-70.0,0.0
low,1.7000000000000002,-70.0,-70.0,-70.0,0.0
low,1.7100000000000002,-70.0,-70.0,-70.0,0.0
low,1.7200000000000002,-70.0,-70.0,-70.0,0.0
low,1.7300000000000002,-70.0,-70.0,-70.0,0.0
low,1.7400000000000002,-70.0,-70.0,-70.0,0.0
low,1.75,-70.0,-70.0,-70.0,0.0
low,1.76,-70.0,-70.0,-70.0,0.0
low,1.77,-70.0,-70.0,-70.0,0.0
low,1.78,-70.0,-70.0,-70.0,0.0
low,1.79,-70.0,-70.0,-70.0,0.0
low,1.8000000000000003,-70.0,-70.0,-70.0,0.0
low,1.8100000000000003,-70.0,-70.0,-70.0,0.0
low,1.8200000000000003,-70.0,-70.0,-70.0,0.0
low,1.8300000000000003,-70.0,-70.0,-70.0,0.0
low,1.84,-70.0,-70.0,-70.0,0.0
low,1.85,-70.0,-70.0,-70.0,0.0
low,1.86,-70.0,-70.0,-70.0,0.0
