group,target,predictor,pearson,spearman,abs_spearman,n
all,Gamma_h_to_d,R_neck_Mohm,-0.7189357759320262,-0.7565491630938965,0.7565491630938965,47
all,Gamma_h_to_d,R_in_d_Mohm,0.31101709240953906,0.4038999765276994,0.4038999765276994,47
all,Gamma_h_to_d,SMI,-0.9445941309767152,-0.9249061498523893,0.9249061498523893,47
all,Gamma_h_to_d,Zin_50Hz_Mohm,0.30881253492123045,0.3803205704045313,0.3803205704045313,47
all,Gamma_h_to_d,transfer_gain_50Hz,-0.4360905615026215,-0.3803205704045313,0.3803205704045313,47
all,Gamma_h_to_d,electrotonic_distance_50Hz,0.3769349392200395,0.3803205704045313,0.3803205704045313,47
all,Gamma_h_to_d,active_frozen_Zin_50Hz_Mohm,0.30830258167193814,0.35533726715720504,0.35533726715720504,47
all,Gamma_h_to_d,active_frozen_transfer_gain_50Hz,-0.43609301215107604,-0.3970462388483018,0.3970462388483018,47
all,Gamma_h_to_d,path_length_um,0.3568317388081334,0.3438716593869338,0.3438716593869338,47
all,Gamma_h_to_d,branch_order,-0.0015463362485891878,0.07095783895351056,0.07095783895351056,47
all,Gamma_h_to_d,membrane_area_um2,0.20401478215782914,0.26109923181165956,0.26109923181165956,47
all,Gamma_h_to_d,dendritic_capacitance_pF,0.20401478215782892,0.26109923181165956,0.26109923181165956,47
all,Gamma_h_to_d,active_profile_channel_count,0.10225578262523784,0.17691463356814616,0.17691463356814616,47
all,Gamma_h_to_s,R_neck_Mohm,-0.7527395852028472,-0.6937319918290299,0.6937319918290299,47
all,Gamma_h_to_s,R_in_d_Mohm,-0.6587005089583483,-0.554937217242022,0.554937217242022,47
all,Gamma_h_to_s,SMI,-0.5136623080457543,-0.33936895517616456,0.33936895517616456,47
all,Gamma_h_to_s,Zin_50Hz_Mohm,-0.7782509171736234,-0.7642191103949165,0.7642191103949165,47
all,Gamma_h_to_s,transfer_gain_50Hz,0.7122823608325695,0.7642191103949165,0.7642191103949165,47
all,Gamma_h_to_s,electrotonic_distance_50Hz,-0.7662132359481405,-0.7642191103949165,0.7642191103949165,47
all,Gamma_h_to_s,active_frozen_Zin_50Hz_Mohm,-0.7778080805197232,-0.7424776252288714,0.7424776252288714,47
all,Gamma_h_to_s,active_frozen_transfer_gain_50Hz,0.7122828659002005,0.759856363433495,0.759856363433495,47
all,Gamma_h_to_s,path_length_um,-0.6680830238025717,-0.7097704640431497,0.7097704640431497,47
all,Gamma_h_to_s,branch_order,-0.3703013803399519,-0.3881811189809695,0.3881811189809695,47
all,Gamma_h_to_s,membrane_area_um2,-0.4752998930089825,-0.24366366048583346,0.24366366048583346,47
all,Gamma_h_to_s,dendritic_capacitance_pF,-0.4752998930089825,-0.24366366048583346,0.24366366048583346,47
all,Gamma_h_to_s,active_profile_channel_count,-0.05558433097764257,0.0038459702949596992,0.0038459702949596992,47
all,A_h_mV,R_neck_Mohm,0.6971728722301253,0.67096419613041,0.67096419613041,47
all,A_h_mV,R_in_d_Mohm,0.5903001462259643,0.6537712951463458,0.6537712951463458,47
all,A_h_mV,SMI,0.4711936468026088,0.23640435500065868,0.23640435500065868,47
all,A_h_mV,Zin_50Hz_Mohm,0.6432166759990225,0.7124265342587042,0.7124265342587042,47
all,A_h_mV,transfer_gain_50Hz,-0.5286543779676406,-0.7124265342587042,0.7124265342587042,47
all,A_h_mV,electrotonic_distance_50Hz,0.5999314191840264,0.7124265342587042,0.7124265342587042,47
all,A_h_mV,active_frozen_Zin_50Hz_Mohm,0.6403610358349293,0.6659532480011786,0.6659532480011786,47
all,A_h_mV,active_frozen_transfer_gain_50Hz,-0.5286593784745031,-0.7359316338384632,0.7359316338384632,47
all,A_h_mV,path_length_um,0.4780805703430586,0.7021385235695674,0.7021385235695674,47
all,A_h_mV,branch_order,0.26736265318882074,0.3965291000343237,0.3965291000343237,47
all,A_h_mV,membrane_area_um2,0.31036582638477794,0.23677629957064947,0.23677629957064947,47
all,A_h_mV,dendritic_capacitance_pF,0.31036582638477794,0.23677629957064947,0.23677629957064947,47
all,A_h_mV,active_profile_channel_count,0.32961318211887425,0.1717039641362653,0.1717039641362653,47
all,local_voltage_isolation,R_neck_Mohm,0.7189357759320262,0.7565491630938965,0.7565491630938965,47
all,local_voltage_isolation,R_in_d_Mohm,-0.31101709240953906,-0.4038999765276994,0.4038999765276994,47
all,local_voltage_isolation,SMI,0.9445941309767152,0.9249061498523893,0.9249061498523893,47
all,local_voltage_isolation,Zin_50Hz_Mohm,-0.30881253492123045,-0.3803205704045313,0.3803205704045313,47
all,local_voltage_isolation,transfer_gain_50Hz,0.4360905615026215,0.3803205704045313,0.3803205704045313,47
all,local_voltage_isolation,electrotonic_distance_50Hz,-0.3769349392200395,-0.3803205704045313,0.3803205704045313,47
all,local_voltage_isolation,active_frozen_Zin_50Hz_Mohm,-0.30830258167193814,-0.35533726715720504,0.35533726715720504,47
all,local_voltage_isolation,active_frozen_transfer_gain_50Hz,0.436093012151076,0.3970462388483018,0.3970462388483018,47
all,local_voltage_isolation,path_length_um,-0.3568317388081334,-0.3438716593869338,0.3438716593869338,47
all,local_voltage_isolation,branch_order,0.0015463362485891852,-0.07095783895351056,0.07095783895351056,47
all,local_voltage_isolation,membrane_area_um2,-0.20401478215782914,-0.26109923181165956,0.26109923181165956,47
all,local_voltage_isolation,dendritic_capacitance_pF,-0.20401478215782892,-0.26109923181165956,0.26109923181165956,47
all,local_voltage_isolation,active_profile_channel_count,-0.10225578262523786,-0.17691463356814616,0.17691463356814616,47
AMPA/none,Gamma_h_to_d,R_neck_Mohm,-0.6820906864265616,-0.6849174907329854,0.6849174907329854,8
AMPA/none,Gamma_h_to_d,R_in_d_Mohm,0.42150001460672065,0.4879500364742666,0.4879500364742666,8
AMPA/none,Gamma_h_to_d,SMI,-0.9527172331357692,-0.9385906354489059,0.9385906354489059,8
AMPA/none,Gamma_h_to_d,Zin_50Hz_Mohm,0.42210106128321156,0.4879500364742666,0.4879500364742666,8
AMPA/none,Gamma_h_to_d,transfer_gain_50Hz,-0.4316177873120582,-0.4879500364742666,0.4879500364742666,8
AMPA/none,Gamma_h_to_d,electrotonic_distance_50Hz,0.4321466704877783,0.4879500364742666,0.4879500364742666,8
AMPA/none,Gamma_h_to_d,active_frozen_Zin_50Hz_Mohm,0.42210106128321156,0.4879500364742666,0.4879500364742666,8
AMPA/none,Gamma_h_to_d,active_frozen_transfer_gain_50Hz,-0.4316177873120582,-0.4879500364742666,0.4879500364742666,8
AMPA/none,Gamma_h_to_d,path_length_um,0.3832927902274651,0.3903600291794133,0.3903600291794133,8
AMPA/none,Gamma_h_to_d,branch_order,0.14246647068253213,0.1259881576697424,0.1259881576697424,8
AMPA/none,Gamma_h_to_d,membrane_area_um2,0.2516174048786843,0.19518001458970666,0.19518001458970666,8
AMPA/none,Gamma_h_to_d,dendritic_capacitance_pF,0.25161740487868417,0.19518001458970666,0.19518001458970666,8
AMPA/none,Gamma_h_to_d,active_profile_channel_count,nan,nan,nan,8
AMPA/none,Gamma_h_to_s,R_neck_Mohm,-0.7413742245441284,-0.8117540630909456,0.8117540630909456,8
AMPA/none,Gamma_h_to_s,R_in_d_Mohm,-0.7923556894006474,-0.7319250547113999,0.7319250547113999,8
AMPA/none,Gamma_h_to_s,SMI,-0.4223112367438772,-0.43124434601706485,0.43124434601706485,8
