protocol_family,protocol,active_profile,g_scale,A_h_mV,V_h_peak_mV,V_h_min_mV,A_d_mV,Gamma_h_to_d,V_d_peak_mV,V_d_min_mV,A_s_mV,Gamma_h_to_s,V_s_peak_mV,V_s_min_mV,local_voltage_isolation,max_voltage_mV,min_voltage_mV,min_gate,max_gate,spine_count,somatic_pulse_nA,soma_crossed_0mV,clamp_conductance_nS,command_peak_mV,head_escape_mV,dendrite_escape_mV
synaptic_strength_sweep,AMPA,full_restrained,0.25,3.96347887617797,-65.90536354513792,-69.86880814924416,3.6055131622597796,0.9096839607069179,-66.26730417075103,-69.87278302197662,0.32669066786197853,0.0824252324960062,-69.62562099383986,-69.952276996261,0.09031603929308207,-65.90536354513792,-70.0,0.028905534475191907,0.7540796658225246,,,,,,,
synaptic_strength_sweep,AMPA,full_restrained,0.5,7.5345284136651705,-62.33431400765072,-69.86880814924416,6.854664040835123,0.9097668313789892,-63.0181532921757,-69.87278302197662,0.6173430725523732,0.08193519735524718,-69.33496858914947,-69.952276996261,0.09023316862101083,-62.33431400765072,-70.0,0.028905534475191907,0.7540796658225246,,,,,,,
synaptic_strength_sweep,AMPA,full_restrained,1.0,13.757348876683901,-56.11149354463198,-69.86880814924416,12.523111226775983,0.9102852111281616,-57.349706106234834,-69.87278302197662,1.144293746070904,0.08317690830754935,-68.80801791563093,-69.952276996261,0.08971478887183837,-56.11149354463198,-70.0,0.028905534475191907,0.7540796658225246,,,,,,,
synaptic_strength_sweep,AMPA,full_restrained,2.0,23.97723097328716,-45.891611448028726,-69.86880814924416,21.91391512775901,0.9139468670161757,-47.9589022052518,-69.87278302197662,2.071246810266464,0.08638390365317926,-67.88106485143537,-69.952276996261,0.08605313298382433,-45.891611448028726,-70.0,0.028905534475191907,0.7540796658225246,,,,,,,
synaptic_strength_sweep,AMPA,full_restrained,4.0,41.74050659668432,-28.12833582463157,-69.86880814924416,38.75008063420765,0.9283567400996946,-31.12273669880317,-69.87278302197662,3.610271688695696,0.08649324081233073,-66.34203997300614,-69.952276996261,0.0716432599003054,-28.12833582463157,-70.0,0.028905534475191907,0.7540796658225246,,,,,,,
synaptic_strength_sweep,AMPA_NMDA,full_restrained,0.25,4.008973209480682,-65.8598692118352,-69.86880814924416,3.6472336751105088,0.9097675351098112,-66.2255836579003,-69.87278302197662,0.34335967372506326,0.08564778455317783,-69.60895198797677,-69.952276996261,0.09023246489018877,-65.8598692118352,-70.0,0.028905534475191907,0.7540796658225246,,,,,,,
synaptic_strength_sweep,AMPA_NMDA,full_restrained,0.5,7.63519432266134,-62.23364809865455,-69.86880814924416,6.946871883154085,0.909848733323747,-62.925945449856734,-69.87278302197662,0.6519860995929383,0.08539220772126735,-69.3003255621089,-69.952276996261,0.09015126667625295,-62.23364809865455,-70.0,0.028905534475191907,0.7540796658225246,,,,,,,
synaptic_strength_sweep,AMPA_NMDA,full_restrained,1.0,13.999017620749225,-55.86982480056666,-69.86880814924416,12.745709176185152,0.9104716860484244,-57.12710815682566,-69.87278302197662,1.2213486287460524,0.08724530976629244,-68.73096303295578,-69.952276996261,0.08952831395157557,-55.86982480056666,-70.0,0.028905534475191907,0.7540796658225246,,,,,,,
synaptic_strength_sweep,AMPA_NMDA,full_restrained,2.0,24.76566289153976,-45.10317952977613,-69.86880814924416,22.65843546295092,0.9149133444229876,-47.214381870059896,-69.87278302197662,2.2672464796818086,0.09154798276997975,-67.68506518202003,-69.952276996261,0.08508665557701245,-45.10317952977613,-70.0,0.028905534475191907,0.7540796658225246,,,,,,,
synaptic_strength_sweep,AMPA_NMDA,full_restrained,4.0,44.29851366617625,-25.570328755139638,-69.86880814924416,41.163125419677606,0.9292213668809245,-28.709691913333213,-69.87278302197662,4.053015334915811,0.09149325788802831,-65.89929632678603,-69.952276996261,0.0707786331190755,-25.570328755139638,-70.0,0.028905534475191907,0.7785150698999459,,,,,,,
clustered_spine_activation,AMPA_NMDA,full_restrained,,61.73118500197718,-7.9224207773010376,-69.65354227019017,60.68035129357044,0.9829772633009866,-8.977078803333175,-69.65736649948475,3.5677853321534196,0.05779551019535989,-66.34225600463171,-69.90997398819063,0.01702273669901344,-7.9224207773010376,-70.0,0.028905534475191907,0.9379121942402527,3,,,,,,
asynchronous_spine_activation,AMPA_NMDA,full_restrained,,38.99945196427325,-30.65415381500497,-69.65354227019017,38.46964507407931,0.9864150170448731,-31.18778502282431,-69.65736649948475,3.596369172937028,0.09221589001382896,-66.31367216384811,-69.90997398819063,0.01358498295512689,-30.175703542392487,-70.0,0.028905534475191907,0.7540796658225246,3,,,,,,
back_propagating_action_potential,somatic_current_pulse,strong_na_kdr,,111.28113679970409,40.76735146776053,-70.50618071233072,108.55759359108663,0.9755255626699826,38.06064922295171,-70.4892343112215,105.83662147053712,0.9510742297774457,35.62293362400901,-69.48913728746786,0.024474437330017418,40.76735146776053,-70.51378533194357,0.004005683545262614,0.9977248157233598,,8.0,True,,,,
somatic_voltage_clamp_escape,conductance_clamp_step,hcn,,34.926098115989156,-34.92767474942302,-69.85299534189174,34.93175062744813,1.0001618420540481,-34.92803425637136,-69.85899731276886,35.05164105921098,1.0035945310239034,-34.92936274863148,-69.80065538794216,-0.00016184205404812246,-34.92767474942302,-70.0,0.0816921773803575,0.18242552380635635,,,,50.0,-30.0,4.927674749423019,4.928034256371362
