parameter,output,baseline_parameter,low_parameter,high_parameter,baseline_output,low_output,high_output,normalized_sensitivity,abs_normalized_sensitivity
neck_radius_um,R_neck_Mohm,0.12,0.11399999999999999,0.126,16.578639905405762,18.36968410571276,15.037315106944002,-2.0100376253918015,2.0100376253918015
neck_radius_um,R_in_d_Mohm,0.12,0.11399999999999999,0.126,309.9272163134145,309.9272163134145,309.9272163134145,0.0,0.0
neck_radius_um,SMI,0.12,0.11399999999999999,0.126,0.053492042753162355,0.05927096149934888,0.048518859640056554,-2.0100376253918006,2.0100376253918006
neck_radius_um,Gamma_h_to_d,0.12,0.11399999999999999,0.126,0.9097310724695381,0.9008921728908135,0.9174346216488759,0.18183888908132612,0.18183888908132612
neck_radius_um,Gamma_h_to_s,0.12,0.11399999999999999,0.126,0.08356683751435459,0.082813271427912,0.08422325121859187,0.16872479952800198,0.16872479952800198
neck_radius_um,A_h_mV,0.12,0.11399999999999999,0.126,13.681660764325947,13.788953854883191,13.589627995535196,-0.14568835083802445,0.14568835083802445
neck_radius_um,local_voltage_isolation,0.12,0.11399999999999999,0.126,0.0902689275304619,0.09910782710918653,0.0825653783511241,-1.8325739776270247,1.8325739776270247
neck_radius_um,Zin_50Hz_Mohm,0.12,0.11399999999999999,0.126,166.104348925641,166.104348925641,166.104348925641,0.0,0.0
neck_radius_um,transfer_gain_50Hz,0.12,0.11399999999999999,0.126,0.0845404828474499,0.0845404828474499,0.0845404828474499,0.0,0.0
neck_radius_um,dynamic_SMI_abs_50Hz,0.12,0.11399999999999999,0.126,0.09980858425824499,0.11059122909500832,0.09052932812539227,-2.0100376253918015,2.0100376253918015
neck_radius_um,active_Gamma_h_to_d,0.12,0.11399999999999999,0.126,0.9102361021521511,0.9014986850278572,0.9179076000159089,0.18027097529151595,0.18027097529151595
neck_radius_um,active_Gamma_h_to_s,0.12,0.11399999999999999,0.126,0.08615702419831049,0.08538228487011273,0.08683536169828446,0.1686544819406862,0.1686544819406862
neck_radius_um,active_A_h_mV,0.12,0.11399999999999999,0.126,13.891694535969702,14.00242394094823,13.796207779165181,-0.1484456494843692,0.1484456494843692
neck_radius_um,active_Zin_50Hz_Mohm,0.12,0.11399999999999999,0.126,165.66902520272018,165.66902520272018,165.66902520272018,0.0,0.0
neck_radius_um,active_transfer_gain_50Hz,0.12,0.11399999999999999,0.126,0.08453693327121999,0.08453693327121999,0.08453693327121999,0.0,0.0
neck_length_um,R_neck_Mohm,0.75,0.7125,0.7875,16.578639905405762,15.749707910135475,17.40757190067605,0.9999999999999997,0.9999999999999997
neck_length_um,R_in_d_Mohm,0.75,0.7125,0.7875,309.9272163134145,309.9272163134145,309.9272163134145,0.0,0.0
neck_length_um,SMI,0.75,0.7125,0.7875,0.053492042753162355,0.05081744061550424,0.05616664489082047,0.9999999999999986,0.9999999999999986
neck_length_um,Gamma_h_to_d,0.75,0.7125,0.7875,0.9097310724695381,0.9138580296224569,0.9056313707588879,-0.09042956883111698,0.09042956883111698
neck_length_um,Gamma_h_to_s,0.75,0.7125,0.7875,0.08356683751435459,0.08391850183652552,0.08321740987685493,-0.08389595448675022,0.08389595448675022
neck_length_um,A_h_mV,0.75,0.7125,0.7875,13.681660764325947,13.632202062156768,13.731179461224583,0.07234311738374055,0.07234311738374055
neck_length_um,local_voltage_isolation,0.75,0.7125,0.7875,0.0902689275304619,0.08614197037754312,0.09436862924111211,0.9113500169582553,0.9113500169582553
neck_length_um,Zin_50Hz_Mohm,0.75,0.7125,0.7875,166.104348925641,166.104348925641,166.104348925641,0.0,0.0
neck_length_um,transfer_gain_50Hz,0.75,0.7125,0.7875,0.0845404828474499,0.0845404828474499,0.0845404828474499,0.0,0.0
neck_length_um,dynamic_SMI_abs_50Hz,0.75,0.7125,0.7875,0.09980858425824499,0.09481815504533274,0.10479901347115722,0.999999999999999,0.999999999999999
neck_length_um,active_Gamma_h_to_d,0.75,0.7125,0.7875,0.9102361021521511,0.9143453832265441,0.9061716535392529,-0.08979790702615928,0.08979790702615928
neck_length_um,active_Gamma_h_to_s,0.75,0.7125,0.7875,0.08615702419831049,0.08652048276522298,0.08579667801487355,-0.08400995241936686,0.08400995241936686
neck_length_um,active_A_h_mV,0.75,0.7125,0.7875,13.891694535969702,13.840364074921451,13.942972502620645,0.07386314710096019,0.07386314710096019
neck_length_um,active_Zin_50Hz_Mohm,0.75,0.7125,0.7875,165.66902520272018,165.66902520272018,165.66902520272018,0.0,0.0
neck_length_um,active_transfer_gain_50Hz,0.75,0.7125,0.7875,0.08453693327121999,0.08453693327121999,0.08453693327121999,0.0,0.0
intracellular_resistivity_ohm_cm,R_neck_Mohm,100.0,95.0,105.0,16.578639905405762,15.749707910135474,17.40757190067605,1.0000000000000002,1.0000000000000002
intracellular_resistivity_ohm_cm,R_in_d_Mohm,100.0,95.0,105.0,309.9272163134145,309.9272163134145,309.9272163134145,0.0,0.0
intracellular_resistivity_ohm_cm,SMI,100.0,95.0,105.0,0.053492042753162355,0.050817440615504236,0.05616664489082047,0.9999999999999992,0.9999999999999992
intracellular_resistivity_ohm_cm,Gamma_h_to_d,100.0,95.0,105.0,0.9097310724695381,0.9138580296224565,0.9056313707588879,-0.09042956883111326,0.09042956883111326
intracellular_resistivity_ohm_cm,Gamma_h_to_s,100.0,95.0,105.0,0.08356683751435459,0.0839185018365254,0.08321740987685493,-0.08389595448673522,0.08389595448673522
intracellular_resistivity_ohm_cm,A_h_mV,100.0,95.0,105.0,13.681660764325947,13.63220206215679,13.731179461224583,0.07234311738372493,0.07234311738372493
intracellular_resistivity_ohm_cm,local_voltage_isolation,100.0,95.0,105.0,0.0902689275304619,0.08614197037754345,0.09436862924111211,0.9113500169582178,0.9113500169582178
intracellular_resistivity_ohm_cm,Zin_50Hz_Mohm,100.0,95.0,105.0,166.104348925641,166.104348925641,166.104348925641,0.0,0.0
intracellular_resistivity_ohm_cm,transfer_gain_50Hz,100.0,95.0,105.0,0.0845404828474499,0.0845404828474499,0.0845404828474499,0.0,0.0
intracellular_resistivity_ohm_cm,dynamic_SMI_abs_50Hz,100.0,95.0,105.0,0.09980858425824499,0.09481815504533272,0.10479901347115722,0.9999999999999998,0.9999999999999998
intracellular_resistivity_ohm_cm,active_Gamma_h_to_d,100.0,95.0,105.0,0.9102361021521511,0.9143453832265463,0.9061716535392529,-0.08979790702618361,0.08979790702618361
intracellular_resistivity_ohm_cm,active_Gamma_h_to_s,100.0,95.0,105.0,0.08615702419831049,0.08652048276522176,0.08579667801487355,-0.08400995241922506,0.08400995241922506
intracellular_resistivity_ohm_cm,active_A_h_mV,100.0,95.0,105.0,13.891694535969702,13.840364074921647,13.942972502620645,0.07386314710081947,0.07386314710081947
intracellular_resistivity_ohm_cm,active_Zin_50Hz_Mohm,100.0,95.0,105.0,165.66902520272018,165.66902520272018,165.66902520272018,0.0,0.0
