sample_id,true_radius_um,true_SMI,true_class,measurement_sd_um,measured_SMI_min,measured_SMI_max,class_stable_fraction,class_flips
0,0.1457177801851353,0.04820313599215615,low,0.018,0.030995992059934523,0.0850249454870258,1.0,False
1,0.1121856787100883,0.056711374868178996,low,0.018,0.032503681094897686,0.12296976237641491,1.0,False
2,0.08630116024310659,0.21339574055000943,low,0.018,0.10625707611476663,0.441485571505523,0.6,True
3,0.12502724147625652,0.0596050616468424,low,0.018,0.035933021202717894,0.11755648886564028,1.0,False
4,0.13353866697053637,0.06493530564657386,low,0.018,0.04028630479177709,0.12171422286168868,1.0,False
5,0.13075618098239553,0.08400969445488958,low,0.018,0.05165233742653361,0.15997008030239163,1.0,False
6,0.11588717461236543,0.08036169805645128,low,0.018,0.04678187748693979,0.1691086143302542,1.0,False
7,0.14108382086331323,0.08982569609975524,low,0.018,0.05701606607236493,0.16191359150158416,1.0,False
8,0.12054554770050488,0.16990335281884072,low,0.018,0.10074485066501192,0.34540038267968887,0.8,True
9,0.13127036789672006,0.06417737288451389,low,0.018,0.039525494837464946,0.12184273958501685,1.0,False
10,0.1081538299157109,0.13795166755183827,low,0.018,0.07765302710752914,0.30995024519500985,0.88,True
11,0.1274031769085055,0.054207074057633545,low,0.018,0.032953040296894644,0.1053158893657387,1.0,False
12,0.09599278648181209,0.049163847967389526,low,0.018,0.026002952914204933,0.12584053714385746,1.0,False
13,0.16424236172863121,0.030942276545241496,low,0.018,0.02081664367463537,0.05075275373701494,1.0,False
14,0.1297200060495856,0.055146267840842235,low,0.018,0.0337893755168355,0.10564900966711321,1.0,False
15,0.11154801795332014,0.06330196915191315,low,0.018,0.036180467644682135,0.13800498875908274,1.0,False
16,0.13616632957598895,0.06694848210958948,low,0.018,0.04187779005374382,0.12371907855735431,1.0,False
17,0.11434217999954617,0.09995138328191487,low,0.018,0.05781493721194535,0.21291705000219857,1.0,False
18,0.14311743375184005,0.03739651456262169,low,0.018,0.023874841145043943,0.06675685806061685,1.0,False
19,0.11320190934392237,0.03378155804367074,low,0.018,0.019446364336554344,0.07263251746358926,1.0,False
20,0.15903489653562514,0.08461424597377681,low,0.018,0.056260514759932795,0.14137471200883853,1.0,False
21,0.08996405367018873,0.09384339289392024,low,0.018,0.047868352073792565,0.2109790014167065,1.0,False
22,0.12395144554148393,0.05565440520149163,low,0.018,0.033421535492716516,0.11053931627539558,1.0,False
23,0.13914777806450584,0.09199749726258308,low,0.018,0.058065651077551815,0.16742056767268773,1.0,False
24,0.10580267173058244,0.14658274978844876,low,0.018,0.08160322200576467,0.33676894953390224,0.84,True
25,0.14201795360070568,0.08222782879646928,low,0.018,0.05233325109125311,0.1475524719737165,1.0,False
26,0.14488717645041066,0.05889614394394209,low,0.018,0.0377860243514671,0.10427814261800541,1.0,False
27,0.14623441862647293,0.01989044723877865,low,0.018,0.012808047893437315,0.03500332675469539,1.0,False
28,0.12021314762592686,0.057449011071694686,low,0.018,0.03402133316725872,0.11706489883239146,1.0,False
29,0.10614357615707723,0.091413197652424,low,0.018,0.050973195128759044,0.20932472262812213,1.0,False
30,0.11744835340294,0.08711188072880903,low,0.018,0.05103249362664984,0.18113677758982014,1.0,False
31,0.12159184265343433,0.03256659423596881,low,0.018,0.01938714042217713,0.06572286255016548,1.0,False
32,0.07194308645850819,0.21931236928008868,low,0.018,0.09742077820432798,0.31531073534760384,0.56,True
33,0.1384166038900721,0.08422948916421036,low,0.018,0.05304749660782722,0.15385081613054297,1.0,False
34,0.15099932741857705,0.04695474059069223,low,0.018,0.030616065775979574,0.08095410403458908,1.0,False
35,0.13200425683378864,0.03877812794273646,low,0.018,0.023939889435633202,0.07331312499622113,1.0,False
36,0.12241478184334682,0.03708735586068551,low,0.018,0.022146351578059744,0.0744247734915662,1.0,False
37,0.12372649982990908,0.025855657798518946,low,0.018,0.015514118191489993,0.05143034546287085,1.0,False
38,0.09227001787546193,0.2606140385439706,intermediate,0.018,0.13485551292085962,0.6163345517033029,0.52,True
39,0.14811450822895475,0.0941010303231481,low,0.018,0.0608994760198777,0.1642350881414544,1.0,False
40,0.13758898652978452,0.039463849492627136,low,0.018,0.02479262173171407,0.07238915948244394,1.0,False
41,0.11425984106541288,0.06887645792880906,low,0.018,0.03982650403517363,0.14681827356444188,1.0,False
42,0.11869611740647104,0.07357466133554737,low,0.018,0.043315414091500436,0.15157621514136466,1.0,False
43,0.11052450555524182,0.05145352622543946,low,0.018,0.029276002505041504,0.11317072499667166,1.0,False
44,0.11492486044513651,0.11124804275793067,low,0.018,0.06450580259224346,0.23588086068927283,1.0,False
45,0.10419873583223924,0.09305914504721467,low,0.018,0.051403863661762764,0.21723575589790334,1.0,False
46,0.15332988556397548,0.0282552485120054,low,0.018,0.018531663672480415,0.04825423781982059,1.0,False
47,0.10171294313817278,0.18994397129022728,low,0.018,0.10361638495691418,0.4550678127563973,0.68,True
48,0.10864578939088834,0.08761966266892232,low,0.018,0.04943286530115838,0.19597762113415634,1.0,False
49,0.12845124104586314,0.18088634780027857,low,0.018,0.1103590844476624,0.3491860687269253,0.76,True
50,0.11543598879332802,0.1905059562958786,low,0.018,0.1106962269223155,0.40230589994100063,0.68,True
51,0.09952168116797971,0.10926441104732133,low,0.018,0.05892459084400031,0.26820703762747417,0.96,True
52,0.13279319579983043,0.08616802948011949,low,0.018,0.053332007960912024,0.1621840528064256,1.0,False
53,0.13232432887367446,0.052332515429068534,low,0.018,0.03234128168701371,0.09875953275191107,1.0,False
54,0.12560861158011966,0.0868091646666318,low,0.018,0.052441536674845426,0.170570888177503,1.0,False
55,0.11003713752267914,0.1266615282881007,low,0.018,0.07191122200349757,0.2797847593465047,0.92,True
56,0.10223292072267733,0.10906464605634447,low,0.018,0.05965441107336625,0.2598470061733781,0.96,True
57,0.09771244326882168,0.06895295010567633,low,0.018,0.0368221335184835,0.17286501793243897,1.0,False
58,0.1257476341734955,0.03321644755991973,low,0.018,0.02007598928670883,0.06520889057519043,1.0,False
59,0.12433013846177166,0.06438843667457861,low,0.018,0.038719557025685865,0.12756833666866738,1.0,False
60,0.15431573181905361,0.09919393490882157,low,0.018,0.06521629845733473,0.16874096772633174,1.0,False
61,0.10511881542711313,0.07688944583811498,low,0.018,0.04266362985061568,0.17784230323964972,1.0,False
62,0.10904589394600386,0.06899842320031337,low,0.018,0.03899841192853273,0.1537680771209632,1.0,False
63,0.09919226716026526,0.046582797975524164,low,0.018,0.025077110968292102,0.11477659331220336,1.0,False
64,0.10383991275280477,0.1829931169956418,low,0.018,0.10090230682479838,0.4287388339020032,0.68,True
65,0.11082192899389452,0.042794117760203344,low,0.018,0.024381119142596552,0.09388099565537168,1.0,False
66,0.11662288658334938,0.1072825925573069,low,0.018,0.06264083048036524,0.22448128850848706,1.0,False
67,0.12791204164622283,0.05732235286282046,low,0.018,0.03490801472281389,0.11102020977483827,1.0,False
68,0.13523278137731362,0.1032223508564292,low,0.018,0.06438191411520698,0.19170232406952942,1.0,False
69,0.08865008372953861,0.16742836395215932,low,0.018,0.08468416011545087,0.36549785535612317,0.72,True
70,0.0805639272611822,0.08834677802126771,low,0.018,0.042203029792891415,0.15928301663741443,1.0,False
71,0.11237445077825384,0.1022107036031981,low,0.018,0.05862910890741095,0.22127652468379475,1.0,False
72,0.1404476208327756,0.07445041673295556,low,0.018,0.0471698280135048,0.13461665745907808,1.0,False
73,0.09264979620363221,0.1835166491604413,low,0.018,0.09518011000586206,0.43758447647237236,0.68,True
74,0.13037199699476035,0.050070092799947896,low,0.018,0.030745854888524562,0.09555661168631549,1.0,False
75,0.1196087481595421,0.18976536531945565,low,0.018,0.11211786601679988,0.3883643876294955,0.72,True
76,0.1288569278414503,0.0883986753715338,low,0.018,0.05400660761241448,0.1702286601935847,1.0,False
77,0.12687235269319577,0.08010570492776889,low,0.018,0.04860743384165448,0.15614708788109105,1.0,False
78,0.12322448318414735,0.08352132209775014,low,0.018,0.050023223613330677,0.1666919247530057,1.0,False
79,0.11333328841884781,0.16838001657562465,low,0.018,0.09698225345241031,0.36163676237563064,0.76,True
80,0.12204843842510567,0.0964037842455021,low,0.018,0.05748812152048089,0.19394230356501155,1.0,False
81,0.13585341649338603,0.02608875857074282,low,0.018,0.016303400685178042,0.04829127649682841,1.0,False
82,0.12131788155555268,0.0469362542539051,low,0.018,0.027912702374055198,0.09490256208046512,1.0,False
83,0.11795131493154988,0.07170666855557396,low,0.018,0.042091879091524474,0.14854336806511076,1.0,False
84,0.1262611415161064,0.1012827661136027,low,0.018,0.061326181322276664,0.19818616471028627,1.0,False
85,0.13717071263525465,0.021073422491284428,low,0.018,0.01322235994945118,0.03873898573056423,1.0,False
