group,target,predictor,intercept,slope,rmse_full,residual_mean,residual_sd,residual_p05,residual_p95,max_abs_residual,worst_sample_id,dominant_residual_correlate,dominant_residual_spearman,dominant_residual_abs_spearman,method
passive,Gamma_h_to_d,SMI,0.9615446242494508,-1.1188971251092028,0.021150283332369874,-1.734723475976807e-16,0.021261309204575585,-0.036608167151907095,0.02800029494100917,0.06157499114711973,51,membrane_leak_scale,0.8386869234943027,0.8386869234943027,least_squares_univariate_residual_audit
passive,Gamma_h_to_d,dynamic_SMI_abs_50Hz,0.9764244773036453,-0.6884989663836322,0.006001847361289081,-3.064678140892359e-16,0.006033353338190717,-0.005171206022579672,0.009269704518342525,0.03682043999793949,38,neck_length_um,-0.48434617471513836,0.48434617471513836,least_squares_univariate_residual_audit
passive,Gamma_h_to_s,SMI,0.09271144501717488,-0.136111881088308,0.007867265179944294,-2.3997008084345832e-17,0.007908563443648407,-0.01032611142148092,0.014306039004723041,0.021755113210370686,27,membrane_capacitance_scale,-0.7758138903960933,0.7758138903960933,least_squares_univariate_residual_audit
passive,Gamma_h_to_s,transfer_gain_50Hz,0.020112758799439003,0.7085211798407107,0.00794740820233294,7.083454193571962e-18,0.007989127167207911,-0.012254280428781258,0.012175496515906731,0.018904907829104006,47,membrane_leak_scale,-0.6873982637004883,0.6873982637004883,least_squares_univariate_residual_audit
passive,Gamma_h_to_s,Ztransfer_50Hz_Mohm,0.024651186064481377,0.003948611747588685,0.008160280901207687,9.685539407537172e-18,0.008203117315749405,-0.012683056418808663,0.012781534789095696,0.01946553883512571,37,membrane_leak_scale,-0.6891752577319588,0.6891752577319588,least_squares_univariate_residual_audit
passive,A_h_mV,SMI,13.517548027848347,13.756948396295192,4.605620170232075,5.366077952354923e-16,4.629796820181045,-6.268701087364608,7.667528700976107,8.794812053656619,9,synaptic_conductance_scale,0.994519804666305,0.994519804666305,least_squares_univariate_residual_audit
passive,A_h_mV,synaptic_conductance_scale,3.159770525227994,10.71042496528652,0.9526826917431681,-1.4247862149356176e-15,0.9576836851163485,-1.2291185839754353,1.8552357191308868,2.9894188188477813,92,neck_length_um,0.5813076505697232,0.5813076505697232,least_squares_univariate_residual_audit
passive,A_h_mV,Zin_50Hz_Mohm,8.663320556370596,0.03667773170960107,4.656686591449843,3.7007434154171886e-16,4.681131308443922,-6.389625320647307,7.715619989177879,9.37857880962763,75,synaptic_conductance_scale,0.9842105263157894,0.9842105263157894,least_squares_univariate_residual_audit
passive,local_voltage_isolation,SMI,0.03845537575054942,1.1188971251092026,0.021150283332369874,2.312964634635743e-17,0.021261309204575585,-0.02800029494100932,0.036608167151906935,0.06157499114711962,51,membrane_leak_scale,-0.8386869234943027,0.8386869234943027,least_squares_univariate_residual_audit
passive,local_voltage_isolation,dynamic_SMI_abs_50Hz,0.023575522696355124,0.688498966383632,0.006001847361289087,-1.227316859253591e-16,0.006033353338190719,-0.00926970451834288,0.005171206022579249,0.03682043999793988,38,neck_length_um,0.48434617471513836,0.48434617471513836,least_squares_univariate_residual_audit
active,active_Gamma_h_to_d,SMI,0.9624441070008865,-1.1122718620794632,0.021403472647334925,1.653769713764556e-16,0.021515827606441527,-0.03667331320361675,0.027587133297135552,0.0629358284955095,51,membrane_leak_scale,0.8384970157352143,0.8384970157352143,least_squares_univariate_residual_audit
active,active_Gamma_h_to_d,R_neck_Mohm,0.9776575340886032,-0.004142444276862826,0.0060747806916184605,-2.8449465006019636e-16,0.006106669523278371,-0.00728204416537781,0.009956662828743773,0.032809911372625344,38,neck_length_um,-0.43427835051546393,0.43427835051546393,least_squares_univariate_residual_audit
active,active_Gamma_h_to_s,SMI,0.09715396050343238,-0.15260229309615947,0.008305956294894707,6.866613759074862e-18,0.00834955741491998,-0.010762354703174461,0.016129799271863702,0.021260715669483232,95,membrane_capacitance_scale,-0.7268583830710797,0.7268583830710797,least_squares_univariate_residual_audit
active,active_Gamma_h_to_s,transfer_gain_50Hz,0.023294413786355706,0.7060182384910156,0.009084734121084174,2.1394922870380622e-17,0.009132423341776866,-0.012880275426809407,0.014862361239469633,0.021025439556690353,47,membrane_leak_scale,-0.6761937059142702,0.6761937059142702,least_squares_univariate_residual_audit
active,active_Gamma_h_to_s,Ztransfer_50Hz_Mohm,0.028055437234701667,0.003917804052791379,0.009289363379681994,1.7491795049432806e-17,0.009338126777091737,-0.013235767833203852,0.015878612780011958,0.021255816271871925,47,membrane_leak_scale,-0.6771839392295171,0.6771839392295171,least_squares_univariate_residual_audit
active,active_A_h_mV,SMI,13.898444489776667,14.0814631943141,4.947534336488655,8.326672684688674e-16,4.97350582378952,-6.602124347931239,8.596028929369009,10.756781213859359,9,synaptic_conductance_scale,0.9939093868692349,0.9939093868692349,least_squares_univariate_residual_audit
active,active_A_h_mV,synaptic_conductance_scale,2.701607442341277,11.512776578766523,0.9832259377108067,-2.6460315420232896e-15,0.9883872641854524,-1.3948757489987673,1.703551416520662,2.7254683843945635,92,neck_length_um,0.5208084644601194,0.5208084644601194,least_squares_univariate_residual_audit
active,active_A_h_mV,Zin_50Hz_Mohm,5.590757294546939,0.057671407397270995,4.99703820215969,5.7916634451279e-15,5.023269554057985,-6.708812779659448,8.212671361990232,11.144756571168024,79,synaptic_conductance_scale,0.9854584915897993,0.9854584915897993,least_squares_univariate_residual_audit
active,active_local_voltage_isolation,SMI,0.0375558929991133,1.1122718620794634,0.02140347264733492,6.534125092845973e-17,0.021515827606441523,-0.02758713329713532,0.03667331320361697,0.06293582849550966,51,membrane_leak_scale,-0.8384970157352143,0.8384970157352143,least_squares_univariate_residual_audit
active,active_local_voltage_isolation,R_neck_Mohm,0.022342465911396978,0.004142444276862827,0.00607478069161846,5.2981346162124985e-17,0.00610666952327837,-0.00995666282874396,0.007282044165377574,0.03280991137262562,38,neck_length_um,0.43427835051546393,0.43427835051546393,least_squares_univariate_residual_audit
