output,parameter,spearman,abs_spearman,rank_screening_share,method_note
R_neck_Mohm,neck_length_um,0.7064161692892024,0.7064161692892024,0.30231100120165094,rank-correlation uncertainty decomposition; not a Sobol index
R_neck_Mohm,neck_radius_um,-0.5556294085729788,0.5556294085729788,0.23778176393073383,rank-correlation uncertainty decomposition; not a Sobol index
R_neck_Mohm,intracellular_resistivity_ohm_cm,0.34064026044492673,0.34064026044492673,0.14577709664872898,rank-correlation uncertainty decomposition; not a Sobol index
R_neck_Mohm,nmda_fraction,-0.19221378187737384,0.19221378187737384,0.08225794279677005,rank-correlation uncertainty decomposition; not a Sobol index
R_neck_Mohm,a_type_density_scale,0.126342919153554,0.126342919153554,0.054068488299867073,rank-correlation uncertainty decomposition; not a Sobol index
R_neck_Mohm,kdr_density_scale,0.10489690721649485,0.10489690721649485,0.04489066137243634,rank-correlation uncertainty decomposition; not a Sobol index
R_neck_Mohm,membrane_capacitance_scale,0.07466087900162778,0.07466087900162778,0.0319511444709543,rank-correlation uncertainty decomposition; not a Sobol index
R_neck_Mohm,head_diameter_um,-0.05623982637004883,0.05623982637004883,0.024067849741383814,rank-correlation uncertainty decomposition; not a Sobol index
R_neck_Mohm,calcium_density_scale,0.04692078133478025,0.04692078133478025,0.020079761759634975,rank-correlation uncertainty decomposition; not a Sobol index
R_neck_Mohm,dendritic_area_scale,0.03684210526315789,0.03684210526315789,0.015766589459140962,rank-correlation uncertainty decomposition; not a Sobol index
R_neck_Mohm,na_density_scale,-0.0365979381443299,0.0365979381443299,0.015662098070972873,rank-correlation uncertainty decomposition; not a Sobol index
R_neck_Mohm,synaptic_conductance_scale,-0.027712967986977755,0.027712967986977755,0.011859772557078421,rank-correlation uncertainty decomposition; not a Sobol index
R_neck_Mohm,membrane_leak_scale,0.02193434617471514,0.02193434617471514,0.009386809703766916,rank-correlation uncertainty decomposition; not a Sobol index
R_neck_Mohm,hcn_density_scale,0.009671730873575693,0.009671730873575693,0.004139019986880526,rank-correlation uncertainty decomposition; not a Sobol index
SMI,neck_length_um,0.688171459576777,0.688171459576777,0.27819239648393584,rank-correlation uncertainty decomposition; not a Sobol index
SMI,neck_radius_um,-0.4913185024416712,0.4913185024416712,0.19861485060017656,rank-correlation uncertainty decomposition; not a Sobol index
SMI,membrane_leak_scale,0.37778079218665217,0.37778079218665217,0.15271738236374702,rank-correlation uncertainty decomposition; not a Sobol index
SMI,intracellular_resistivity_ohm_cm,0.3247015735214325,0.3247015735214325,0.13126017887400404,rank-correlation uncertainty decomposition; not a Sobol index
SMI,kdr_density_scale,0.15212967986977755,0.15212967986977755,0.06149822058202596,rank-correlation uncertainty decomposition; not a Sobol index
SMI,nmda_fraction,-0.11395822029300054,0.11395822029300054,0.04606745885952742,rank-correlation uncertainty decomposition; not a Sobol index
SMI,a_type_density_scale,0.10010851871947911,0.10010851871947911,0.04046873543427121,rank-correlation uncertainty decomposition; not a Sobol index
SMI,dendritic_area_scale,0.06375474769397721,0.06375474769397721,0.025772771889034506,rank-correlation uncertainty decomposition; not a Sobol index
SMI,hcn_density_scale,-0.0520482908301682,0.0520482908301682,0.021040452284728808,rank-correlation uncertainty decomposition; not a Sobol index
SMI,synaptic_conductance_scale,-0.04222734671730874,0.04222734671730874,0.01707034870012009,rank-correlation uncertainty decomposition; not a Sobol index
SMI,head_diameter_um,0.021839392295170918,0.021839392295170918,0.008828545264116076,rank-correlation uncertainty decomposition; not a Sobol index
SMI,membrane_capacitance_scale,0.017227346717308734,0.017227346717308734,0.006964131978526345,rank-correlation uncertainty decomposition; not a Sobol index
SMI,calcium_density_scale,0.014595767769940315,0.014595767769940315,0.005900319692042794,rank-correlation uncertainty decomposition; not a Sobol index
SMI,na_density_scale,-0.01386326641345632,0.01386326641345632,0.005604206993743248,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_d,neck_length_um,-0.70427292457949,0.70427292457949,0.30027298069471275,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_d,neck_radius_um,0.5594004340748779,0.5594004340748779,0.2385053150266619,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_d,intracellular_resistivity_ohm_cm,-0.3379544221378188,0.3379544221378188,0.1440898522896834,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_d,nmda_fraction,0.19087086272381987,0.19087086272381987,0.08137947786658647,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_d,a_type_density_scale,-0.12569180683667933,0.12569180683667933,0.05358981180525835,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_d,kdr_density_scale,-0.1008410200759631,0.1008410200759631,0.04299445941725562,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_d,membrane_capacitance_scale,-0.08615029842647856,0.08615029842647856,0.03673094051102911,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_d,head_diameter_um,0.05202116115029843,0.05202116115029843,0.022179681445409646,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_d,calcium_density_scale,-0.045781334780249594,0.045781334780249594,0.01951927636981944,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_d,dendritic_area_scale,-0.0435973955507325,0.0435973955507325,0.018588134593362865,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_d,na_density_scale,0.038510580575149216,0.038510580575149216,0.016419326107827377,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_d,synaptic_conductance_scale,0.02894736842105263,0.02894736842105263,0.012341966155020647,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_d,membrane_leak_scale,-0.022314161692892024,0.022314161692892024,0.009513839889882364,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_d,hcn_density_scale,-0.009088442756375475,0.009088442756375475,0.0038749378274900814,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_s,membrane_capacitance_scale,-0.5704286489419425,0.5704286489419425,0.1915006011147947,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_s,membrane_leak_scale,-0.47373846988605534,0.47373846988605534,0.15904040220044446,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_s,neck_length_um,-0.3753526858383071,0.3753526858383071,0.12601096579110352,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_s,neck_radius_um,0.3150705371676614,0.3150705371676614,0.10577343436919379,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_s,synaptic_conductance_scale,0.22683125339121,0.22683125339121,0.07615031512987723,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_s,intracellular_resistivity_ohm_cm,-0.22297883884970157,0.22297883884970157,0.07485700754125833,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_s,hcn_density_scale,0.1634291915355399,0.1634291915355399,0.054865386717184605,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_s,head_diameter_um,-0.1481958762886598,0.1481958762886598,0.04975135706218806,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_s,dendritic_area_scale,0.12963917525773197,0.12963917525773197,0.043521621917009735,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_s,calcium_density_scale,0.12676342919153555,0.12676342919153555,0.042556195125505486,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_s,nmda_fraction,-0.08270482908301682,0.08270482908301682,0.027765128055666874,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_s,kdr_density_scale,-0.07084915897992404,0.07084915897992404,0.023785019490691832,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_s,a_type_density_scale,-0.05817959848073793,0.05817959848073793,0.019531676928121244,rank-correlation uncertainty decomposition; not a Sobol index
Gamma_h_to_s,na_density_scale,-0.014568638090070538,0.014568638090070538,0.0048908885569601815,rank-correlation uncertainty decomposition; not a Sobol index
A_h_mV,synaptic_conductance_scale,0.9836950623982637,0.9836950623982637,0.4497714487728939,rank-correlation uncertainty decomposition; not a Sobol index
A_h_mV,a_type_density_scale,-0.21295442213781876,0.21295442213781876,0.09736840473104141,rank-correlation uncertainty decomposition; not a Sobol index
A_h_mV,nmda_fraction,-0.19985078676071621,0.19985078676071621,0.09137707541260165,rank-correlation uncertainty decomposition; not a Sobol index
A_h_mV,head_diameter_um,-0.1475718936516549,0.1475718936516549,0.0674737801814765,rank-correlation uncertainty decomposition; not a Sobol index
A_h_mV,na_density_scale,-0.1269397721106891,0.1269397721106891,0.05804022749685239,rank-correlation uncertainty decomposition; not a Sobol index
A_h_mV,neck_length_um,0.08243353228431904,0.08243353228431904,0.0376907953086527,rank-correlation uncertainty decomposition; not a Sobol index
A_h_mV,hcn_density_scale,0.07577319587628865,0.07577319587628865,0.034645513015325646,rank-correlation uncertainty decomposition; not a Sobol index
A_h_mV,kdr_density_scale,0.07061855670103093,0.07061855670103093,0.03228867539523547,rank-correlation uncertainty decomposition; not a Sobol index
A_h_mV,calcium_density_scale,0.06762072707542051,0.06762072707542051,0.030917988253025126,rank-correlation uncertainty decomposition; not a Sobol index
A_h_mV,intracellular_resistivity_ohm_cm,0.06043136190992946,0.06043136190992946,0.027630819993425666,rank-correlation uncertainty decomposition; not a Sobol index
A_h_mV,dendritic_area_scale,-0.051465002712967986,0.051465002712967986,0.023531162975321433,rank-correlation uncertainty decomposition; not a Sobol index
A_h_mV,neck_radius_um,-0.04327183939229517,0.04327183939229517,0.01978503160023072,rank-correlation uncertainty decomposition; not a Sobol index
A_h_mV,membrane_capacitance_scale,0.03267769940314704,0.03267769940314704,0.014941110070519063,rank-correlation uncertainty decomposition; not a Sobol index
A_h_mV,membrane_leak_scale,-0.031795984807379274,0.031795984807379274,0.014537966793398376,rank-correlation uncertainty decomposition; not a Sobol index
active_A_h_mV,synaptic_conductance_scale,0.9848209441128595,0.9848209441128595,0.4679376865118497,rank-correlation uncertainty decomposition; not a Sobol index
active_A_h_mV,a_type_density_scale,-0.2132799782962561,0.2132799782962561,0.10133998491791867,rank-correlation uncertainty decomposition; not a Sobol index
active_A_h_mV,nmda_fraction,-0.16562669560499185,0.16562669560499185,0.07869752692538236,rank-correlation uncertainty decomposition; not a Sobol index
active_A_h_mV,head_diameter_um,-0.149023331524688,0.149023331524688,0.07080843823114255,rank-correlation uncertainty decomposition; not a Sobol index
active_A_h_mV,na_density_scale,-0.0952794357026587,0.0952794357026587,0.04527202531727156,rank-correlation uncertainty decomposition; not a Sobol index
active_A_h_mV,kdr_density_scale,0.07192078133478025,0.07192078133478025,0.03417316034057144,rank-correlation uncertainty decomposition; not a Sobol index
active_A_h_mV,neck_length_um,0.06928920238741183,0.06928920238741183,0.032922765563870034,rank-correlation uncertainty decomposition; not a Sobol index
active_A_h_mV,hcn_density_scale,0.06572164948453608,0.06572164948453608,0.03122764274803256,rank-correlation uncertainty decomposition; not a Sobol index
active_A_h_mV,intracellular_resistivity_ohm_cm,0.06262886597938144,0.06262886597938144,0.02975810661871338,rank-correlation uncertainty decomposition; not a Sobol index
active_A_h_mV,dendritic_area_scale,-0.05816603364080304,0.05816603364080304,0.027637591765441408,rank-correlation uncertainty decomposition; not a Sobol index
active_A_h_mV,calcium_density_scale,0.056904503526858385,0.056904503526858385,0.027038175712692795,rank-correlation uncertainty decomposition; not a Sobol index
active_A_h_mV,membrane_capacitance_scale,0.04530656538252849,0.04530656538252849,0.021527415227745872,rank-correlation uncertainty decomposition; not a Sobol index
active_A_h_mV,neck_radius_um,-0.0388903960933261,0.0388903960933261,0.018478772292798627,rank-correlation uncertainty decomposition; not a Sobol index
active_A_h_mV,membrane_leak_scale,-0.02774009766684753,0.02774009766684753,0.013180707826568954,rank-correlation uncertainty decomposition; not a Sobol index
