output,n,mean,sd,p2_5,p25,median,p75,p97_5
R_neck_Mohm,96,27.678532923463507,14.414280325657543,8.81394633213229,17.326282033694806,24.91108691168012,34.334084047004865,61.10454043549767
R_in_d_Mohm,96,321.6391154189244,61.28057807307769,241.49086170853138,268.5616081976321,309.22339546668746,369.05503250530745,440.0089283757752
SMI,96,0.08940561799983748,0.05037699002630793,0.0259430705881029,0.055527370861329285,0.08129476342646028,0.10246361541650588,0.20481207145471036
Gamma_h_to_d,96,0.8615089353008208,0.060243212716713415,0.731869606438863,0.827205755126815,0.8699636158232411,0.9057999357001079,0.950122997708837
Gamma_h_to_s,96,0.0805422781713543,0.010467212983836825,0.06020745442475769,0.07402116038395494,0.07949358788316377,0.08673241882259265,0.10286914821864465
A_h_mV,96,14.74749650101099,4.681379523086594,7.991409692895945,10.414164426310595,14.33856923251438,18.322284415784537,23.003105589945495
Ztransfer_50Hz_Mohm,96,14.15461830123059,1.6465652827127168,11.71442245688077,12.669993817819755,13.97977324619239,15.451718992829111,17.18268626496249
active_Zin_50Hz_Mohm,96,165.44850110308462,1.299682034001999,163.36470841997487,164.48407319064373,165.47105939321153,166.25797042938862,168.4440466810652
active_transfer_gain_50Hz,96,0.08528561272474076,0.009543429425342144,0.07128457273089597,0.07682738946690176,0.08405372669480829,0.09314433607204432,0.10273204349341102
active_A_h_mV,96,15.157406409006285,5.023841420606046,8.049556354113104,10.598343452483673,14.79275839752572,18.906637575395216,24.881350737328546
active_Gamma_h_to_d,96,0.8630007537878424,0.06002180997639021,0.7346791676875325,0.8298274749177226,0.871891863400142,0.9070837006970476,0.9503289902824268
active_Gamma_h_to_s,96,0.08351045818097791,0.011349668820246633,0.06256500670203485,0.07638470607394202,0.08141087526554422,0.08940109836459449,0.10894781018569953
