n,counterexample_type,eligible_pairs,failure_pairs,prevalence,classification,delta_from_previous_n,stable_vs_previous
96,passive_iso_SMI_local_failure,219,0,0.0,rare,,
96,passive_iso_SMI_amplitude_failure,219,141,0.6438356164383562,dominant,,
96,passive_iso_transfer_failure,1291,245,0.18977536793183578,common,,
96,active_iso_SMI_local_failure,219,0,0.0,rare,,
96,active_amplitude_failure,219,130,0.593607305936073,dominant,,
96,NMDA_induced_amplitude_failure,72,0,0.0,rare,,
192,passive_iso_SMI_local_failure,921,0,0.0,rare,0.0,True
192,passive_iso_SMI_amplitude_failure,921,585,0.6351791530944625,dominant,0.008656463343893694,True
192,passive_iso_transfer_failure,5043,974,0.19313900456077732,common,0.003363636628941541,True
192,active_iso_SMI_local_failure,921,0,0.0,rare,0.0,True
192,active_amplitude_failure,921,525,0.5700325732899023,dominant,0.023574732646170715,True
192,NMDA_induced_amplitude_failure,144,0,0.0,rare,0.0,True
384,passive_iso_SMI_local_failure,3700,0,0.0,rare,0.0,True
384,passive_iso_SMI_amplitude_failure,3700,2393,0.6467567567567568,dominant,0.011577603662294322,True
384,passive_iso_transfer_failure,21611,4155,0.19226319929665447,common,0.000875805264122842,True
384,active_iso_SMI_local_failure,3700,0,0.0,rare,0.0,True
384,active_amplitude_failure,3700,2152,0.5816216216216217,dominant,0.011589048331719365,True
384,NMDA_induced_amplitude_failure,288,0,0.0,rare,0.0,True
768,passive_iso_SMI_local_failure,15224,0,0.0,rare,0.0,True
768,passive_iso_SMI_amplitude_failure,15224,9826,0.6454282711508145,dominant,0.0013284856059423422,True
768,passive_iso_transfer_failure,86123,15761,0.18300570114835757,common,0.009257498148296905,True
768,active_iso_SMI_local_failure,15224,0,0.0,rare,0.0,True
768,active_amplitude_failure,15224,8804,0.5782974251182343,dominant,0.0033241965033873333,True
768,NMDA_induced_amplitude_failure,576,1,0.001736111111111111,rare,0.001736111111111111,True
