n,group,target,rank,predictor,pearson,spearman,abs_spearman,bootstrap_abs_spearman_p05,bootstrap_abs_spearman_p95,cv_rmse,model
96,passive,Gamma_h_to_d,1,dynamic_SMI_abs_50Hz,-0.9940378091986876,-0.9998100922409116,0.9998100922409116,0.9991830177780918,0.9999592933598647,0.007679700088031324,univariate_linear
96,passive,Gamma_h_to_d,2,active_dynamic_SMI_abs_50Hz,-0.9940293617762528,-0.9996744438415627,0.9996744438415627,0.9984367361400016,0.9999192657671091,0.007696263872456514,univariate_linear
96,passive,Gamma_h_to_d,3,R_neck_Mohm,-0.9937838641351324,-0.999647314161693,0.999647314161693,0.9987339308123275,0.999783554949053,0.007843730361472163,univariate_linear
96,passive,Gamma_h_to_d,4,SMI,-0.9324719618876786,-0.9234807379272925,0.9234807379272925,0.8837781759887477,0.9499532715148546,0.022765974874082145,univariate_linear
96,passive,Gamma_h_to_d,5,neck_length_um,-0.6424713884850989,-0.6744845360824743,0.6744845360824743,0.573648250930958,0.7538245503604244,0.04608247465947316,univariate_linear
96,passive,Gamma_h_to_d,6,neck_radius_um,0.6216064437952739,0.5894465545306565,0.5894465545306565,0.46096973362911187,0.6847578275915367,0.04670154542691926,univariate_linear
96,passive,Gamma_h_to_d,7,dendritic_area_scale,-0.1582660435107962,-0.13868692349430276,0.13868692349430276,0.018605669187034917,0.30678700060049613,0.060029959226597575,univariate_linear
96,passive,Gamma_h_to_d,8,R_in_d_Mohm,0.16513282450621747,0.13024959305480197,0.13024959305480197,0.018909195041071122,0.2790935837568412,0.060276018111785845,univariate_linear
96,passive,Gamma_h_to_s,1,SMI,-0.65692028419707,-0.6484536082474227,0.6484536082474227,0.533493346225917,0.7707482204714279,0.008357485728154652,univariate_linear
96,passive,Gamma_h_to_s,2,transfer_gain_50Hz,0.5956960074583898,0.597680412371134,0.597680412371134,0.47968429074061814,0.7010431527067825,0.008688237584884045,univariate_linear
96,passive,Gamma_h_to_s,3,electrotonic_distance_50Hz,-0.6007600175240668,-0.597680412371134,0.597680412371134,0.47968429074061814,0.7010431527067825,0.008655558037826135,univariate_linear
96,passive,Gamma_h_to_s,4,active_transfer_gain_50Hz,0.5957399206122892,0.597680412371134,0.597680412371134,0.47968429074061814,0.7010431527067825,0.008687951578791792,univariate_linear
96,passive,Gamma_h_to_s,5,Ztransfer_50Hz_Mohm,0.5698001652308057,0.5818773738469886,0.5818773738469886,0.4588988283539834,0.685623527098314,0.008888874299036759,univariate_linear
96,passive,Gamma_h_to_s,6,R_in_d_Mohm,0.5598529864526652,0.5579489962018448,0.5579489962018448,0.41372879907489585,0.6668172951779251,0.00886369672896357,univariate_linear
96,passive,Gamma_h_to_s,7,membrane_leak_scale,-0.5598005990545599,-0.5579489962018448,0.5579489962018448,0.41372879907489585,0.6668172951779251,0.008890826307321596,univariate_linear
96,passive,Gamma_h_to_s,8,membrane_capacitance_scale,-0.5554722028713664,-0.5568638090070537,0.5568638090070537,0.4329923790258895,0.6663866771277809,0.009021327753698663,univariate_linear
96,passive,A_h_mV,1,synaptic_conductance_scale,0.9837010406284165,0.9837628865979381,0.9837628865979381,0.9710852811878755,0.9882767645042471,0.8561125661141128,univariate_linear
96,passive,A_h_mV,2,head_diameter_um,0.18360753966068244,0.19084373304395008,0.19084373304395008,0.03889691901596142,0.36213243072568635,4.719545718639292,univariate_linear
96,passive,A_h_mV,3,R_in_d_Mohm,0.16787626533295477,0.13354584915897993,0.13354584915897993,0.018844468736486587,0.29169804062798843,4.773969402400469,univariate_linear
96,passive,A_h_mV,4,membrane_leak_scale,-0.1321775819244366,-0.13354584915897993,0.13354584915897993,0.018844468736486587,0.29169804062798843,4.763346164581652,univariate_linear
96,passive,A_h_mV,5,a_type_density_scale,-0.12229308979347571,-0.12030656538252849,0.12030656538252849,0.01449300525560478,0.2697039039437305,4.733498484464802,univariate_linear
96,passive,A_h_mV,6,nmda_fraction,0.11690982351258615,0.11732230059685296,0.11732230059685296,0.023637213575755815,0.3087195281846484,4.759715064809146,univariate_linear
96,passive,A_h_mV,7,active_dynamic_SMI_abs_50Hz,0.1486240739617186,0.11342919153553987,0.11342919153553987,0.005073796267101562,0.29294601276001075,4.722729573059493,univariate_linear
96,passive,A_h_mV,8,dynamic_SMI_abs_50Hz,0.1483986441605915,0.11304937601736299,0.11304937601736299,0.004699554889759167,0.29112518388977354,4.7228981645415615,univariate_linear
96,passive,local_voltage_isolation,1,dynamic_SMI_abs_50Hz,0.9940378091986879,0.9998100922409116,0.9998100922409116,0.9991830177780918,0.9999592933598647,0.007679700088031328,univariate_linear
96,passive,local_voltage_isolation,2,active_dynamic_SMI_abs_50Hz,0.994029361776253,0.9996744438415627,0.9996744438415627,0.9984367361400016,0.9999192657671091,0.0076962638724565055,univariate_linear
96,passive,local_voltage_isolation,3,R_neck_Mohm,0.9937838641351322,0.999647314161693,0.999647314161693,0.9987339308123275,0.999783554949053,0.007843730361472082,univariate_linear
96,passive,local_voltage_isolation,4,SMI,0.9324719618876789,0.9234807379272925,0.9234807379272925,0.8837781759887477,0.9499532715148546,0.02276597487408214,univariate_linear
96,passive,local_voltage_isolation,5,neck_length_um,0.642471388485099,0.6744845360824743,0.6744845360824743,0.573648250930958,0.7538245503604244,0.046082474659473176,univariate_linear
96,passive,local_voltage_isolation,6,neck_radius_um,-0.6216064437952739,-0.5894465545306565,0.5894465545306565,0.46096973362911187,0.6847578275915367,0.046701545426919226,univariate_linear
96,passive,local_voltage_isolation,7,dendritic_area_scale,0.15826604351079618,0.13868692349430276,0.13868692349430276,0.018605669187034917,0.30678700060049613,0.06002995922659752,univariate_linear
96,passive,local_voltage_isolation,8,R_in_d_Mohm,-0.1651328245062175,-0.13024959305480197,0.13024959305480197,0.018909195041071122,0.2790935837568412,0.060276018111785824,univariate_linear
96,active,active_Gamma_h_to_d,1,R_neck_Mohm,-0.9914674492001422,-0.9945333695062398,0.9945333695062398,0.9862870893048628,0.9975720618700632,0.00893603232590268,univariate_linear
96,active,active_Gamma_h_to_d,2,dynamic_SMI_abs_50Hz,-0.9917853838493227,-0.994397721106891,0.994397721106891,0.9853157855967201,0.9975038335565866,0.008770841614075788,univariate_linear
96,active,active_Gamma_h_to_d,3,active_dynamic_SMI_abs_50Hz,-0.9917586543008554,-0.9941942485078676,0.9941942485078676,0.9849215001951022,0.9975198139027718,0.008794691384770308,univariate_linear
96,active,active_Gamma_h_to_d,4,SMI,-0.9347617925407655,-0.9222192078133478,0.9222192078133478,0.880557305186253,0.9492692986152056,0.022105985019046474,univariate_linear
96,active,active_Gamma_h_to_d,5,neck_length_um,-0.6409941594134356,-0.6723684210526316,0.6723684210526316,0.571444319046734,0.7547792173369167,0.0454434894412822,univariate_linear
96,active,active_Gamma_h_to_d,6,neck_radius_um,0.6197507140093144,0.585729788388497,0.585729788388497,0.46650047235163644,0.6793661761668519,0.046094365817271526,univariate_linear
96,active,active_Gamma_h_to_d,7,dendritic_area_scale,-0.16715157719733853,-0.15208898534997287,0.15208898534997287,0.016208613097121714,0.320096336375311,0.05911428242193663,univariate_linear
96,active,active_Gamma_h_to_d,8,R_in_d_Mohm,0.17414903230870438,0.13559413998914813,0.13559413998914813,0.02041840488663,0.28559044572954556,0.059251610707320365,univariate_linear
96,active,active_Gamma_h_to_s,1,SMI,-0.6390627014834714,-0.6103364080303852,0.6103364080303852,0.47594220000903653,0.7462193621562349,0.009301095460753571,univariate_linear
96,active,active_Gamma_h_to_s,2,transfer_gain_50Hz,0.5695330530072928,0.5783505154639176,0.5783505154639176,0.4568798969297976,0.6935536951094158,0.009655552883279243,univariate_linear
96,active,active_Gamma_h_to_s,3,electrotonic_distance_50Hz,-0.575693942743161,-0.5783505154639176,0.5783505154639176,0.4568798969297976,0.6935536951094158,0.009617645055723819,univariate_linear
96,active,active_Gamma_h_to_s,4,active_transfer_gain_50Hz,0.569578690147636,0.5783505154639176,0.5783505154639176,0.4568798969297976,0.6935536951094158,0.00965526193761529,univariate_linear
96,active,active_Gamma_h_to_s,5,R_in_d_Mohm,0.5828788885578196,0.5744302767227347,0.5744302767227347,0.44531972566980094,0.6768306617211884,0.009463132914921533,univariate_linear
96,active,active_Gamma_h_to_s,6,membrane_leak_scale,-0.5809749799170979,-0.5744302767227347,0.5744302767227347,0.44531972566980094,0.6768306617211884,0.009473495619050644,univariate_linear
96,active,active_Gamma_h_to_s,7,Ztransfer_50Hz_Mohm,0.5446299453324989,0.5622897449810093,0.5622897449810093,0.44566098249254343,0.6726470156236836,0.009845644629949092,univariate_linear
96,active,active_Gamma_h_to_s,8,membrane_capacitance_scale,-0.5301351067233896,-0.5371405317417255,0.5371405317417255,0.4069578020148263,0.6569078756731087,0.009983870647851193,univariate_linear
96,active,active_A_h_mV,1,synaptic_conductance_scale,0.9774559833698786,0.983057514921324,0.983057514921324,0.9686045668526817,0.9883733515456719,1.1526012855146235,univariate_linear
96,active,active_A_h_mV,2,head_diameter_um,0.1917723915340958,0.19472327726532826,0.19472327726532826,0.03634839352138303,0.3725579801920872,5.349246204795153,univariate_linear
96,active,active_A_h_mV,3,nmda_fraction,0.12096610735042389,0.13301682040151927,0.13301682040151927,0.021006906916799382,0.3212815454988922,5.390390512762293,univariate_linear
96,active,active_A_h_mV,4,R_in_d_Mohm,0.1595939941194157,0.13119913185024418,0.13119913185024418,0.016957215833584283,0.2915583186673853,5.416111166986621,univariate_linear
96,active,active_A_h_mV,5,membrane_leak_scale,-0.12962539748560054,-0.13119913185024418,0.13119913185024418,0.016957215833584283,0.2915583186673853,5.3973971215482885,univariate_linear
96,active,active_A_h_mV,6,a_type_density_scale,-0.13208113549582837,-0.12504069451980468,0.12504069451980468,0.01456592194017414,0.2675584909537872,5.351135425612203,univariate_linear
96,active,active_A_h_mV,7,active_dynamic_SMI_abs_50Hz,0.16456170634307107,0.11165219750406945,0.11165219750406945,0.007917628316168022,0.2789126674945903,5.331234264397896,univariate_linear
96,active,active_A_h_mV,8,dynamic_SMI_abs_50Hz,0.1643261191998103,0.1112452523060228,0.1112452523060228,0.00632352443043453,0.2778393213182924,5.331447333348804,univariate_linear
96,active,active_local_voltage_isolation,1,R_neck_Mohm,0.9914674492001424,0.9945333695062398,0.9945333695062398,0.9862870893048628,0.9975720618700632,0.008936032325902604,univariate_linear
96,active,active_local_voltage_isolation,2,dynamic_SMI_abs_50Hz,0.9917853838493231,0.994397721106891,0.994397721106891,0.9853157855967201,0.9975038335565866,0.00877084161407579,univariate_linear
96,active,active_local_voltage_isolation,3,active_dynamic_SMI_abs_50Hz,0.9917586543008555,0.9941942485078676,0.9941942485078676,0.9849215001951022,0.9975198139027718,0.008794691384770313,univariate_linear
96,active,active_local_voltage_isolation,4,SMI,0.9347617925407653,0.9222192078133478,0.9222192078133478,0.880557305186253,0.9492692986152056,0.02210598501904646,univariate_linear
96,active,active_local_voltage_isolation,5,neck_length_um,0.6409941594134358,0.6723684210526316,0.6723684210526316,0.571444319046734,0.7547792173369167,0.04544348944128223,univariate_linear
96,active,active_local_voltage_isolation,6,neck_radius_um,-0.6197507140093144,-0.585729788388497,0.585729788388497,0.46650047235163644,0.6793661761668519,0.046094365817271506,univariate_linear
