n,group,target,best_univariate_predictor,best_abs_spearman,best_cv_rmse,smi_abs_spearman,smi_bootstrap_p05,smi_bootstrap_p95,smi_cv_rmse,smi_rank,delta_from_previous_n,best_predictor_changed_from_previous_n,row_type
96,passive,Gamma_h_to_d,dynamic_SMI_abs_50Hz,0.9998100922409116,0.007679700088031324,0.9234807379272925,0.8837781759887477,0.9499532715148546,0.022765974874082145,4,,,summary
96,passive,Gamma_h_to_s,SMI,0.6484536082474227,0.008357485728154652,0.6484536082474227,0.533493346225917,0.7707482204714279,0.008357485728154652,1,,,summary
96,passive,A_h_mV,synaptic_conductance_scale,0.9837628865979381,0.8561125661141128,0.06759359739555074,0.008973332428581126,0.23709003799067813,4.748830306944963,13,,,summary
96,passive,local_voltage_isolation,dynamic_SMI_abs_50Hz,0.9998100922409116,0.007679700088031328,0.9234807379272925,0.8837781759887477,0.9499532715148546,0.02276597487408214,4,,,summary
96,active,active_Gamma_h_to_d,R_neck_Mohm,0.9945333695062398,0.00893603232590268,0.9222192078133478,0.880557305186253,0.9492692986152056,0.022105985019046474,4,,,summary
96,active,active_Gamma_h_to_s,SMI,0.6103364080303852,0.009301095460753571,0.6103364080303852,0.47594220000903653,0.7462193621562349,0.009301095460753571,1,,,summary
96,active,active_A_h_mV,synaptic_conductance_scale,0.983057514921324,1.1526012855146235,0.06781063483450896,0.00815302210212796,0.2411650897809541,5.370221473520294,13,,,summary
96,active,active_local_voltage_isolation,R_neck_Mohm,0.9945333695062398,0.008936032325902604,0.9222192078133478,0.880557305186253,0.9492692986152056,0.02210598501904646,4,,,summary
192,passive,Gamma_h_to_d,active_dynamic_SMI_abs_50Hz,0.9998694490410439,0.006757850214170746,0.9337496269972602,0.9104792867171668,0.9501819244267706,0.023517617351537894,4,,,summary
192,passive,Gamma_h_to_s,active_transfer_gain_50Hz,0.678520806771017,0.007934862678972046,0.664092382605865,0.5829577815372888,0.7325848025658411,0.008718886774613967,4,,,summary
192,passive,A_h_mV,synaptic_conductance_scale,0.9815363643762037,1.0613444213495906,0.16371768439899087,0.05756047501749135,0.2824071012671523,4.701796427673165,6,,,summary
192,passive,local_voltage_isolation,active_dynamic_SMI_abs_50Hz,0.9998694490410439,0.006757850214170768,0.9337496269972602,0.9104792867171668,0.9501819244267706,0.023517617351537876,4,,,summary
192,active,active_Gamma_h_to_d,dynamic_SMI_abs_50Hz,0.9987860456284079,0.007325591261767614,0.9331884274204487,0.9099708977670177,0.9488178281287925,0.023107899639321552,4,,,summary
192,active,active_Gamma_h_to_s,SMI,0.6620900360795378,0.009790039750453781,0.6620900360795378,0.5795646582832585,0.7327641759888225,0.009790039750453781,1,,,summary
192,active,active_A_h_mV,synaptic_conductance_scale,0.9802376366546401,1.292940504757398,0.16492655236958467,0.05412228696497778,0.2847832157558068,5.161719851733366,6,,,summary
192,active,active_local_voltage_isolation,dynamic_SMI_abs_50Hz,0.9987860456284079,0.00732559126176762,0.9331884274204487,0.9099708977670177,0.9488178281287925,0.02310789963932155,4,,,summary
384,passive,Gamma_h_to_d,dynamic_SMI_abs_50Hz,0.9999145925875691,0.005197990969876002,0.9371946102200671,0.9252037417599214,0.9448231244956777,0.021720589281179866,4,,,summary
384,passive,Gamma_h_to_s,active_transfer_gain_50Hz,0.6464548506323963,0.007898502780029997,0.6380986996032688,0.5853450333780852,0.6847070935823191,0.008067379993058638,4,,,summary
