n,sample_id,true_radius_um,true_SMI,true_class,measurement_sd_um,measured_SMI_min,measured_SMI_max,class_stable_fraction,class_flips,distance_to_nearest_boundary,SMI_fold_range
96,94,0.09355194136497486,0.23444197686183188,low,0.018,0.12225120051768225,0.5699522633077868,0.52,True,0.01555802313816812,4.662140419842745
96,19,0.11043495307559917,0.22994428347116075,low,0.018,0.13078146996659018,0.5061530770333078,0.56,True,0.02005571652883925,3.8702201249352157
96,16,0.09003382613175494,0.21636189742462836,low,0.018,0.11041242617077061,0.4871802722753206,0.6,True,0.03363810257537164,4.412368147058174
96,61,0.07835346158246924,0.1621395741014842,low,0.018,0.07612140095712067,0.27650494527356523,0.72,True,0.08786042589851581,3.6324206044147953
96,77,0.0964207711685992,0.1708234590074956,low,0.018,0.09056835662258512,0.4350269725277917,0.72,True,0.0791765409925044,4.803299836173781
96,81,0.08631118043301131,0.35372561356754156,intermediate,0.018,0.17614418314222285,0.7319781551558946,0.72,True,0.10372561356754156,4.15556246081018
96,87,0.12289621290408233,0.18289351047768043,low,0.018,0.10940777934984536,0.36582518182984963,0.72,True,0.06710648952231957,3.3436852845726523
96,42,0.11294085955239824,0.1752868308707018,low,0.018,0.10079146432694007,0.3776916634456748,0.76,True,0.07471316912929821,3.747258420817718
96,71,0.11696899322620422,0.17431111307104363,low,0.018,0.10192008169813022,0.36377186054556276,0.76,True,0.07568888692895637,3.569187293461877
96,78,0.09742337584361102,0.15842447357694542,low,0.018,0.08446655305432789,0.39854857257260157,0.76,True,0.09157552642305458,4.718418807930517
96,89,0.11662165695451307,0.1728724188841772,low,0.018,0.10093732603850467,0.36172679855633016,0.76,True,0.0771275811158228,3.583677245604286
96,75,0.1034621638442525,0.14915634005521333,low,0.018,0.08209033614325287,0.35081996305569785,0.8,True,0.10084365994478667,4.273584194411077
192,63,0.09776520155887328,0.23748397066822383,low,0.018,0.12685763335856717,0.5949975474211348,0.52,True,0.012516029331776174,4.690277846657875
