key,citation,doi_or_stable_id,evidence_type,epilepsy_context,extracted_perturbation,direction_supported,evidence_grade,model_use,limitation
Wong2005SpinesEpilepsy,Wong M. Modulation of dendritic spines in epilepsy: cellular mechanisms and functional implications. Epilepsy & Behavior. 2005.,10.1016/j.yebeh.2005.08.007,review,epilepsy/spines,spine morphology is plausibly altered in epilepsy but direction and functional interpretation are context dependent,mixed,limited_conflicting,supports exploratory morphology perturbations only,review-level synthesis; not a calibrated parameter distribution
PilocarpineSpineLoss2008,A cellular mechanism for dendritic spine loss in the pilocarpine model of status epilepticus. Epilepsia. 2008.,10.1111/j.1528-1167.2008.01616.x,research article,pilocarpine/status epilepticus model,spine loss/remodeling can occur after epileptiform injury,spine density decrease,limited,supports a spine-density/cluster-load sensitivity check,animal model and injury stage do not define a generic disease parameter
Isokawa1998SpineRemodeling,Remodeling dendritic spines in the rat pilocarpine model of temporal lobe epilepsy. Neuroscience Letters. 1998.,10.1016/s0304-3940(98)00848-9,research article,pilocarpine temporal-lobe epilepsy model,spine remodeling after epileptogenic insult,mixed morphology change,limited,supports morphology-dominant and alternative-direction scenarios,"model, region, and time-window specific"
Bernard2004DendriticChannelopathy,Bernard C et al. Acquired dendritic channelopathy in temporal lobe epilepsy. Science. 2004.,10.1126/science.1097065,research article,experimental temporal-lobe epilepsy,decreased A-type potassium availability and increased CA1 dendritic excitability,potassium reduction,moderate,supports restrained potassium-loss scenario,specific to experimental preparation and A-type channel mechanisms
VillaCombi2016PotassiumChannels,"Villa C, Combi R. Potassium channels in epilepsy. Cold Spring Harbor Perspectives in Medicine. 2016.",10.1101/cshperspect.a022871,review,epilepsy/channel genetics and physiology,potassium-channel dysfunction can contribute to epileptic excitability,potassium reduction/mixed,moderate,supports potassium-loss-of-function as plausible but non-specific,"review; channel subtype, cell type, and direction vary"
Bender2003HCN,Bender RA et al. Enhanced expression of a specific HCN channel in surviving dentate granule cells of human and experimental epileptic hippocampus. Journal of Neuroscience. 2003.,10.1523/jneurosci.23-17-06826.2003,research article,human and experimental epileptic hippocampus,HCN expression can increase in surviving dentate granule cells,HCN increase,conflicting,motivates alternative-direction HCN scenario,cell-type and survival-selection context differ from generic spine model
Kole2007HCN1Loss,Kole MHP et al. Inherited cortical HCN1 channel loss amplifies dendritic calcium electrogenesis and burst firing in a rat absence epilepsy model. Journal of Physiology. 2007.,10.1113/jphysiol.2006.122028,research article,absence epilepsy model,HCN1 loss can amplify dendritic electrogenesis and burst firing,HCN reduction,moderate,supports HCN-reduction perturbation,genetic/model-specific and not a universal acquired epilepsy direction
Nava2014HCN1,Nava C et al. De novo mutations in HCN1 cause early infantile epileptic encephalopathy. Nature Genetics. 2014.,10.1038/ng.2952,research article,human epilepsy genetics,HCN1 dysfunction can be linked to epileptic encephalopathy,HCN dysfunction,moderate,supports HCN-family channelopathy relevance,"genetic syndrome evidence, not a dendritic-spine parameter estimate"
Hanada2020GlutamateEpilepsy,Hanada T. Ionotropic glutamate receptors in epilepsy: a review focusing on AMPA and NMDA receptors. Biomolecules. 2020.,10.3390/biom10030464,review,epilepsy/glutamate receptors,AMPA and NMDA receptor mechanisms are implicated in epileptic excitability,excitatory conductance/NMDA contribution increase,limited,supports AMPA/NMDA exploratory sweeps without therapy claims,review-level and mechanism-specific; no calibrated conductance multiplier
LondonHausser2005,"London M, Hausser M. Dendritic computation. Annual Review of Neuroscience. 2005.",10.1146/annurev.neuro.28.061604.135703,review,general dendritic integration,"dendritic response depends on morphology, impedance, channels, and synaptic organization",context dependent,supporting_background,limits scalar SMI interpretation under active and clustered regimes,not epilepsy specific
Magee1998HCN,Magee JC. Dendritic hyperpolarization-activated currents modify the integrative properties of hippocampal CA1 pyramidal neurons. Journal of Neuroscience. 1998.,10.1523/jneurosci.18-19-07613.1998,research article,general dendritic integration,HCN/Ih changes dendritic integration,context dependent,supporting_background,supports active HCN sensitivity as dendritic integration variable,not epilepsy specific
Losonczy2008CompartmentalizedPlasticity,Losonczy A et al. Compartmentalized dendritic plasticity and input feature storage in neurons. Nature. 2008.,10.1038/nature06725,research article,general dendritic integration,spatially clustered dendritic inputs can produce branch-local nonlinear outcomes,cluster sensitivity,supporting_background,supports cluster/synchrony challenge protocol,not epilepsy specific
Major2008DendriticSpikes,Major G et al. Conditional dendritic spike propagation following distal synaptic activation of hippocampal CA1 pyramidal neurons. Nature Neuroscience. 2008.,10.1038/nn1599,research article,general dendritic integration,dendritic nonlinear propagation depends on active and synaptic conditions,active threshold behavior,supporting_background,supports active threshold-behavior metrics,not epilepsy specific
