scenario,protocol,baseline_protocol,R_neck_Mohm_value,R_neck_Mohm_baseline,R_neck_Mohm_delta,R_neck_Mohm_relative_delta,R_in_d_Mohm_value,R_in_d_Mohm_baseline,R_in_d_Mohm_delta,R_in_d_Mohm_relative_delta,SMI_value,SMI_baseline,SMI_delta,SMI_relative_delta,A_h_mV_value,A_h_mV_baseline,A_h_mV_delta,A_h_mV_relative_delta,Gamma_h_to_d_value,Gamma_h_to_d_baseline,Gamma_h_to_d_delta,Gamma_h_to_d_relative_delta,Gamma_h_to_s_value,Gamma_h_to_s_baseline,Gamma_h_to_s_delta,Gamma_h_to_s_relative_delta,local_voltage_isolation_value,local_voltage_isolation_baseline,local_voltage_isolation_delta,local_voltage_isolation_relative_delta,latency_head_ms_value,latency_head_ms_baseline,latency_head_ms_delta,latency_head_ms_relative_delta,half_width_head_ms_value,half_width_head_ms_baseline,half_width_head_ms_delta,half_width_head_ms_relative_delta,head_voltage_integral_mV_ms_value,head_voltage_integral_mV_ms_baseline,head_voltage_integral_mV_ms_delta,head_voltage_integral_mV_ms_relative_delta,soma_voltage_integral_mV_ms_value,soma_voltage_integral_mV_ms_baseline,soma_voltage_integral_mV_ms_delta,soma_voltage_integral_mV_ms_relative_delta,driving_force_reduction_mV_value,driving_force_reduction_mV_baseline,driving_force_reduction_mV_delta,driving_force_reduction_mV_relative_delta,active_frozen_Zin_50Hz_Mohm_value,active_frozen_Zin_50Hz_Mohm_baseline,active_frozen_Zin_50Hz_Mohm_delta,active_frozen_Zin_50Hz_Mohm_relative_delta
matched_baseline,isolated_single_spine,isolated_single_spine,16.578639905405762,16.578639905405762,0.0,0.0,309.9272163134145,309.9272163134145,0.0,0.0,0.053492042753162355,0.053492042753162355,0.0,0.0,13.92559127507375,13.92559127507375,0.0,0.0,0.9103984742080835,0.9103984742080835,0.0,0.0,0.08597229816228749,0.08597229816228749,0.0,0.0,0.08960152579191649,0.08960152579191649,0.0,0.0,1.1800000000000006,1.1800000000000006,0.0,0.0,4.08,4.08,0.0,0.0,111.93515105299701,111.93515105299701,0.0,0.0,41.22183895055055,41.22183895055055,0.0,0.0,13.92559127507375,13.92559127507375,0.0,0.0,165.66902520272018,165.66902520272018,0.0,0.0
matched_baseline,clustered_synchronous,clustered_synchronous,16.578639905405762,16.578639905405762,0.0,0.0,418.829873107371,418.829873107371,0.0,0.0,0.039583231688814315,0.039583231688814315,0.0,0.0,59.702918767657934,59.702918767657934,0.0,0.0,0.9822011309892708,0.9822011309892708,0.0,0.0,0.0581499309241963,0.0581499309241963,0.0,0.0,0.017798869010729246,0.017798869010729246,0.0,0.0,2.360000000000001,2.360000000000001,0.0,0.0,3.360000000000002,3.360000000000002,0.0,0.0,363.13626794668085,363.13626794668085,0.0,0.0,113.3917445942175,113.3917445942175,0.0,0.0,59.702918767657934,59.702918767657934,0.0,0.0,259.6365112515621,259.6365112515621,0.0,0.0
matched_baseline,clustered_asynchronous,clustered_asynchronous,16.578639905405762,16.578639905405762,0.0,0.0,418.829873107371,418.829873107371,0.0,0.0,0.039583231688814315,0.039583231688814315,0.0,0.0,41.31500743860002,41.31500743860002,0.0,0.0,0.9862434102722649,0.9862434102722649,0.0,0.0,0.08564151653761283,0.08564151653761283,0.0,0.0,0.01375658972773508,0.01375658972773508,0.0,0.0,6.820000000000003,6.820000000000003,0.0,0.0,3.66,3.66,0.0,0.0,369.18218329196657,369.18218329196657,0.0,0.0,113.20356352104199,113.20356352104199,0.0,0.0,41.31500743860002,41.31500743860002,0.0,0.0,259.6365112515621,259.6365112515621,0.0,0.0
morphology_dominant,isolated_single_spine,isolated_single_spine,27.535457282334832,16.578639905405762,10.95681737692907,0.6608996539792389,309.9272163134145,309.9272163134145,0.0,0.0,0.08884491529937,0.053492042753162355,0.03535287254620764,0.6608996539792387,14.60024151559508,13.92559127507375,0.6746502405213306,0.04844679318780004,0.8592811739067124,0.9103984742080835,-0.05111730030137107,-0.05614827105881939,0.08145959591923177,0.08597229816228749,-0.004512702243055722,-0.05249018974155164,0.14071882609328756,0.08960152579191649,0.05111730030137107,0.5704958687877911,1.1600000000000013,1.1800000000000006,-0.01999999999999935,-0.016949152542372323,4.08,4.08,0.0,0.0,115.5273223209181,111.93515105299701,3.5921712679210884,0.032091539021735296,40.973687924733966,41.22183895055055,-0.24815102581658266,-0.00601989217691775,14.60024151559508,13.92559127507375,0.6746502405213306,0.04844679318780004,165.66902520272018,165.66902520272018,0.0,0.0
morphology_dominant,clustered_synchronous,clustered_synchronous,27.535457282334832,16.578639905405762,10.95681737692907,0.6608996539792389,418.829873107371,418.829873107371,0.0,0.0,0.06574377581533172,0.039583231688814315,0.02616054412651741,0.6608996539792384,60.05799496965706,59.702918767657934,0.3550762019991254,0.005947384304290933,0.9709109057750448,0.9822011309892708,-0.011290225214225957,-0.011494820009883788,0.05742201646113798,0.0581499309241963,-0.000727914463058317,-0.012517890416881483,0.029089094224955203,0.017798869010729246,0.011290225214225957,0.6343226194552111,2.3400000000000016,2.360000000000001,-0.019999999999999574,-0.008474576271186255,3.3599999999999985,3.360000000000002,-3.552713678800501e-15,-1.0573552615477675e-15,364.61987300769226,363.13626794668085,1.483605061011417,0.004085532600200799,112.75211410036604,113.3917445942175,-0.6396304938514561,-0.005640891196624861,60.05799496965706,59.702918767657934,0.3550762019991254,0.005947384304290933,259.6365112515621,259.6365112515621,0.0,0.0
morphology_dominant,clustered_asynchronous,clustered_asynchronous,27.535457282334832,16.578639905405762,10.95681737692907,0.6608996539792389,418.829873107371,418.829873107371,0.0,0.0,0.06574377581533172,0.039583231688814315,0.02616054412651741,0.6608996539792384,41.59343140463505,41.31500743860002,0.27842396603502806,0.006739051577052375,0.9776781235041924,0.9862434102722649,-0.008565286768072555,-0.008684759440580697,0.08456985533257115,0.08564151653761283,-0.0010716612050416796,-0.012513337553650368,0.022321876495807635,0.01375658972773508,0.008565286768072555,0.6226315487772249,6.800000000000001,6.820000000000003,-0.020000000000002238,-0.002932551319648421,3.6199999999999983,3.66,-0.04000000000000181,-0.010928961748634374,371.3644669813018,369.18218329196657,2.182283689335236,0.005911129485924795,112.62912751457283,113.20356352104199,-0.5744360064691563,-0.005074363285060206,41.59343140463505,41.31500743860002,0.27842396603502806,0.006739051577052375,259.6365112515621,259.6365112515621,0.0,0.0
hcn_reduction,isolated_single_spine,isolated_single_spine,16.578639905405762,16.578639905405762,0.0,0.0,309.9272163134145,309.9272163134145,0.0,0.0,0.053492042753162355,0.053492042753162355,0.0,0.0,13.963836409161692,13.92559127507375,0.03824513408794239,0.002746392115959891,0.9104486305537252,0.9103984742080835,5.0156345641649835e-05,5.509273912753279e-05,0.08518095458953844,0.08597229816228749,-0.0007913435727490564,-0.009204634395782457,0.08955136944627484,0.08960152579191649,-5.0156345641649835e-05,-0.0005597711110202406,1.1800000000000006,1.1800000000000006,0.0,0.0,4.08,4.08,0.0,0.0,111.4528511258441,111.93515105299701,-0.4822999271529085,-0.004308744148873824,40.26151466003491,41.22183895055055,-0.9603242905156364,-0.02329649319302895,13.963836409161692,13.92559127507375,0.03824513408794239,0.002746392115959891,165.8161170801568,165.66902520272018,0.14709187743662255,0.0008878658956110487
hcn_reduction,clustered_synchronous,clustered_synchronous,16.578639905405762,16.578639905405762,0.0,0.0,418.829873107371,418.829873107371,0.0,0.0,0.039583231688814315,0.039583231688814315,0.0,0.0,60.292799864609336,59.702918767657934,0.5898810969514017,0.009880272340570226,0.982251662704477,0.9822011309892708,5.0531715206192374e-05,5.1447421115568195e-05,0.057935715540674726,0.0581499309241963,-0.00021421538352157238,-0.0036838458811038234,0.017748337295523053,0.017798869010729246,-5.0531715206192374e-05,-0.0028390407938690713,2.360000000000001,2.360000000000001,0.0,0.0,3.360000000000002,3.360000000000002,0.0,0.0,367.8365689495232,363.13626794668085,4.700301002842366,0.012943628653287007,113.05053353729733,113.3917445942175,-0.34121105692017295,-0.0030091349078473677,60.292799864609336,59.702918767657934,0.5898810969514017,0.009880272340570226,260.0572954827363,259.6365112515621,0.4207842311741956,0.0016206666356200468
hcn_reduction,clustered_asynchronous,clustered_asynchronous,16.578639905405762,16.578639905405762,0.0,0.0,418.829873107371,418.829873107371,0.0,0.0,0.039583231688814315,0.039583231688814315,0.0,0.0,42.071642206698066,41.31500743860002,0.7566347680980456,0.018313799633765348,0.9861026613347478,0.9862434102722649,-0.00014074893751714335,-0.00014271217029301908,0.08468978041687816,0.08564151653761283,-0.000951736120734667,-0.011113022739580689,0.013897338665252223,0.01375658972773508,0.00014074893751714335,0.010231382944667975,6.8400000000000025,6.820000000000003,0.019999999999999574,0.00293255131964803,3.640000000000001,3.66,-0.01999999999999913,-0.005464480874316702,374.65974885244015,369.18218329196657,5.477565560473579,0.014837025751434118,113.0398403745638,113.20356352104199,-0.16372314647819053,-0.001446272019941829,42.071642206698066,41.31500743860002,0.7566347680980456,0.018313799633765348,260.0572954827363,259.6365112515621,0.4207842311741956,0.0016206666356200468
potassium_loss_of_function,isolated_single_spine,isolated_single_spine,16.578639905405762,16.578639905405762,0.0,0.0,309.9272163134145,309.9272163134145,0.0,0.0,0.053492042753162355,0.053492042753162355,0.0,0.0,13.937350068647604,13.92559127507375,0.01175879357385412,0.0008444017450736106,0.910485422909111,0.9103984742080835,8.694870102754493e-05,9.55062024935596e-05,0.08642438021388027,0.08597229816228749,0.00045208205159277814,0.0052584618680239946,0.08951457709088895,0.08960152579191649,-8.694870102754493e-05,-0.000970393084928796,1.1800000000000006,1.1800000000000006,0.0,0.0,4.1,4.08,0.019999999999999574,0.004901960784313621,112.81527222515254,111.93515105299701,0.8801211721555262,0.007862777365966321,41.68297704752864,41.22183895055055,0.4611380969780896,0.011186742482092268,13.937350068647604,13.92559127507375,0.01175879357385412,0.0008444017450736106,165.7186174085995,165.66902520272018,0.04959220587932123,0.0002993450695966729
