scenario,protocol,evidence_grade,reference_ids,n_spines,event_pattern,neck_length_um,neck_radius_um,head_radius_um,rho_ohm_cm,R_neck_Mohm,R_in_d_Mohm,SMI,synaptic_g_scale,ampa_g_max_nS,nmda_fraction,dendritic_leak_scale,hcn_scale,kdr_scale,ka_scale,cluster_spine_count,Zin_50Hz_Mohm,Ztransfer_50Hz_Mohm,transfer_gain_50Hz,electrotonic_distance_50Hz,dynamic_SMI_abs_50Hz,active_frozen_Zin_50Hz_Mohm,active_frozen_Ztransfer_50Hz_Mohm,clinical_claim,exploratory_only,A_h_mV,A_d_mV,A_s_mV,Gamma_h_to_d,Gamma_h_to_s,local_voltage_isolation,latency_head_ms,half_width_head_ms,head_voltage_integral_mV_ms,soma_voltage_integral_mV_ms,max_synaptic_conductance_nS,driving_force_reduction_mV,max_voltage_mV,min_voltage_mV,threshold_crossed_minus20mV,soma_crossed_0mV,finite,min_gate,max_gate
matched_baseline,isolated_single_spine,control,LondonHausser2005;Magee1998HCN,1,synchronous,0.75,0.12,0.35,100.0,16.578639905405762,309.9272163134145,0.053492042753162355,1.0,1.4,0.35,1.0,1.0,1.0,1.0,1,166.104348925641,14.042541861234985,0.0845404828474499,2.470524772392452,0.09980858425824499,165.66902520272018,14.005151328670417,none,True,13.92559127507375,12.677837049272542,1.1972150851867895,0.9103984742080835,0.08597229816228749,0.08960152579191649,1.1800000000000006,4.08,111.93515105299701,41.22183895055055,1.4162116008165584,13.92559127507375,-55.94325114624213,-70.0,False,False,True,0.028905534475191907,0.7540796658225246
matched_baseline,clustered_synchronous,control,LondonHausser2005;Magee1998HCN,3,synchronous,0.75,0.12,0.35,100.0,16.578639905405762,418.829873107371,0.039583231688814315,1.0,1.4,0.35,1.0,1.0,1.0,1.0,1,260.88388167847006,13.205130768864493,0.05061689010415499,2.983469961861581,0.06354796547315383,259.6365112515621,13.128216131974142,none,True,59.702918767657934,58.64027433695418,3.4717206023122116,0.9822011309892708,0.0581499309241963,0.017798869010729246,2.360000000000001,3.360000000000002,363.13626794668085,113.3917445942175,4.298956307678029,59.702918767657934,-7.999931463444361,-70.0,True,False,True,0.028905534475191907,0.9362596979721818
matched_baseline,clustered_asynchronous,control,LondonHausser2005;Magee1998HCN,3,asynchronous,0.75,0.12,0.35,100.0,16.578639905405762,418.829873107371,0.039583231688814315,1.0,1.4,0.35,1.0,1.0,1.0,1.0,1,260.88388167847006,13.205130768864493,0.05061689010415499,2.983469961861581,0.06354796547315383,259.6365112515621,13.128216131974142,none,True,41.31500743860002,40.74665383166887,3.5382798928044608,0.9862434102722649,0.08564151653761283,0.01375658972773508,6.820000000000003,3.66,369.18218329196657,113.20356352104199,2.7060898079271514,41.31500743860002,-27.931850041443976,-70.0,False,False,True,0.028905534475191907,0.7540796658225246
morphology_dominant,isolated_single_spine,limited_conflicting,Wong2005SpinesEpilepsy;Isokawa1998SpineRemodeling;PilocarpineSpineLoss2008,1,synchronous,0.8999999999999999,0.102,0.385,100.0,27.535457282334832,309.9272163134145,0.08884491529937,1.0,1.4,0.35,1.0,1.0,1.0,1.0,1,166.104348925641,14.042541861234985,0.0845404828474499,2.470524772392452,0.1657720430586768,165.66902520272018,14.005151328670417,none,True,14.60024151559508,12.545712668842059,1.1893297741835673,0.8592811739067124,0.08145959591923177,0.14071882609328756,1.1600000000000013,4.08,115.5273223209181,40.973687924733966,1.4168856285784386,14.60024151559508,-55.26600388151094,-70.0,False,False,True,0.028905534475191907,0.7540796658225246
morphology_dominant,clustered_synchronous,limited_conflicting,Wong2005SpinesEpilepsy;Isokawa1998SpineRemodeling;PilocarpineSpineLoss2008,3,synchronous,0.8999999999999999,0.102,0.385,100.0,27.535457282334832,418.829873107371,0.06574377581533172,1.0,1.4,0.35,1.0,1.0,1.0,1.0,1,260.88388167847006,13.205130768864493,0.05061689010415499,2.983469961861581,0.1055467938654458,259.6365112515621,13.128216131974142,none,True,60.05799496965706,58.31096229502282,3.4486511757705895,0.9709109057750448,0.05742201646113798,0.029089094224955203,2.3400000000000016,3.3599999999999985,364.61987300769226,112.75211410036604,4.30148039157189,60.05799496965706,-7.691811048314787,-70.0,True,False,True,0.028905534475191907,0.9378769730271158
morphology_dominant,clustered_asynchronous,limited_conflicting,Wong2005SpinesEpilepsy;Isokawa1998SpineRemodeling;PilocarpineSpineLoss2008,3,asynchronous,0.8999999999999999,0.102,0.385,100.0,27.535457282334832,418.829873107371,0.06574377581533172,1.0,1.4,0.35,1.0,1.0,1.0,1.0,1,260.88388167847006,13.205130768864493,0.05061689010415499,2.983469961861581,0.1055467938654458,259.6365112515621,13.128216131974142,none,True,41.59343140463505,40.664987965783936,3.5175504766752077,0.9776781235041924,0.08456985533257115,0.022321876495807635,6.800000000000001,3.6199999999999983,371.3644669813018,112.62912751457283,2.7131953544653205,41.59343140463505,-27.355725456614298,-70.0,False,False,True,0.028905534475191907,0.7540796658225246
hcn_reduction,isolated_single_spine,conflicting,Kole2007HCN1Loss;Nava2014HCN1;Bender2003HCN,1,synchronous,0.75,0.12,0.35,100.0,16.578639905405762,309.9272163134145,0.053492042753162355,1.0,1.4,0.35,1.0,0.4,1.0,1.0,1,166.104348925641,14.042541861234985,0.0845404828474499,2.470524772392452,0.09980858425824499,165.8161170801568,14.017785313657216,none,True,13.963836409161692,12.713355735997508,1.1894529150645456,0.9104486305537252,0.08518095458953844,0.08955136944627484,1.1800000000000006,4.08,111.4528511258441,40.26151466003491,1.4161360530243878,13.963836409161692,-56.02211609540219,-70.0,False,False,True,0.028905534475191907,0.7540796658225246
hcn_reduction,clustered_synchronous,conflicting,Kole2007HCN1Loss;Nava2014HCN1;Bender2003HCN,3,synchronous,0.75,0.12,0.35,100.0,16.578639905405762,418.829873107371,0.039583231688814315,1.0,1.4,0.35,1.0,0.4,1.0,1.0,1,260.88388167847006,13.205130768864493,0.05061689010415499,2.983469961861581,0.06354796547315383,260.0572954827363,13.154149500727856,none,True,60.292799864609336,59.22270291612079,3.493106502106838,0.982251662704477,0.057935715540674726,0.017748337295523053,2.360000000000001,3.360000000000002,367.8365689495232,113.05053353729733,4.298065414546459,60.292799864609336,-7.650961650211285,-70.0,True,False,True,0.028905534475191907,0.9378200806101971
hcn_reduction,clustered_asynchronous,conflicting,Kole2007HCN1Loss;Nava2014HCN1;Bender2003HCN,3,asynchronous,0.75,0.12,0.35,100.0,16.578639905405762,418.829873107371,0.039583231688814315,1.0,1.4,0.35,1.0,0.4,1.0,1.0,1,260.88388167847006,13.205130768864493,0.05061689010415499,2.983469961861581,0.06354796547315383,260.0572954827363,13.154149500727856,none,True,42.071642206698066,41.48695834674827,3.5630381402627225,0.9861026613347478,0.08468978041687816,0.013897338665252223,6.8400000000000025,3.640000000000001,374.65974885244015,113.0398403745638,2.7058670489738015,42.071642206698066,-27.491964802190566,-70.0,False,False,True,0.028905534475191907,0.7540796658225246
potassium_loss_of_function,isolated_single_spine,moderate,Bernard2004DendriticChannelopathy;VillaCombi2016PotassiumChannels,1,synchronous,0.75,0.12,0.35,100.0,16.578639905405762,309.9272163134145,0.053492042753162355,1.0,1.4,0.35,1.0,1.0,0.8,0.5,1,166.104348925641,14.042541861234985,0.0845404828474499,2.470524772392452,0.09980858425824499,165.7186174085995,14.009410899928904,none,True,13.937350068647604,12.689754071484941,1.2045268415067505,0.910485422909111,0.08642438021388027,0.08951457709088895,1.1800000000000006,4.1,112.81527222515254,41.68297704752864,1.4162345918061008,13.937350068647604,-55.91123411425862,-70.0,False,False,True,0.028905534475191907,0.7540796658225246
potassium_loss_of_function,clustered_synchronous,moderate,Bernard2004DendriticChannelopathy;VillaCombi2016PotassiumChannels,3,synchronous,0.75,0.12,0.35,100.0,16.578639905405762,418.829873107371,0.039583231688814315,1.0,1.4,0.35,1.0,1.0,0.8,0.5,1,260.88388167847006,13.205130768864493,0.05061689010415499,2.983469961861581,0.06354796547315383,259.77830053832946,13.136953298185354,none,True,60.50433181393335,59.43708706573801,3.6313230077352348,0.9823608539058428,0.0600175706245712,0.017639146094157176,2.3800000000000003,3.4600000000000013,381.7718696859407,119.54890427323394,4.299372381052876,60.50433181393335,-6.989106348547489,-70.0,True,False,True,0.028905534475191907,0.9416530688390814
potassium_loss_of_function,clustered_asynchronous,moderate,Bernard2004DendriticChannelopathy;VillaCombi2016PotassiumChannels,3,asynchronous,0.75,0.12,0.35,100.0,16.578639905405762,418.829873107371,0.039583231688814315,1.0,1.4,0.35,1.0,1.0,0.8,0.5,1,260.88388167847006,13.205130768864493,0.05061689010415499,2.983469961861581,0.06354796547315383,259.77830053832946,13.136953298185354,none,True,43.553181640500966,42.93955362167389,3.714811769055151,0.985910833704593,0.0852936944932784,0.014089166295407018,6.800000000000001,3.66,388.081351157881,119.395399940732,2.726517513058884,43.553181640500966,-25.67026585326261,-70.0,False,False,True,0.028905534475191907,0.7758325191574903
increased_exc_synaptic_strength,isolated_single_spine,limited,Hanada2020GlutamateEpilepsy,1,synchronous,0.75,0.12,0.35,100.0,16.578639905405762,309.9272163134145,0.053492042753162355,1.5,2.0999999999999996,0.35,1.0,1.0,1.0,1.0,1,166.104348925641,14.042541861234985,0.0845404828474499,2.470524772392452,0.09980858425824499,165.66902520272018,14.005151328670417,none,True,19.417671948007634,17.704563044019114,1.7088667008949565,0.9117757829787471,0.0880057457696568,0.08822421702125294,1.2200000000000024,4.2200000000000015,160.94952822653553,58.77801429223511,2.1322289666527245,19.417671948007634,-50.45117047330825,-70.0,False,False,True,0.028905534475191907,0.7540796658225246
increased_exc_synaptic_strength,clustered_synchronous,limited,Hanada2020GlutamateEpilepsy,3,synchronous,0.75,0.12,0.35,100.0,16.578639905405762,418.829873107371,0.039583231688814315,1.5,2.0999999999999996,0.35,1.0,1.0,1.0,1.0,1,260.88388167847006,13.205130768864493,0.05061689010415499,2.983469961861581,0.06354796547315383,259.6365112515621,13.128216131974142,none,True,64.4452895266238,63.303495225438695,3.8310312439861356,0.9822827345555891,0.05944625700538517,0.01771726544441088,1.8799999999999997,3.3800000000000012,432.4346052870811,132.61706375366532,6.535901837045017,64.4452895266238,-3.5836387478813516,-70.0,True,False,True,0.028905534475191907,0.9539807900642311
increased_exc_synaptic_strength,clustered_asynchronous,limited,Hanada2020GlutamateEpilepsy,3,asynchronous,0.75,0.12,0.35,100.0,16.578639905405762,418.829873107371,0.039583231688814315,1.5,2.0999999999999996,0.35,1.0,1.0,1.0,1.0,1,260.88388167847006,13.205130768864493,0.05061689010415499,2.983469961861581,0.06354796547315383,259.6365112515621,13.128216131974142,none,True,41.31970596236737,40.57984510403434,4.196153744116277,0.9820942370933889,0.10155333021822555,0.017905762906611056,4.540000000000003,7.440000000000002,477.2117395134074,142.32054397440592,4.201764769978492,41.31970596236737,-11.275610722841616,-70.0,False,False,True,0.028905534475191907,0.9202376286710806
increased_nmda_contribution,isolated_single_spine,limited,Hanada2020GlutamateEpilepsy,1,synchronous,0.75,0.12,0.35,100.0,16.578639905405762,309.9272163134145,0.053492042753162355,1.0,1.4,0.65,1.0,1.0,1.0,1.0,1,166.104348925641,14.042541861234985,0.0845404828474499,2.470524772392452,0.09980858425824499,165.66902520272018,14.005151328670417,none,True,14.073872426466467,12.814177664475006,1.2464427714110187,0.9104940897700227,0.08856430793468288,0.08950591022997734,1.1999999999999997,4.2200000000000015,126.56448023074472,45.473094556913,1.430525254886095,14.073872426466467,-55.79496999484942,-70.0,False,False,True,0.028905534475191907,0.7540796658225246
increased_nmda_contribution,clustered_synchronous,limited,Hanada2020GlutamateEpilepsy,3,synchronous,0.75,0.12,0.35,100.0,16.578639905405762,418.829873107371,0.039583231688814315,1.0,1.4,0.65,1.0,1.0,1.0,1.0,1,260.88388167847006,13.205130768864493,0.05061689010415499,2.983469961861581,0.06354796547315383,259.6365112515621,13.128216131974142,none,True,60.64566959971304,59.560977861922126,3.5655024102765194,0.9821142755129866,0.05879236611303556,0.01788572448701342,2.3200000000000025,3.3800000000000012,415.9708578381757,125.72543942636642,4.396017362090955,60.64566959971304,-7.083058522189891,-70.0,True,False,True,0.028905534475191907,0.9405060610545819
increased_nmda_contribution,clustered_asynchronous,limited,Hanada2020GlutamateEpilepsy,3,asynchronous,0.75,0.12,0.35,100.0,16.578639905405762,418.829873107371,0.039583231688814315,1.0,1.4,0.65,1.0,1.0,1.0,1.0,1,260.88388167847006,13.205130768864493,0.05061689010415499,2.983469961861581,0.06354796547315383,259.6365112515621,13.128216131974142,none,True,44.238234190528956,43.582405413168935,3.70475608883708,0.9851750688208882,0.08374556888688468,0.014824931179111767,6.700000000000001,3.58,424.29567585121094,126.13447796958832,3.055841865123749,44.238234190528956,-25.06353310544015,-70.0,False,False,True,0.028905534475191907,0.7853510898130063
increased_clustering_synchrony,isolated_single_spine,limited,LondonHausser2005;Losonczy2008CompartmentalizedPlasticity;Major2008DendriticSpikes,1,synchronous,0.75,0.12,0.35,100.0,16.578639905405762,309.9272163134145,0.053492042753162355,1.25,1.75,0.35,1.0,1.0,1.0,1.0,3,166.104348925641,14.042541861234985,0.0845404828474499,2.470524772392452,0.09980858425824499,165.66902520272018,14.005151328670417,none,True,16.749133263118146,15.257631965625865,1.456850882612326,0.9109505385107545,0.08698067295340796,0.08904946148924553,1.1999999999999997,4.1400000000000015,136.74030431809626,50.11152561164391,1.7734776189512604,16.749133263118146,-53.11970915819774,-70.0,False,False,True,0.028905534475191907,0.7540796658225246
increased_clustering_synchrony,clustered_synchronous,limited,LondonHausser2005;Losonczy2008CompartmentalizedPlasticity;Major2008DendriticSpikes,3,synchronous,0.75,0.12,0.35,100.0,16.578639905405762,418.829873107371,0.039583231688814315,1.25,1.75,0.35,1.0,1.0,1.0,1.0,3,260.88388167847006,13.205130768864493,0.05061689010415499,2.983469961861581,0.06354796547315383,259.6365112515621,13.128216131974142,none,True,62.656149834405134,61.54266651626647,3.648461277875187,0.9822286667616585,0.05822989902057115,0.017771333238341458,2.0600000000000027,3.3399999999999994,398.5382508571822,123.27346017668683,5.408078836263308,62.656149834405134,-5.228743772193704,-70.0,True,False,True,0.028905534475191907,0.9479954234603909
increased_clustering_synchrony,clustered_asynchronous,limited,LondonHausser2005;Losonczy2008CompartmentalizedPlasticity;Major2008DendriticSpikes,3,asynchronous,0.75,0.12,0.35,100.0,16.578639905405762,418.829873107371,0.039583231688814315,1.25,1.75,0.35,1.0,1.0,1.0,1.0,3,260.88388167847006,13.205130768864493,0.05061689010415499,2.983469961861581,0.06354796547315383,259.6365112515621,13.128216131974142,none,True,43.14337872800189,42.602781279540054,3.8481395015387414,0.9874697470527275,0.08919420812633608,0.012530252947272502,6.12,6.8999999999999995,419.7065141077291,127.24180649040223,3.5068991417775055,43.14337872800189,-18.77756207843263,-70.0,False,False,True,0.028905534475191907,0.8638614750683432
