file_path,row_count,relevant_columns,analytic_divider_computable,observed_gamma_available,regime_labels_available,residual_analysis_possible,used_in_phase1_primary,caveats
results\phase02\caption_discrepancy_table.csv,9,condition,no,no,yes,no,no,Relevant descriptors present but SMI and observed Gamma_h_to_d are not both available.
results\phase02\central_smi_claim_tests.csv,5,,no,no,no,no,no,
results\phase02\convergence_dt_intermediate.csv,4,condition; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; A_h_mV_abs_diff_vs_0_0025_ms; Gamma_h_to_d_abs_diff_vs_0_0025_ms; Gamma_h_to_s_abs_diff_vs_0_0025_ms,yes,yes,yes,yes,yes,Validation rows repeat the intermediate reference condition across dt.
results\phase02\Figure2_high_trace.csv,8001,condition,no,no,yes,no,no,Relevant descriptors present but SMI and observed Gamma_h_to_d are not both available.
results\phase02\Figure2_intermediate_trace.csv,8001,condition,no,no,yes,no,no,Relevant descriptors present but SMI and observed Gamma_h_to_d are not both available.
results\phase02\Figure2_low_trace.csv,8001,condition,no,no,yes,no,no,Relevant descriptors present but SMI and observed Gamma_h_to_d are not both available.
results\phase02\Figure2_representative_summary.csv,3,condition; neck_resistance_Mohm; R_in_d_Mohm; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; peak_neck_current_pA_head_to_dendrite,yes,yes,yes,yes,yes,
results\phase02\Figure3_geometry_sweep.csv,400,neck_resistance_Mohm; R_in_d_Mohm; SMI; Gamma_h_to_s; Gamma_h_to_d; A_h_mV,yes,yes,no,yes,yes,
results\phase02\Figure4_matched_neck_heterogeneous_load.csv,30,neck_resistance_Mohm; R_in_d_Mohm; SMI; Gamma_h_to_s; Gamma_h_to_d; A_h_mV,yes,yes,no,yes,yes,
results\phase02\reproduction_parameters.csv,10,,no,no,no,no,no,
results\phase03\chirp_validation.csv,4,,no,no,no,no,no,
results\phase03\falsification_summary.csv,2,,no,no,no,no,no,
results\phase03\impedance_spectrum.csv,18,Z_transfer_abs_Mohm; Z_transfer_phase_rad; dynamic_SMI_abs; dynamic_SMI_phase_rad,no,no,no,no,no,Relevant descriptors present but SMI and observed Gamma_h_to_d are not both available.
results\phase03\iso_transfer_counterexamples.csv,5,case_a; case_b; Gamma_h_to_d_a; Gamma_h_to_d_b; SMI_a; SMI_b; relative_SMI_difference,no,no,no,no,no,Relevant descriptors present but SMI and observed Gamma_h_to_d are not both available.
results\phase03\neck_model_comparison.csv,5,effective_R_neck_Mohm; A_h_mV; Gamma_h_to_d; Gamma_h_to_s,no,yes,no,no,no,Relevant descriptors present but SMI and observed Gamma_h_to_d are not both available.
results\phase03\phase03_summary.csv,7,smi_abs_spearman,no,no,no,no,no,Relevant descriptors present but SMI and observed Gamma_h_to_d are not both available.
results\phase03\predictor_comparison.csv,33,,no,no,no,no,no,
results\phase03\sinusoidal_validation.csv,3,,no,no,no,no,no,
results\phase03\smi_challenge_suite.csv,24,case; R_neck_Mohm; R_in_d_Mohm; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz,yes,yes,yes,yes,yes,
results\phase03\spatial_convergence.csv,4,R_in_d_Mohm; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; Gamma_h_to_s_rel_diff_vs_32seg,yes,yes,no,yes,yes,"Spatial convergence rows are validation rows, not independent biological samples."
results\phase04\active_falsification_summary.csv,12,,no,no,no,no,no,
results\phase04\active_impedance_operating_point.csv,12,Zin_Mohm; Ztransfer_Mohm; transfer_gain,no,no,no,no,no,Relevant descriptors present but SMI and observed Gamma_h_to_d are not both available.
results\phase04\active_multivariable_diagnostic.csv,3,,no,no,no,no,no,
results\phase04\active_predictor_comparison.csv,260,,no,no,yes,no,no,
results\phase04\active_protocol_library.csv,14,protocol_family; protocol; active_profile; A_h_mV; Gamma_h_to_d; Gamma_h_to_s,no,yes,yes,no,no,Relevant descriptors present but SMI and observed Gamma_h_to_d are not both available.
results\phase04\active_smi_challenge_suite.csv,47,case; protocol; active_profile; R_neck_Mohm; R_in_d_Mohm; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; Zin_50Hz_Mohm; transfer_gain_50Hz; active_frozen_Zin_50Hz_Mohm; active_frozen_transfer_gain_50Hz; active_profile_channel_count,yes,yes,yes,yes,yes,
results\phase04\active_validation.csv,12,,no,no,no,no,no,
results\phase04\phase04_summary.csv,16,smi_abs_spearman,no,no,no,no,no,Relevant descriptors present but SMI and observed Gamma_h_to_d are not both available.
results\phase05\claim_robustness.csv,6,,no,no,no,no,no,
results\phase05\counterexample_prevalence.csv,6,,no,no,no,no,no,
results\phase05\global_uncertainty_samples.csv,96,R_neck_Mohm; R_in_d_Mohm; SMI; SMI_class; Gamma_h_to_d; Gamma_h_to_s; A_h_mV; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_Gamma_h_to_d; active_Gamma_h_to_s; active_A_h_mV; active_local_voltage_isolation; active_Zin_50Hz_Mohm; active_transfer_gain_50Hz; active_dynamic_SMI_abs_50Hz; AMPA_only_A_h_mV; NMDA_delta_A_h_fraction,yes,yes,no,yes,yes,Deterministic uncertainty-design rows; not biological samples.
results\phase05\identifiability_degeneracy_examples.csv,60,SMI_a; SMI_b; relative_SMI_difference; Gamma_h_to_d_a; Gamma_h_to_d_b; Gamma_h_to_d_abs_difference; A_h_mV_a; A_h_mV_b; A_h_relative_difference,no,no,no,no,no,Relevant descriptors present but SMI and observed Gamma_h_to_d are not both available.
results\phase05\local_sensitivity.csv,210,,no,no,no,no,no,
results\phase05\phase05_summary.csv,19,,no,no,no,no,no,
results\phase05\phase05_validation.csv,7,,no,no,no,no,no,
results\phase05\predictor_comparison.csv,210,,no,no,yes,no,no,
results\phase05\radius_uncertainty_class_stability.csv,96,true_SMI; measured_SMI_min; measured_SMI_max,yes,no,no,no,no,Relevant descriptors present but SMI and observed Gamma_h_to_d are not both available.
results\phase05\residual_analysis.csv,20,,no,no,yes,no,no,
results\phase05\uncertainty_decomposition.csv,98,,no,no,no,no,no,
results\phase05\uncertainty_distributions.csv,14,,no,no,no,no,no,
results\phase05\uncertainty_summary.csv,12,,no,no,no,no,no,
results\phase05_1\claim_reassessment.csv,6,,no,no,no,no,no,
results\phase05_1\convergence_cause_diagnostics.csv,4,smi_mean; smi_median; smi_sd; smi_coefficient_of_variation; smi_skewness; smi_p95_over_median; radius_smi_spearman; length_smi_spearman; resistivity_smi_spearman; rin_smi_spearman,no,no,no,no,no,Relevant descriptors present but SMI and observed Gamma_h_to_d are not both available.
results\phase05_1\counterexample_prevalence_by_n.csv,24,,no,no,no,no,no,
results\phase05_1\global_uncertainty_samples_N192.csv,192,R_neck_Mohm; R_in_d_Mohm; SMI; SMI_class; Gamma_h_to_d; Gamma_h_to_s; A_h_mV; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_Gamma_h_to_d; active_Gamma_h_to_s; active_A_h_mV; active_local_voltage_isolation; active_Zin_50Hz_Mohm; active_transfer_gain_50Hz; active_dynamic_SMI_abs_50Hz; AMPA_only_A_h_mV; NMDA_delta_A_h_fraction,yes,yes,no,yes,yes,Deterministic uncertainty-design rows; not biological samples.
