dataset,target_type,n_rows,median_observed_Gamma_h_to_d,median_Gamma_divider,median_residual,median_absolute_residual,median_absolute_relative_error,residual_p05,residual_p95,maximum_absolute_residual,spearman_SMI_vs_observed_Gamma_h_to_d,spearman_Gamma_divider_vs_observed_Gamma_h_to_d,rmse_observed_vs_divider,mae_observed_vs_divider
phase02_baseline_target_cases,Gamma_h_to_d_peak,3,0.7512821308690512,0.8970688495921831,-0.14578671872313198,0.14578671872313198,0.16251452582419748,-0.3102858028468644,-0.02114372434484927,0.32856347886061243,-1.0,1.0,0.20757403238955133,0.1605482334436689
phase02_dt_convergence_intermediate,Gamma_h_to_d_peak,4,0.751407019508467,0.8970688495921831,-0.14566183008371614,0.14566183008371614,0.16237530725755947,-0.146212094006574,-0.14543088633892862,0.14628716023306376,,,0.14575613308459295,0.1457557477831486
phase02_fixed_load_geometry_sweep,Gamma_h_to_d_peak,400,0.7805816152035869,0.9063520646439441,-0.12577044944035726,0.12577044944035726,0.1387662657380474,-0.41557842080318147,-0.011196317550020062,0.4200621509816421,-0.9999999999999999,0.9999999999999999,0.2290896484311113,0.17793781999427252
phase02_matched_neck_load_sweep,Gamma_h_to_d_peak,30,0.1875173472519603,0.6188239623393701,-0.43130661508740986,0.43130661508740986,0.6969586097282415,-0.49102725409716447,-0.14442278051735574,0.4924279287147093,-1.0,1.0,0.39690606453834326,0.3780358628606539
phase03_passive_morphology_challenge,Gamma_h_to_d_peak,24,0.6690716751165546,0.7585718511956501,-0.10709688216673954,0.10709688216673954,0.1515318829028895,-0.2669932142799444,-0.05899711058067569,0.4539830182016137,-0.9423418891382008,0.9380069937059361,0.15895370401400602,0.1338904211705428
phase03_spatial_convergence,Gamma_h_to_d_peak,4,0.9345305436705605,0.9587587684547052,-0.024228224784144714,0.024228224784144714,0.025270609582358678,-0.026439232743822767,-0.023438452890926366,0.026750920888161667,-1.0,1.0,0.02468061993580233,0.02464623539192698
phase04_active_nonlinear_challenge,Gamma_h_to_d_peak,47,0.6994068116087395,0.7903514097015687,-0.09291503510645205,0.09291503510645205,0.11929519014019571,-0.19275260186300253,-0.039558321295122496,0.193788844864494,-0.9249061498523895,0.9249061498523895,0.11384888078661759,0.10386916249292205
phase05_1_global_uncertainty_N192,Gamma_h_to_d_peak,192,0.8670903372661829,0.9260527355482567,-0.05449070453493876,0.05449070453493876,0.060130946630331916,-0.11566077063922411,-0.021930397933043765,0.17003342529571885,-0.9337496269972604,0.9337496269972604,0.06572344125108523,0.05907009100712221
phase05_1_global_uncertainty_N192,active_Gamma_h_to_d_peak,192,0.8677965156545648,0.9260527355482567,-0.05245244741305749,0.05245244741305749,0.05819345839356655,-0.11080223556425978,-0.021242782004196045,0.16743912539141503,-0.9331884274204487,0.9331884274204487,0.06371361762228783,0.05723556100729391
phase05_1_global_uncertainty_N384,Gamma_h_to_d_peak,384,0.871846588521069,0.927786067768306,-0.05352534185845742,0.05352534185845742,0.05856456197211833,-0.10370234383138537,-0.025096424518698444,0.14370538536725186,-0.9371946102200672,0.9371946102200672,0.06317191430284884,0.057913909701854095
