derived_file,source_file,source_columns_used,row_count,transformation,notes
phase1_data_inventory.csv,results\phase02\Figure2_representative_summary.csv,condition; neck_resistance_Mohm; R_in_d_Mohm; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; peak_neck_current_pA_head_to_dendrite,3,schema discovery for all candidate CSVs,
phase1_data_inventory.csv,results\phase02\Figure3_geometry_sweep.csv,neck_resistance_Mohm; R_in_d_Mohm; SMI; Gamma_h_to_s; Gamma_h_to_d; A_h_mV,400,schema discovery for all candidate CSVs,
phase1_data_inventory.csv,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,neck_resistance_Mohm; R_in_d_Mohm; SMI; Gamma_h_to_s; Gamma_h_to_d; A_h_mV,30,schema discovery for all candidate CSVs,
phase1_data_inventory.csv,results\phase02\convergence_dt_intermediate.csv,condition; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; A_h_mV_abs_diff_vs_0_0025_ms; Gamma_h_to_d_abs_diff_vs_0_0025_ms; Gamma_h_to_s_abs_diff_vs_0_0025_ms,4,schema discovery for all candidate CSVs,Validation rows repeat the intermediate reference condition across dt.
phase1_data_inventory.csv,results\phase03\smi_challenge_suite.csv,case; R_neck_Mohm; R_in_d_Mohm; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz,24,schema discovery for all candidate CSVs,
phase1_data_inventory.csv,results\phase03\spatial_convergence.csv,R_in_d_Mohm; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; Gamma_h_to_s_rel_diff_vs_32seg,4,schema discovery for all candidate CSVs,"Spatial convergence rows are validation rows, not independent biological samples."
phase1_data_inventory.csv,results\phase04\active_smi_challenge_suite.csv,case; protocol; active_profile; R_neck_Mohm; R_in_d_Mohm; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; Zin_50Hz_Mohm; transfer_gain_50Hz; active_frozen_Zin_50Hz_Mohm; active_frozen_transfer_gain_50Hz; active_profile_channel_count,47,schema discovery for all candidate CSVs,
phase1_data_inventory.csv,results\phase05\global_uncertainty_samples.csv,R_neck_Mohm; R_in_d_Mohm; SMI; SMI_class; Gamma_h_to_d; Gamma_h_to_s; A_h_mV; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_Gamma_h_to_d; active_Gamma_h_to_s; active_A_h_mV; active_local_voltage_isolation; active_Zin_50Hz_Mohm; active_transfer_gain_50Hz; active_dynamic_SMI_abs_50Hz; AMPA_only_A_h_mV; NMDA_delta_A_h_fraction,96,schema discovery for all candidate CSVs,Deterministic uncertainty-design rows; not biological samples.
phase1_data_inventory.csv,results\phase05_1\global_uncertainty_samples_N192.csv,R_neck_Mohm; R_in_d_Mohm; SMI; SMI_class; Gamma_h_to_d; Gamma_h_to_s; A_h_mV; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_Gamma_h_to_d; active_Gamma_h_to_s; active_A_h_mV; active_local_voltage_isolation; active_Zin_50Hz_Mohm; active_transfer_gain_50Hz; active_dynamic_SMI_abs_50Hz; AMPA_only_A_h_mV; NMDA_delta_A_h_fraction,192,schema discovery for all candidate CSVs,Deterministic uncertainty-design rows; not biological samples.
phase1_data_inventory.csv,results\phase05_1\global_uncertainty_samples_N384.csv,R_neck_Mohm; R_in_d_Mohm; SMI; SMI_class; Gamma_h_to_d; Gamma_h_to_s; A_h_mV; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_Gamma_h_to_d; active_Gamma_h_to_s; active_A_h_mV; active_local_voltage_isolation; active_Zin_50Hz_Mohm; active_transfer_gain_50Hz; active_dynamic_SMI_abs_50Hz; AMPA_only_A_h_mV; NMDA_delta_A_h_fraction,384,schema discovery for all candidate CSVs,Deterministic uncertainty-design rows; not biological samples.
