target,regime,best_scalar_descriptor,best_scalar_metric,two_variable_model_metric,smi_metric,gamma_divider_metric,dynamic_or_impedance_metric_if_available,recommended_descriptor_language,interpretation,caveats
A_h_mV,active_nonlinear_challenge,Zin_Mohm,0.7124265342587042,7.129167917256004,0.23640435500065868,0.23640435500065868,Zin_Mohm abs_spearman=0.7124265342587042,SMI is insufficient for amplitude prediction.,Conductance scale and input impedance are needed for amplitude.,Descriptive comparison across designed/sensitivity rows; not population inference.
A_h_mV,all_nonexploratory,synaptic_conductance_scale,0.9823958636710142,5.185597430411683,0.1429204022242558,0.14292065930290135,dynamic_SMI_abs abs_spearman=0.1678723897529702,SMI is insufficient for amplitude prediction.,Conductance scale and input impedance are needed for amplitude.,Descriptive comparison across designed/sensitivity rows; not population inference.
A_h_mV,baseline_reference_targets,SMI,1.0,,1.0,1.0,,SMI is insufficient for amplitude prediction.,Conductance scale and input impedance are needed for amplitude.,Descriptive comparison across designed/sensitivity rows; not population inference.
A_h_mV,exploratory_matched_baseline_comparisons,log10_R_in_d_Mohm,0.70290272158224,8.967014741952648,0.35404396500732044,0.35404396500732044,,SMI is insufficient for amplitude prediction.,Conductance scale and input impedance are needed for amplitude.,Descriptive comparison across designed/sensitivity rows; not population inference.
A_h_mV,exploratory_mechanistic_decomposition,Zin_Mohm,0.48197897496024894,,0.3546040716334876,0.3546040716334876,Zin_Mohm abs_spearman=0.48197897496024894,SMI is insufficient for amplitude prediction.,Conductance scale and input impedance are needed for amplitude.,Descriptive comparison across designed/sensitivity rows; not population inference.
A_h_mV,exploratory_scenario_uncertainty,synaptic_conductance_scale,0.9888095697472508,2.7728100498799266,0.3570326065984952,0.3570326065984952,dynamic_SMI_abs abs_spearman=0.3581580809055245,SMI is insufficient for amplitude prediction.,Conductance scale and input impedance are needed for amplitude.,Descriptive comparison across designed/sensitivity rows; not population inference.
A_h_mV,exploratory_scenarios,transfer_gain,0.8221451475649413,8.967014741952648,0.35404396500732044,0.35404396500732044,Ztransfer_Mohm abs_spearman=0.8221451475649413,SMI is insufficient for amplitude prediction.,Conductance scale and input impedance are needed for amplitude.,Descriptive comparison across designed/sensitivity rows; not population inference.
A_h_mV,fixed_load_geometry_sweep,SMI,0.9999999999999999,3.076115954972899,0.9999999999999999,0.9999999999999999,,SMI is insufficient for amplitude prediction.,Conductance scale and input impedance are needed for amplitude.,Descriptive comparison across designed/sensitivity rows; not population inference.
A_h_mV,global_uncertainty_N96,synaptic_conductance_scale,0.9833803570123958,4.858421604041488,0.09667946239167216,0.09667946239167216,dynamic_SMI_abs abs_spearman=0.11877907854062085,SMI is insufficient for amplitude prediction.,Conductance scale and input impedance are needed for amplitude.,Descriptive comparison across designed/sensitivity rows; not population inference.
A_h_mV,matched_neck_heterogeneous_load,SMI,1.0,0.0025468134172563378,1.0,1.0,,SMI is insufficient for amplitude prediction.,Conductance scale and input impedance are needed for amplitude.,Descriptive comparison across designed/sensitivity rows; not population inference.
A_h_mV,passive_morphology_challenge,Zin_Mohm,0.7756003065880958,1.55992069877992,0.04761950204731752,0.05742005428760636,Zin_Mohm abs_spearman=0.7756003065880958,SMI is insufficient for amplitude prediction.,Conductance scale and input impedance are needed for amplitude.,Descriptive comparison across designed/sensitivity rows; not population inference.
A_h_mV,progressive_uncertainty_N192,synaptic_conductance_scale,0.9798923898549449,4.913274467691638,0.16406909636768044,0.16406909636768044,dynamic_SMI_abs abs_spearman=0.1873395680769145,SMI is insufficient for amplitude prediction.,Conductance scale and input impedance are needed for amplitude.,Descriptive comparison across designed/sensitivity rows; not population inference.
A_h_mV,progressive_uncertainty_N384,synaptic_conductance_scale,0.9828692875757745,4.861617212450507,0.12207146568959056,0.12207146568959056,dynamic_SMI_abs abs_spearman=0.11651432891175081,SMI is insufficient for amplitude prediction.,Conductance scale and input impedance are needed for amplitude.,Descriptive comparison across designed/sensitivity rows; not population inference.
