target,target_family,regime,model,predictors,n_rows,in_sample_r2,in_sample_mae,in_sample_rmse,cv_r2,cv_mae,cv_rmse,cv_note,coefficients,coefficient_signs,method
observed_Gamma_h_to_d,local_transfer,all_nonexploratory,SMI_linear,SMI,3584,0.6304847309176709,0.050378908831006965,0.09106599283721213,0.6272233530996758,0.050415157173717806,0.09146698864294507,5_fold_seed_202608_descriptive,intercept=0.893944726; SMI=-0.512660328,SMI:negative,ordinary_least_squares_descriptive
observed_Gamma_h_to_d,local_transfer,all_nonexploratory,Gamma_divider_linear,Gamma_divider,3584,0.8800423812532867,0.02934007808474437,0.05188644910117331,0.8795782917755841,0.029382226228776395,0.05198672080652083,5_fold_seed_202608_descriptive,intercept=-0.604386331; Gamma_divider=1.58649749,Gamma_divider:positive,ordinary_least_squares_descriptive
observed_Gamma_h_to_d,local_transfer,all_nonexploratory,log10_R_neck_linear,log10_R_neck_Mohm,3576,0.5168097277723163,0.06295837982875202,0.10420776325329012,0.5152357067457085,0.06303897997079252,0.10437735674117671,5_fold_seed_202608_descriptive,intercept=1.29808201; log10_R_neck_Mohm=-0.338136483,log10_R_neck_Mohm:negative,ordinary_least_squares_descriptive
observed_Gamma_h_to_d,local_transfer,all_nonexploratory,log10_R_in_d_linear,log10_R_in_d_Mohm,3580,0.1773554077970252,0.08738417796334379,0.13593289075699208,0.1751009804550211,0.08745329037950142,0.13611902287369484,5_fold_seed_202608_descriptive,intercept=-0.283214696; log10_R_in_d_Mohm=0.451849085,log10_R_in_d_Mohm:positive,ordinary_least_squares_descriptive
observed_Gamma_h_to_d,local_transfer,all_nonexploratory,component_pair_log10_OLS,log10_R_neck_Mohm;log10_R_in_d_Mohm,3576,0.7717657401191538,0.053434265902457534,0.07161951919473104,0.77051698430128,0.05351131095082172,0.07181518064204939,5_fold_seed_202608_descriptive,intercept=-0.00596900109; log10_R_neck_Mohm=-0.365058853; log10_R_in_d_Mohm=0.545311126,log10_R_neck_Mohm:negative; log10_R_in_d_Mohm:positive,ordinary_least_squares_descriptive
observed_Gamma_h_to_d,local_transfer,all_nonexploratory,component_pair_raw_OLS,R_neck_Mohm;R_in_d_Mohm,3576,0.6204077691194121,0.05564595902430087,0.09236334240212613,0.6105242189045181,0.055864307019881515,0.0935580607974584,5_fold_seed_202608_descriptive,intercept=0.728837881; R_neck_Mohm=-0.00261577293; R_in_d_Mohm=0.000615672806,R_neck_Mohm:negative; R_in_d_Mohm:positive,ordinary_least_squares_descriptive
observed_Gamma_h_to_d,local_transfer,all_nonexploratory,impedance_pair_OLS,log10_Zin_Mohm;transfer_gain,3143,0.03762330449682094,0.05283392292607114,0.07228821011862606,-0.03375959824500008,0.05293139253546818,0.0749211957542383,5_fold_seed_202608_descriptive,intercept=1.89378225; log10_Zin_Mohm=-0.437255699; transfer_gain=-0.765383127,log10_Zin_Mohm:negative; transfer_gain:negative,ordinary_least_squares_descriptive
observed_Gamma_h_to_d,local_transfer,all_nonexploratory,dynamic_plus_transfer_gain_OLS,dynamic_SMI_abs;transfer_gain,3072,0.9894403040022155,0.004533059629069604,0.00607345670080138,0.9893835325069708,0.004538342216726131,0.00608976100675607,5_fold_seed_202608_descriptive,intercept=0.975134342; dynamic_SMI_abs=-0.689251137; transfer_gain=0.0263897569,dynamic_SMI_abs:negative; transfer_gain:positive,ordinary_least_squares_descriptive
observed_Gamma_h_to_d,local_transfer,all_nonexploratory,synaptic_plus_components_OLS,log10_R_neck_Mohm;log10_R_in_d_Mohm;synaptic_conductance_scale,3072,0.9486911384314407,0.00986287980635321,0.013387713853155129,0.9485632941659778,0.009879962386043528,0.013404382295720158,5_fold_seed_202608_descriptive,intercept=1.22145205; log10_R_neck_Mohm=-0.259185154; log10_R_in_d_Mohm=-0.000431801069; synaptic_conductance_scale=0.00137716483,log10_R_neck_Mohm:negative; log10_R_in_d_Mohm:negative; synaptic_conductance_scale:positive,ordinary_least_squares_descriptive
observed_Gamma_h_to_d,local_transfer,active_nonlinear_challenge,SMI_linear,SMI,47,0.8922580722756558,0.036895919844323506,0.04897120910768593,0.8848882519352161,0.037745415442048215,0.05061838452734934,5_fold_seed_202608_descriptive,intercept=0.849133391; SMI=-0.534969864,SMI:negative,ordinary_least_squares_descriptive
observed_Gamma_h_to_d,local_transfer,active_nonlinear_challenge,Gamma_divider_linear,Gamma_divider,47,0.9139581877242254,0.03292122347856471,0.04376261154449561,0.9064474357693093,0.03381324276232146,0.045632714510322296,5_fold_seed_202608_descriptive,intercept=-0.238268823; Gamma_divider=1.18955082,Gamma_divider:positive,ordinary_least_squares_descriptive
observed_Gamma_h_to_d,local_transfer,active_nonlinear_challenge,log10_R_neck_linear,log10_R_neck_Mohm,47,0.6252298592712218,0.06537204330303453,0.09133367800127021,0.5883228034997895,0.06923104522409358,0.09572532770570158,5_fold_seed_202608_descriptive,intercept=1.60084428; log10_R_neck_Mohm=-0.453592219,log10_R_neck_Mohm:negative,ordinary_least_squares_descriptive
observed_Gamma_h_to_d,local_transfer,active_nonlinear_challenge,log10_R_in_d_linear,log10_R_in_d_Mohm,47,0.11966968506209552,0.12740827108108738,0.13998170687927086,0.061295762728038494,0.131856557682329,0.14454825235100982,5_fold_seed_202608_descriptive,intercept=-0.496538458; log10_R_in_d_Mohm=0.425058342,log10_R_in_d_Mohm:positive,ordinary_least_squares_descriptive
observed_Gamma_h_to_d,local_transfer,active_nonlinear_challenge,component_pair_log10_OLS,log10_R_neck_Mohm;log10_R_in_d_Mohm,47,0.942758320901217,0.025733923948516098,0.03569477415184539,0.9347063315398186,0.027208713487412276,0.03812272979729553,5_fold_seed_202608_descriptive,intercept=-0.0835047244; log10_R_neck_Mohm=-0.537812356; log10_R_in_d_Mohm=0.715499825,log10_R_neck_Mohm:negative; log10_R_in_d_Mohm:positive,ordinary_least_squares_descriptive
