target,regime,best_scalar_predictor,best_scalar_abs_spearman,SMI_abs_spearman,best_model,best_model_cv_rmse,residual_interpretation
absolute_residual,active_nonlinear_challenge,Zin_Mohm,0.7653922151771637,0.5044673658024068,impedance_pair_OLS,0.025403165971724897,Residual prediction is descriptive and design-dependent; strong residual associations mark departures from the DC divider limit rather than independent validation of SMI.
absolute_residual,all_nonexploratory,dynamic_SMI_abs,0.853168249141717,0.7045260130400622,synaptic_plus_components_OLS,0.007012438885717424,Residual prediction is descriptive and design-dependent; strong residual associations mark departures from the DC divider limit rather than independent validation of SMI.
absolute_residual,baseline_reference_targets,SMI,1.0,1.0,log10_R_neck_linear,0.04518773148581091,Residual prediction is descriptive and design-dependent; strong residual associations mark departures from the DC divider limit rather than independent validation of SMI.
absolute_residual,exploratory_matched_baseline_comparisons,SMI,0.8891294852363679,0.8891294852363679,component_pair_raw_OLS,0.002702155946963539,Residual prediction is descriptive and design-dependent; strong residual associations mark departures from the DC divider limit rather than independent validation of SMI.
absolute_residual,exploratory_mechanistic_decomposition,SMI,0.7637626158259734,0.7637626158259734,Gamma_divider_linear,0.0006509743099104113,Residual prediction is descriptive and design-dependent; strong residual associations mark departures from the DC divider limit rather than independent validation of SMI.
absolute_residual,exploratory_scenario_uncertainty,SMI,0.9971380796192681,0.9971380796192681,Gamma_divider_linear,0.0009439762769871521,Residual prediction is descriptive and design-dependent; strong residual associations mark departures from the DC divider limit rather than independent validation of SMI.
absolute_residual,exploratory_scenarios,dynamic_SMI_abs,0.9277173833298088,0.8891294852363679,dynamic_plus_transfer_gain_OLS,0.002183169459629911,Residual prediction is descriptive and design-dependent; strong residual associations mark departures from the DC divider limit rather than independent validation of SMI.
absolute_residual,fixed_load_geometry_sweep,SMI,0.9526145163407271,0.9526145163407271,component_pair_log10_OLS,0.07791143970480045,Residual prediction is descriptive and design-dependent; strong residual associations mark departures from the DC divider limit rather than independent validation of SMI.
absolute_residual,global_uncertainty_N96,dynamic_SMI_abs,0.8595248437050147,0.6019220600998455,component_pair_raw_OLS,0.0063648582582978164,Residual prediction is descriptive and design-dependent; strong residual associations mark departures from the DC divider limit rather than independent validation of SMI.
absolute_residual,matched_neck_heterogeneous_load,SMI,1.0,1.0,Gamma_divider_linear,0.003056448938481777,Residual prediction is descriptive and design-dependent; strong residual associations mark departures from the DC divider limit rather than independent validation of SMI.
absolute_residual,passive_morphology_challenge,transfer_gain,0.8527246067375862,0.5928409566808246,component_pair_log10_OLS,0.06207977801908501,Residual prediction is descriptive and design-dependent; strong residual associations mark departures from the DC divider limit rather than independent validation of SMI.
absolute_residual,progressive_uncertainty_N192,dynamic_SMI_abs,0.8651672392082983,0.642540699304542,component_pair_raw_OLS,0.006978164161167461,Residual prediction is descriptive and design-dependent; strong residual associations mark departures from the DC divider limit rather than independent validation of SMI.
absolute_residual,progressive_uncertainty_N384,dynamic_SMI_abs,0.8466594342553042,0.6147592428407112,synaptic_plus_components_OLS,0.0066737514050671095,Residual prediction is descriptive and design-dependent; strong residual associations mark departures from the DC divider limit rather than independent validation of SMI.
absolute_residual,progressive_uncertainty_N768,dynamic_SMI_abs,0.8553648581663993,0.6315321064336848,synaptic_plus_components_OLS,0.00721197829843224,Residual prediction is descriptive and design-dependent; strong residual associations mark departures from the DC divider limit rather than independent validation of SMI.
absolute_residual,progressive_uncertainty_N96,dynamic_SMI_abs,0.832952403603256,0.5854075395159295,synaptic_plus_components_OLS,0.005969395781898201,Residual prediction is descriptive and design-dependent; strong residual associations mark departures from the DC divider limit rather than independent validation of SMI.
