target,target_family,regime,predictor,predictor_family,n_rows,spearman,abs_spearman,pearson,monotonic_direction
observed_Gamma_h_to_d,local_transfer,all_nonexploratory,SMI,ratio,3584,-0.948575698179522,0.948575698179522,-0.7940306863828822,negative
observed_Gamma_h_to_d,local_transfer,all_nonexploratory,Gamma_divider,analytic_divider,3584,0.9485756522457683,0.9485756522457683,0.9381057409766167,positive
observed_Gamma_h_to_d,local_transfer,all_nonexploratory,R_neck_Mohm,component,3576,-0.9158558031874885,0.9158558031874885,-0.7078660595292455,negative
observed_Gamma_h_to_d,local_transfer,all_nonexploratory,R_in_d_Mohm,component,3580,0.12306110740399971,0.12306110740399971,0.34110877677545975,positive
observed_Gamma_h_to_d,local_transfer,all_nonexploratory,log10_R_neck_Mohm,component_log,3576,-0.9158558031874885,0.9158558031874885,-0.7188947960392517,negative
observed_Gamma_h_to_d,local_transfer,all_nonexploratory,log10_R_in_d_Mohm,component_log,3580,0.12306110740399971,0.12306110740399971,0.4211358543237852,positive
observed_Gamma_h_to_d,local_transfer,all_nonexploratory,Zin_Mohm,impedance,3143,-0.028117861639688293,0.028117861639688293,-0.24287846302550203,negative
observed_Gamma_h_to_d,local_transfer,all_nonexploratory,Ztransfer_Mohm,impedance,3096,0.05184761984837162,0.05184761984837162,0.05958365464164746,positive
observed_Gamma_h_to_d,local_transfer,all_nonexploratory,transfer_gain,impedance,3143,0.08255665032006046,0.08255665032006046,-0.018383880973921442,positive
observed_Gamma_h_to_d,local_transfer,all_nonexploratory,dynamic_SMI_abs,dynamic_ratio,3072,-0.9991379526954228,0.9991379526954228,-0.9946968884601818,negative
observed_Gamma_h_to_d,local_transfer,all_nonexploratory,synaptic_conductance_scale,synaptic,3072,0.0026983245076933533,0.0026983245076933533,0.009440283207408395,positive
observed_Gamma_h_to_d,local_transfer,active_nonlinear_challenge,SMI,ratio,47,-0.9249061498523895,0.9249061498523895,-0.9445941309767153,negative
observed_Gamma_h_to_d,local_transfer,active_nonlinear_challenge,Gamma_divider,analytic_divider,47,0.9249061498523895,0.9249061498523895,0.9560116043878469,positive
observed_Gamma_h_to_d,local_transfer,active_nonlinear_challenge,R_neck_Mohm,component,47,-0.7565491630938964,0.7565491630938964,-0.7189357759320255,negative
observed_Gamma_h_to_d,local_transfer,active_nonlinear_challenge,R_in_d_Mohm,component,47,0.4038999765276994,0.4038999765276994,0.3110170924095389,positive
observed_Gamma_h_to_d,local_transfer,active_nonlinear_challenge,log10_R_neck_Mohm,component_log,47,-0.7565491630938964,0.7565491630938964,-0.7907147774458384,negative
observed_Gamma_h_to_d,local_transfer,active_nonlinear_challenge,log10_R_in_d_Mohm,component_log,47,0.4038999765276994,0.4038999765276994,0.34593306442445687,positive
observed_Gamma_h_to_d,local_transfer,active_nonlinear_challenge,Zin_Mohm,impedance,47,0.38032057040453143,0.38032057040453143,0.30881253492123034,positive
observed_Gamma_h_to_d,local_transfer,active_nonlinear_challenge,transfer_gain,impedance,47,-0.38032057040453143,0.38032057040453143,-0.4360905615026218,negative
observed_Gamma_h_to_d,local_transfer,baseline_reference_targets,SMI,ratio,3,-1.0,1.0,-0.9829858312888933,negative
observed_Gamma_h_to_d,local_transfer,baseline_reference_targets,Gamma_divider,analytic_divider,3,1.0,1.0,0.9950189457088496,positive
observed_Gamma_h_to_d,local_transfer,baseline_reference_targets,R_neck_Mohm,component,3,-1.0,1.0,-0.9829858312888933,negative
observed_Gamma_h_to_d,local_transfer,baseline_reference_targets,R_in_d_Mohm,component,3,,,,undefined
observed_Gamma_h_to_d,local_transfer,baseline_reference_targets,log10_R_neck_Mohm,component_log,3,-1.0,1.0,-0.9609719335912311,negative
observed_Gamma_h_to_d,local_transfer,baseline_reference_targets,log10_R_in_d_Mohm,component_log,3,,,,undefined
observed_Gamma_h_to_d,local_transfer,exploratory_matched_baseline_comparisons,SMI,ratio,27,-0.8444318366114655,0.8444318366114655,-0.7231737854123367,negative
observed_Gamma_h_to_d,local_transfer,exploratory_matched_baseline_comparisons,Gamma_divider,analytic_divider,27,0.8444318366114655,0.8444318366114655,0.7228539040369859,positive
observed_Gamma_h_to_d,local_transfer,exploratory_matched_baseline_comparisons,R_neck_Mohm,component,27,-0.4551465905871698,0.4551465905871698,-0.23629672656676906,negative
observed_Gamma_h_to_d,local_transfer,exploratory_matched_baseline_comparisons,R_in_d_Mohm,component,27,0.8535247333498628,0.8535247333498628,0.9499244773900725,positive
observed_Gamma_h_to_d,local_transfer,exploratory_matched_baseline_comparisons,log10_R_neck_Mohm,component_log,27,-0.4551465905871698,0.4551465905871698,-0.23500386711696042,negative
observed_Gamma_h_to_d,local_transfer,exploratory_matched_baseline_comparisons,log10_R_in_d_Mohm,component_log,27,0.8535247333498628,0.8535247333498628,0.9499249190747926,positive
observed_Gamma_h_to_d,local_transfer,exploratory_mechanistic_decomposition,SMI,ratio,8,-0.8455943246644705,0.8455943246644705,-0.9996614227026418,negative
observed_Gamma_h_to_d,local_transfer,exploratory_mechanistic_decomposition,Gamma_divider,analytic_divider,8,0.8455943246644705,0.8455943246644705,0.999661495641897,positive
observed_Gamma_h_to_d,local_transfer,exploratory_mechanistic_decomposition,Zin_Mohm,impedance,8,-0.05073462894318411,0.05073462894318411,-0.36403880778267295,negative
observed_Gamma_h_to_d,local_transfer,exploratory_scenario_uncertainty,SMI,ratio,72,-0.9995498102771884,0.9995498102771884,-0.9989426464477386,negative
observed_Gamma_h_to_d,local_transfer,exploratory_scenario_uncertainty,Gamma_divider,analytic_divider,72,0.9995498102771884,0.9995498102771884,0.9994851908049938,positive
observed_Gamma_h_to_d,local_transfer,exploratory_scenario_uncertainty,R_neck_Mohm,component,72,-0.999485497459644,0.999485497459644,-0.9989446272375523,negative
observed_Gamma_h_to_d,local_transfer,exploratory_scenario_uncertainty,R_in_d_Mohm,component,72,0.1228053251012927,0.1228053251012927,0.19907480847090453,positive
observed_Gamma_h_to_d,local_transfer,exploratory_scenario_uncertainty,log10_R_neck_Mohm,component_log,72,-0.999485497459644,0.999485497459644,-0.9899602231110193,negative
observed_Gamma_h_to_d,local_transfer,exploratory_scenario_uncertainty,log10_R_in_d_Mohm,component_log,72,0.1228053251012927,0.1228053251012927,0.19908192778189504,positive
observed_Gamma_h_to_d,local_transfer,exploratory_scenario_uncertainty,Zin_Mohm,impedance,72,0.1228053251012927,0.1228053251012927,0.19908563571199442,positive
observed_Gamma_h_to_d,local_transfer,exploratory_scenario_uncertainty,Ztransfer_Mohm,impedance,72,0.1228053251012927,0.1228053251012927,0.1990853280526603,positive
observed_Gamma_h_to_d,local_transfer,exploratory_scenario_uncertainty,transfer_gain,impedance,72,0.1228053251012927,0.1228053251012927,0.19908938767583761,positive
observed_Gamma_h_to_d,local_transfer,exploratory_scenario_uncertainty,dynamic_SMI_abs,dynamic_ratio,72,-0.999485497459644,0.999485497459644,-0.9989439682296812,negative
observed_Gamma_h_to_d,local_transfer,exploratory_scenario_uncertainty,synaptic_conductance_scale,synaptic,72,-0.23924368126567627,0.23924368126567627,-0.18547556864080586,negative
observed_Gamma_h_to_d,local_transfer,exploratory_scenarios,SMI,ratio,27,-0.8444318366114655,0.8444318366114655,-0.7231737854123367,negative
observed_Gamma_h_to_d,local_transfer,exploratory_scenarios,Gamma_divider,analytic_divider,27,0.8444318366114655,0.8444318366114655,0.7228539040369859,positive
observed_Gamma_h_to_d,local_transfer,exploratory_scenarios,R_neck_Mohm,component,27,-0.4551465905871698,0.4551465905871698,-0.23629672656676906,negative
observed_Gamma_h_to_d,local_transfer,exploratory_scenarios,R_in_d_Mohm,component,27,0.8535247333498628,0.8535247333498628,0.9499244773900725,positive
observed_Gamma_h_to_d,local_transfer,exploratory_scenarios,log10_R_neck_Mohm,component_log,27,-0.4551465905871698,0.4551465905871698,-0.23500386711696042,negative
observed_Gamma_h_to_d,local_transfer,exploratory_scenarios,log10_R_in_d_Mohm,component_log,27,0.8535247333498628,0.8535247333498628,0.9499249190747926,positive
observed_Gamma_h_to_d,local_transfer,exploratory_scenarios,Zin_Mohm,impedance,27,0.8535247333498628,0.8535247333498628,0.9499090171535316,positive
observed_Gamma_h_to_d,local_transfer,exploratory_scenarios,Ztransfer_Mohm,impedance,27,-0.6715231357973185,0.6715231357973185,-0.9498512238124248,negative
observed_Gamma_h_to_d,local_transfer,exploratory_scenarios,transfer_gain,impedance,27,-0.6715231357973185,0.6715231357973185,-0.9499022514002158,negative
observed_Gamma_h_to_d,local_transfer,exploratory_scenarios,dynamic_SMI_abs,dynamic_ratio,27,-0.8945961041329386,0.8945961041329386,-0.8475788851793755,negative
observed_Gamma_h_to_d,local_transfer,exploratory_scenarios,synaptic_conductance_scale,synaptic,27,-0.2057773611073928,0.2057773611073928,-0.03894625164671377,negative
observed_Gamma_h_to_d,local_transfer,fixed_load_geometry_sweep,SMI,ratio,400,-0.9999999999999999,0.9999999999999999,-0.7586190862304991,negative
observed_Gamma_h_to_d,local_transfer,fixed_load_geometry_sweep,Gamma_divider,analytic_divider,400,0.9999999999999999,0.9999999999999999,0.9416933060233759,positive
observed_Gamma_h_to_d,local_transfer,fixed_load_geometry_sweep,R_neck_Mohm,component,400,-0.9999999999999999,0.9999999999999999,-0.7586190862304983,negative
observed_Gamma_h_to_d,local_transfer,fixed_load_geometry_sweep,R_in_d_Mohm,component,400,,,2.9817150002298234e-17,undefined
observed_Gamma_h_to_d,local_transfer,fixed_load_geometry_sweep,log10_R_neck_Mohm,component_log,400,-0.9999999999999999,0.9999999999999999,-0.9494066669100885,negative
observed_Gamma_h_to_d,local_transfer,fixed_load_geometry_sweep,log10_R_in_d_Mohm,component_log,400,,,-2.9817150002298234e-17,undefined
observed_Gamma_h_to_d,local_transfer,global_uncertainty_N96,SMI,ratio,192,-0.9145144670702673,0.9145144670702673,-0.9345248304079776,negative
observed_Gamma_h_to_d,local_transfer,global_uncertainty_N96,Gamma_divider,analytic_divider,192,0.9145144670702673,0.9145144670702673,0.9376989694572462,positive
observed_Gamma_h_to_d,local_transfer,global_uncertainty_N96,R_neck_Mohm,component,192,-0.9986503541765381,0.9986503541765381,-0.9948464053618121,negative
observed_Gamma_h_to_d,local_transfer,global_uncertainty_N96,R_in_d_Mohm,component,192,0.02118741778404657,0.02118741778404657,0.041629935967443306,positive
observed_Gamma_h_to_d,local_transfer,global_uncertainty_N96,log10_R_neck_Mohm,component_log,192,-0.9986503541765381,0.9986503541765381,-0.971979063442817,negative
observed_Gamma_h_to_d,local_transfer,global_uncertainty_N96,log10_R_in_d_Mohm,component_log,192,0.02118741778404657,0.02118741778404657,0.041948910564121554,positive
observed_Gamma_h_to_d,local_transfer,global_uncertainty_N96,Zin_Mohm,impedance,192,0.07094461707106886,0.07094461707106886,0.07168228414106294,positive
observed_Gamma_h_to_d,local_transfer,global_uncertainty_N96,Ztransfer_Mohm,impedance,192,0.07959863278567944,0.07959863278567944,0.06470283097212555,positive
observed_Gamma_h_to_d,local_transfer,global_uncertainty_N96,transfer_gain,impedance,192,0.07603800719777148,0.07603800719777148,0.0628006488658857,positive
observed_Gamma_h_to_d,local_transfer,global_uncertainty_N96,dynamic_SMI_abs,dynamic_ratio,192,-0.9987385220482387,0.9987385220482387,-0.994813919020462,negative
observed_Gamma_h_to_d,local_transfer,global_uncertainty_N96,synaptic_conductance_scale,synaptic,192,0.04050974597442707,0.04050974597442707,0.0431388732298689,positive
