derived_file,source_file,transformation,notes
phase2_standardized_descriptor_table.csv,results\phase02\Figure2_representative_summary.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_standardized_descriptor_table.csv,results\phase02\Figure3_geometry_sweep.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_standardized_descriptor_table.csv,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_standardized_descriptor_table.csv,results\phase02\convergence_dt_intermediate.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_standardized_descriptor_table.csv,results\phase03\smi_challenge_suite.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_standardized_descriptor_table.csv,results\phase03\spatial_convergence.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_standardized_descriptor_table.csv,results\phase04\active_smi_challenge_suite.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_standardized_descriptor_table.csv,results\phase05\global_uncertainty_samples.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_standardized_descriptor_table.csv,results\phase05_1\global_uncertainty_samples_N192.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_standardized_descriptor_table.csv,results\phase05_1\global_uncertainty_samples_N384.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_standardized_descriptor_table.csv,results\phase05_1\global_uncertainty_samples_N768.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_standardized_descriptor_table.csv,results\phase05_1\global_uncertainty_samples_N96.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_standardized_descriptor_table.csv,results\phase06\matched_baseline_comparisons.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_standardized_descriptor_table.csv,results\phase06\mechanistic_decomposition.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_standardized_descriptor_table.csv,results\phase06\scenario_metrics.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_standardized_descriptor_table.csv,results\phase06\scenario_uncertainty_samples.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_standardized_descriptor_table.csv,results\revision_restart\phase1\phase1_divider_residual_rows.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_scalar_descriptor_correlations.csv,results\phase02\Figure2_representative_summary.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_scalar_descriptor_correlations.csv,results\phase02\Figure3_geometry_sweep.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_scalar_descriptor_correlations.csv,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_scalar_descriptor_correlations.csv,results\phase02\convergence_dt_intermediate.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_scalar_descriptor_correlations.csv,results\phase03\smi_challenge_suite.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_scalar_descriptor_correlations.csv,results\phase03\spatial_convergence.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_scalar_descriptor_correlations.csv,results\phase04\active_smi_challenge_suite.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_scalar_descriptor_correlations.csv,results\phase05\global_uncertainty_samples.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_scalar_descriptor_correlations.csv,results\phase05_1\global_uncertainty_samples_N192.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_scalar_descriptor_correlations.csv,results\phase05_1\global_uncertainty_samples_N384.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_scalar_descriptor_correlations.csv,results\phase05_1\global_uncertainty_samples_N768.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_scalar_descriptor_correlations.csv,results\phase05_1\global_uncertainty_samples_N96.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_scalar_descriptor_correlations.csv,results\phase06\matched_baseline_comparisons.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_scalar_descriptor_correlations.csv,results\phase06\mechanistic_decomposition.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_scalar_descriptor_correlations.csv,results\phase06\scenario_metrics.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_scalar_descriptor_correlations.csv,results\phase06\scenario_uncertainty_samples.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_scalar_descriptor_correlations.csv,results\revision_restart\phase1\phase1_divider_residual_rows.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_ratio_vs_components_model_comparison.csv,results\phase02\Figure2_representative_summary.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_ratio_vs_components_model_comparison.csv,results\phase02\Figure3_geometry_sweep.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_ratio_vs_components_model_comparison.csv,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_ratio_vs_components_model_comparison.csv,results\phase02\convergence_dt_intermediate.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_ratio_vs_components_model_comparison.csv,results\phase03\smi_challenge_suite.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_ratio_vs_components_model_comparison.csv,results\phase03\spatial_convergence.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_ratio_vs_components_model_comparison.csv,results\phase04\active_smi_challenge_suite.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_ratio_vs_components_model_comparison.csv,results\phase05\global_uncertainty_samples.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_ratio_vs_components_model_comparison.csv,results\phase05_1\global_uncertainty_samples_N192.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_ratio_vs_components_model_comparison.csv,results\phase05_1\global_uncertainty_samples_N384.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_ratio_vs_components_model_comparison.csv,results\phase05_1\global_uncertainty_samples_N768.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_ratio_vs_components_model_comparison.csv,results\phase05_1\global_uncertainty_samples_N96.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_ratio_vs_components_model_comparison.csv,results\phase06\matched_baseline_comparisons.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_ratio_vs_components_model_comparison.csv,results\phase06\mechanistic_decomposition.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_ratio_vs_components_model_comparison.csv,results\phase06\scenario_metrics.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_ratio_vs_components_model_comparison.csv,results\phase06\scenario_uncertainty_samples.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_ratio_vs_components_model_comparison.csv,results\revision_restart\phase1\phase1_divider_residual_rows.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_target_specific_descriptor_summary.csv,results\phase02\Figure2_representative_summary.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_target_specific_descriptor_summary.csv,results\phase02\Figure3_geometry_sweep.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_target_specific_descriptor_summary.csv,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_target_specific_descriptor_summary.csv,results\phase02\convergence_dt_intermediate.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_target_specific_descriptor_summary.csv,results\phase03\smi_challenge_suite.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_target_specific_descriptor_summary.csv,results\phase03\spatial_convergence.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_target_specific_descriptor_summary.csv,results\phase04\active_smi_challenge_suite.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_target_specific_descriptor_summary.csv,results\phase05\global_uncertainty_samples.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_target_specific_descriptor_summary.csv,results\phase05_1\global_uncertainty_samples_N192.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_target_specific_descriptor_summary.csv,results\phase05_1\global_uncertainty_samples_N384.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_target_specific_descriptor_summary.csv,results\phase05_1\global_uncertainty_samples_N768.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_target_specific_descriptor_summary.csv,results\phase05_1\global_uncertainty_samples_N96.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
