phase2_row_id,dataset,regime,condition,source_file,row_id,R_neck_Mohm,R_in_d_omitted_Mohm,R_in_d_attached_Mohm,absolute_difference_Mohm,relative_difference,head_radius_um,head_leak_nS,head_leak_resistance_Mohm,SMI_omitted,SMI_attached,SMI_relative_change,Gamma_divider_omitted,Gamma_divider_attached,Gamma_divider_difference,SMI_class_omitted,SMI_class_attached,class_assignment_changed,method,caveat
0,phase02_baseline_target_cases,baseline_reference_targets,low,results\phase02\Figure2_representative_summary.csv,0,1.2732395447351628,144.48669201520914,144.48659560509182,-9.641011732242077e-05,-6.672594962051753e-07,0.35,4.6181412007769954e-06,216537337.53999367,0.008812157901719677,0.008812163781719643,6.672599415120406e-07,0.9912648179022261,0.9912648121245035,-5.777722633659721e-09,low,low,False,"DC one-port reconstruction from omitted R_in,d plus passive head leak through neck",Uses existing row descriptors only; not a primary simulation rerun.
1,phase02_baseline_target_cases,baseline_reference_targets,intermediate,results\phase02\Figure2_representative_summary.csv,1,16.578639905405762,144.48669201520914,144.48659560509864,-9.641011050121051e-05,-6.6725944899522e-07,0.35,4.6181412007769954e-06,216537337.53999367,0.11474163934530829,0.11474171590780242,6.672598942553348e-07,0.8970688495921831,0.8970687879798585,-6.16123246865996e-08,low,low,False,"DC one-port reconstruction from omitted R_in,d plus passive head leak through neck",Uses existing row descriptors only; not a primary simulation rerun.
2,phase02_baseline_target_cases,baseline_reference_targets,high,results\phase02\Figure2_representative_summary.csv,2,190.9859317102744,144.48669201520914,144.4865956051763,-9.641003285310035e-05,-6.672589115885628e-07,0.35,4.6181412007769954e-06,216537337.53999367,1.3218236852579517,1.3218245672571736,6.672593566878898e-07,0.4306959250822274,0.4306957614723337,-1.6360989374408774e-07,high,high,False,"DC one-port reconstruction from omitted R_in,d plus passive head leak through neck",Uses existing row descriptors only; not a primary simulation rerun.
7,phase02_fixed_load_geometry_sweep,fixed_load_geometry_sweep,row_0,results\phase02\Figure3_geometry_sweep.csv,0,25.98448050479924,144.48669201520914,144.48659560510282,-9.641010632321922e-05,-6.672594200791224e-07,0.35,4.6181412007769954e-06,216537337.53999367,0.17983995717795262,0.1798400771779382,6.672598652170723e-07,0.8475725829729399,0.8475724967674448,-8.6205495075653e-08,low,low,False,"DC one-port reconstruction from omitted R_in,d plus passive head leak through neck",Uses existing row descriptors only; not a primary simulation rerun.
8,phase02_fixed_load_geometry_sweep,fixed_load_geometry_sweep,row_1,results\phase02\Figure3_geometry_sweep.csv,1,14.83856778310284,144.48669201520914,144.48659560509785,-9.641011129701837e-05,-6.672594545030481e-07,0.35,4.6181412007769954e-06,216537337.53999367,0.1026985086041065,0.10269857713070304,6.672598996948741e-07,0.906866194338005,0.9068661379813043,-5.6356700639526025e-08,low,low,False,"DC one-port reconstruction from omitted R_in,d plus passive head leak through neck",Uses existing row descriptors only; not a primary simulation rerun.
9,phase02_fixed_load_geometry_sweep,fixed_load_geometry_sweep,row_2,results\phase02\Figure3_geometry_sweep.csv,2,9.583609091749414,144.48669201520914,144.48659560509552,-9.641011362759855e-05,-6.672594706331161e-07,0.35,4.6181412007769954e-06,216537337.53999367,0.0663286629244762,0.06632870718293424,6.672599157884958e-07,0.9377971677676136,0.9377971288439155,-3.892369804248119e-08,low,low,False,"DC one-port reconstruction from omitted R_in,d plus passive head leak through neck",Uses existing row descriptors only; not a primary simulation rerun.
10,phase02_fixed_load_geometry_sweep,fixed_load_geometry_sweep,row_3,results\phase02\Figure3_geometry_sweep.csv,3,6.695989098091513,144.48669201520914,144.48659560509424,-9.641011490657547e-05,-6.672594794849828e-07,0.35,4.6181412007769954e-06,216537337.53999367,0.0463432929683702,0.046343323891392375,6.672599247255566e-07,0.9557092846298092,0.9557092563853328,-2.8244476424355014e-08,low,low,False,"DC one-port reconstruction from omitted R_in,d plus passive head leak through neck",Uses existing row descriptors only; not a primary simulation rerun.
11,phase02_fixed_load_geometry_sweep,fixed_load_geometry_sweep,row_4,results\phase02\Figure3_geometry_sweep.csv,4,4.941031718886253,144.48669201520914,144.48659560509344,-9.641011570238334e-05,-6.672594849928109e-07,0.35,4.6181412007769954e-06,216537337.53999367,0.03419714058071275,0.034197163399094385,6.672599301609922e-07,0.9669336345665096,0.966933613232221,-2.1334288557994796e-08,low,low,False,"DC one-port reconstruction from omitted R_in,d plus passive head leak through neck",Uses existing row descriptors only; not a primary simulation rerun.
12,phase02_fixed_load_geometry_sweep,fixed_load_geometry_sweep,row_5,results\phase02\Figure3_geometry_sweep.csv,5,3.795411180880844,144.48669201520914,144.48659560509296,-9.64101161855524e-05,-6.672594883368494e-07,0.35,4.6181412007769954e-06,216537337.53999367,0.026268240541359525,0.02626825806910396,6.672599334858772e-07,0.9744041182376424,0.9744041015956909,-1.6641951483542528e-08,low,low,False,"DC one-port reconstruction from omitted R_in,d plus passive head leak through neck",Uses existing row descriptors only; not a primary simulation rerun.
13,phase02_fixed_load_geometry_sweep,fixed_load_geometry_sweep,row_6,results\phase02\Figure3_geometry_sweep.csv,6,3.006517982282912,144.48669201520914,144.4865956050926,-9.641011655503462e-05,-6.672594908940553e-07,0.35,4.6181412007769954e-06,216537337.53999367,0.020808269193168572,0.020808283077692946,6.672599361862738e-07,0.9796158888783149,0.9796158755540688,-1.3324246039836396e-08,low,low,False,"DC one-port reconstruction from omitted R_in,d plus passive head leak through neck",Uses existing row descriptors only; not a primary simulation rerun.
14,phase02_fixed_load_geometry_sweep,fixed_load_geometry_sweep,row_7,results\phase02\Figure3_geometry_sweep.csv,7,2.440269891319596,144.48669201520914,144.48659560509233,-9.641011681083e-05,-6.672594926644286e-07,0.35,4.6181412007769954e-06,216537337.53999367,0.016889236353080362,0.016889247622591162,6.672599379064423e-07,0.9833912723733303,0.9833912614750554,-1.0898274949155962e-08,low,low,False,"DC one-port reconstruction from omitted R_in,d plus passive head leak through neck",Uses existing row descriptors only; not a primary simulation rerun.
15,phase02_fixed_load_geometry_sweep,fixed_load_geometry_sweep,row_8,results\phase02\Figure3_geometry_sweep.csv,8,2.020135787743073,144.48669201520914,144.48659560509216,-9.641011698136026e-05,-6.672594938446775e-07,0.35,4.6181412007769954e-06,216537337.53999367,0.013981466109906002,0.013981475439178227,6.672599390651218e-07,0.986211319854252,0.9862113107804829,-9.07376918046765e-09,low,low,False,"DC one-port reconstruction from omitted R_in,d plus passive head leak through neck",Uses existing row descriptors only; not a primary simulation rerun.
16,phase02_fixed_load_geometry_sweep,fixed_load_geometry_sweep,row_9,results\phase02\Figure3_geometry_sweep.csv,9,1.6998501318394743,144.48669201520914,144.486595605092,-9.641011715189052e-05,-6.672594950249264e-07,0.35,4.6181412007769954e-06,216537337.53999367,0.011764752228257413,0.011764760078405281,6.67259940222063e-07,0.9883720477488989,0.9883720400802519,-7.66864693968472e-09,low,low,False,"DC one-port reconstruction from omitted R_in,d plus passive head leak through neck",Uses existing row descriptors only; not a primary simulation rerun.
