dataset,phase_source,condition,regime,active_or_passive,target_type,source_file,row_id,SMI,observed_Gamma_h_to_d,Gamma_divider,residual,absolute_residual,relative_error,absolute_relative_error,log10_absolute_relative_error,exploratory_only,source_caveat,A_h_mV,Gamma_h_to_s,R_neck_Mohm,R_in_d_Mohm,A_d_mV,A_s_mV,neck_length_um,neck_radius_um,path_length_um,branch_order,membrane_area_um2,Zin_Mohm,Ztransfer_Mohm,transfer_gain,synaptic_conductance_scale,dynamic_SMI_abs,phase2_row_id,head_radius_um,SMI_class,log10_SMI,log10_R_neck_Mohm,log10_R_in_d_Mohm,log10_Zin_Mohm,log10_Ztransfer_Mohm,log10_transfer_gain,log10_dynamic_SMI_abs,source_head_radius_note
phase02_baseline_target_cases,phase02,low,baseline_reference_targets,passive,Gamma_h_to_d_peak,results\phase02\Figure2_representative_summary.csv,0,0.0088121579017196,0.983970315154964,0.9912648179022264,-0.0072945027472622,0.0072945027472622,-0.0073587830572856,0.0073587830572856,-2.133194000228252,False,,1.8234865679095105,0.3566566744312748,1.2732395447351628,144.48669201520914,1.7942566529067645,0.650358655180705,0.25,0.25,,,,,,,,,0,0.35,low,-2.0549177294932277,0.10491011863382857,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_baseline_target_cases,phase02,intermediate,baseline_reference_targets,passive,Gamma_h_to_d_peak,results\phase02\Figure2_representative_summary.csv,1,0.1147416393453083,0.7512821308690512,0.8970688495921831,-0.1457867187231319,0.1457867187231319,-0.1625145258241974,0.1625145258241974,-0.7891078149721585,False,,2.355775379339703,0.2726705858096067,16.578639905405762,144.48669201520914,1.7698519468391791,0.6423506527204054,0.75,0.12,,,,,,,,,1,0.35,low,-0.9402789495247358,1.2195488986023164,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_baseline_target_cases,phase02,high,baseline_reference_targets,passive,Gamma_h_to_d_peak,results\phase02\Figure2_representative_summary.csv,2,1.3218236852579517,0.102132446221615,0.4306959250822274,-0.3285634788606124,0.3285634788606124,-0.7628664673293203,0.7628664673293203,-0.1175514745972264,False,,15.067988039710302,0.0375559476268598,190.9859317102744,144.48669201520914,1.5389304781336517,0.5658925696615108,1.5,0.05,,,,,,,,,2,0.35,high,0.12117352956245746,2.2810013776895097,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_dt_convergence_intermediate,phase02,intermediate,timestep_convergence_intermediate,passive,Gamma_h_to_d_peak,results\phase02\convergence_dt_intermediate.csv,0,0.1147416393453083,0.7507816893591194,0.8970688495921831,-0.1462871602330637,0.1462871602330637,-0.1630723888133753,0.1630723888133753,-0.7876195668635555,False,Validation rows repeat the intermediate reference condition across dt.,2.3565855728830964,0.2724905136992313,,,,,,,,,,,,,,,3,0.35,low,-0.9402789495247358,,,,,,,default 0.35 um used when source row did not carry head size
phase02_dt_convergence_intermediate,phase02,intermediate,timestep_convergence_intermediate,passive,Gamma_h_to_d_peak,results\phase02\convergence_dt_intermediate.csv,1,0.1147416393453083,0.7512821308690512,0.8970688495921831,-0.1457867187231319,0.1457867187231319,-0.1625145258241974,0.1625145258241974,-0.7891078149721585,False,Validation rows repeat the intermediate reference condition across dt.,2.355775379339703,0.2726705858096067,,,,,,,,,,,,,,,4,0.35,low,-0.9402789495247358,,,,,,,default 0.35 um used when source row did not carry head size
phase02_dt_convergence_intermediate,phase02,intermediate,timestep_convergence_intermediate,passive,Gamma_h_to_d_peak,results\phase02\convergence_dt_intermediate.csv,2,0.1147416393453083,0.7515319081478828,0.8970688495921831,-0.1455369414443003,0.1455369414443003,-0.1622360886909214,0.1622360886909214,-0.7898525325170364,False,Validation rows repeat the intermediate reference condition across dt.,2.355356676874796,0.2727603793982138,,,,,,,,,,,,,,,5,0.35,low,-0.9402789495247358,,,,,,,default 0.35 um used when source row did not carry head size
phase02_dt_convergence_intermediate,phase02,intermediate,timestep_convergence_intermediate,passive,Gamma_h_to_d_peak,results\phase02\convergence_dt_intermediate.csv,3,0.1147416393453083,0.7516566788600848,0.8970688495921831,-0.1454121707320983,0.1454121707320983,-0.1620970015826591,0.1620970015826591,-0.7902250185145282,False,Validation rows repeat the intermediate reference condition across dt.,2.355144019013322,0.272805213669198,,,,,,,,,,,,,,,6,0.35,low,-0.9402789495247358,,,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_0,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,0,0.1798399571779526,0.5804850106795345,0.8475725829729399,-0.2670875722934054,0.2670875722934054,-0.3151205898574147,0.3151205898574147,-0.5015232192654907,False,,3.023760490883362,0.2108474160122546,25.98448050479924,144.48669201520914,,0.6375520861427036,0.1,0.035,,,,,,,,,7,0.35,low,-0.7451138095217374,1.414714038605315,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_1,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,1,0.1026985086041065,0.7821561990078774,0.906866194338005,-0.1247099953301276,0.1247099953301276,-0.1375175258585568,0.1375175258585568,-0.8616419498437071,False,,2.266281625099412,0.2838342994511116,14.83856778310284,144.48669201520914,,0.6432484574190184,0.1,0.0463157894736842,,,,,,,,,8,0.35,low,-0.9884358632158656,1.1713919849111867,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_2,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,2,0.0663286629244762,0.8678834787027122,0.9377971677676136,-0.0699136890649013,0.0699136890649013,-0.0745509705806938,0.0745509705806938,-1.127546698084955,False,,2.0520099493889776,0.3148031967624158,9.583609091749414,144.48669201520914,,0.6459792918559332,0.1,0.0576315789473684,,,,,,,,,9,0.35,low,-1.1782987572678025,0.9815290908592497,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
