dataset,source_file,design_type,n_rows,min_SMI,median_SMI,max_SMI,low_threshold,high_threshold,n_low,n_intermediate,n_high,fraction_low,fraction_intermediate,fraction_high,reference_high_isolation_target_covered,claims_about_high_SMI_uncertainty_supported,phase3_recommendation
phase02_baseline_targets,results/phase02/Figure2_representative_summary.csv,reference target cases,3,0.0088121579017196,0.1147416393453083,1.3218236852579517,0.25,0.75,2,0,1,0.6666666666666666,0.0,0.3333333333333333,False,limited,"contains high-SMI rows, but claims remain design-specific"
phase02_fixed_load_geometry_sweep,results/phase02/Figure3_geometry_sweep.csv,designed fixed-load geometry sweep,400,0.0035248631606878,0.10332437116185135,3.596799143559052,0.25,0.75,290,68,42,0.725,0.17,0.105,True,limited,"contains high-SMI rows, but claims remain design-specific"
phase02_matched_neck_load_sweep,results/phase02/Figure4_matched_neck_heterogeneous_load.csv,designed matched-neck load sweep,30,0.4521052631578947,0.616148549459315,3.4421052631578952,0.25,0.75,0,18,12,0.0,0.6,0.4,True,limited,"contains high-SMI rows, but claims remain design-specific"
phase03_passive_morphology_challenge,results/phase03/smi_challenge_suite.csv,designed passive morphology challenge,24,0.1469958973453735,0.31827895257655214,0.8,0.25,0.75,6,12,6,0.25,0.5,0.25,False,limited,"contains high-SMI rows, but claims remain design-specific"
phase04_active_nonlinear_challenge,results/phase04/active_smi_challenge_suite.csv,designed active challenge,47,0.1703479796317179,0.265259968825251,0.8,0.25,0.75,11,20,16,0.23404255319148937,0.425531914893617,0.3404255319148936,False,limited,"contains high-SMI rows, but claims remain design-specific"
phase05_global_uncertainty_N96,results/phase05/global_uncertainty_samples.csv,deterministic uncertainty ensemble,96,0.0198904472387786,0.08129476342646019,0.2606140385439706,0.25,0.75,95,1,0,0.9895833333333334,0.010416666666666666,0.0,False,no,does not support high-SMI uncertainty claims; scope to sampled low/intermediate range
phase05_1_global_uncertainty_N96,results/phase05_1/global_uncertainty_samples_N96.csv,deterministic uncertainty ensemble,96,0.0195468002521984,0.08046800978974805,0.3537256135675415,0.25,0.75,95,1,0,0.9895833333333334,0.010416666666666666,0.0,False,no,does not support high-SMI uncertainty claims; scope to sampled low/intermediate range
phase05_1_global_uncertainty_N192,results/phase05_1/global_uncertainty_samples_N192.csv,deterministic uncertainty ensemble,192,0.0182870949830554,0.0798521152296712,0.2965795790906287,0.25,0.75,191,1,0,0.9947916666666666,0.005208333333333333,0.0,False,no,does not support high-SMI uncertainty claims; scope to sampled low/intermediate range
phase05_1_global_uncertainty_N384,results/phase05_1/global_uncertainty_samples_N384.csv,deterministic uncertainty ensemble,384,0.0159912893622726,0.07783472268332994,0.3191275870065878,0.25,0.75,382,2,0,0.9947916666666666,0.005208333333333333,0.0,False,no,does not support high-SMI uncertainty claims; scope to sampled low/intermediate range
phase05_1_global_uncertainty_N768,results/phase05_1/global_uncertainty_samples_N768.csv,deterministic uncertainty ensemble,768,0.0153452363336609,0.07878732729522336,0.3166475577547006,0.25,0.75,757,11,0,0.9856770833333334,0.014322916666666666,0.0,False,no,does not support high-SMI uncertainty claims; scope to sampled low/intermediate range
phase06_exploratory_scenario_metrics,results/phase06/scenario_metrics.csv,exploratory stress-test scenarios,27,0.0294420731569693,0.0395832316888143,0.08884491529937,0.25,0.75,27,0,0,1.0,0.0,0.0,False,no,no high-SMI coverage
phase06_exploratory_uncertainty_samples,results/phase06/scenario_uncertainty_samples.csv,exploratory stress-test sensitivity screen,72,0.0272768005113277,0.05668944356167745,0.1124897996716215,0.25,0.75,72,0,0,1.0,0.0,0.0,False,no,no high-SMI coverage
phase1_residual_rows,results/revision_restart/phase1/phase1_divider_residual_rows.csv,derived residual rows,3718,0.0035248631606878,0.08008186498909395,3.596799143559052,0.25,0.75,3491,150,77,0.9389456697149005,0.04034427111350188,0.020710059171597635,True,limited,"contains high-SMI rows, but claims remain design-specific"
phase2_standardized_descriptor_rows,results/revision_restart/phase2/phase2_standardized_descriptor_table.csv,derived descriptor rows,3718,0.0035248631606878,0.08008186498909395,3.596799143559052,0.25,0.75,3491,150,77,0.9389456697149005,0.04034427111350188,0.020710059171597635,True,limited,"contains high-SMI rows, but claims remain design-specific"
