interval_or_uncertainty_item,source_file,n_or_denominator,current_interval_type,phase3_classification,recommended_action,replacement_language,notes
active_nonlinear_suite:A_h_mV:bootstrap predictor intervals,results\revision_v2\r3\r3_predictor_comparison_intervals.csv,47,bootstrap_abs_spearman_95_low/high plus CV RMSE,bootstrap stability interval over designed rows,rename and heavily qualify; avoid confidence interval wording,deterministic bootstrap stability range over designed rows,"Useful as robustness check, not population inference."
active_nonlinear_suite:Gamma_h_to_d:bootstrap predictor intervals,results\revision_v2\r3\r3_predictor_comparison_intervals.csv,47,bootstrap_abs_spearman_95_low/high plus CV RMSE,bootstrap stability interval over designed rows,rename and heavily qualify; avoid confidence interval wording,deterministic bootstrap stability range over designed rows,"Useful as robustness check, not population inference."
active_nonlinear_suite:Gamma_h_to_s:bootstrap predictor intervals,results\revision_v2\r3\r3_predictor_comparison_intervals.csv,47,bootstrap_abs_spearman_95_low/high plus CV RMSE,bootstrap stability interval over designed rows,rename and heavily qualify; avoid confidence interval wording,deterministic bootstrap stability range over designed rows,"Useful as robustness check, not population inference."
passive_morphology_suite:A_h_mV:bootstrap predictor intervals,results\revision_v2\r3\r3_predictor_comparison_intervals.csv,24,bootstrap_abs_spearman_95_low/high plus CV RMSE,bootstrap stability interval over designed rows,rename and heavily qualify; avoid confidence interval wording,deterministic bootstrap stability range over designed rows,"Useful as robustness check, not population inference."
passive_morphology_suite:Gamma_h_to_d:bootstrap predictor intervals,results\revision_v2\r3\r3_predictor_comparison_intervals.csv,24,bootstrap_abs_spearman_95_low/high plus CV RMSE,bootstrap stability interval over designed rows,rename and heavily qualify; avoid confidence interval wording,deterministic bootstrap stability range over designed rows,"Useful as robustness check, not population inference."
passive_morphology_suite:Gamma_h_to_s:bootstrap predictor intervals,results\revision_v2\r3\r3_predictor_comparison_intervals.csv,24,bootstrap_abs_spearman_95_low/high plus CV RMSE,bootstrap stability interval over designed rows,rename and heavily qualify; avoid confidence interval wording,deterministic bootstrap stability range over designed rows,"Useful as robustness check, not population inference."
uncertainty_N768_active:active_A_h_mV:bootstrap predictor intervals,results\revision_v2\r3\r3_predictor_comparison_intervals.csv,768,bootstrap_abs_spearman_95_low/high plus CV RMSE,bootstrap stability interval over designed rows,rename and heavily qualify; avoid confidence interval wording,deterministic bootstrap stability range over designed rows,"Useful as robustness check, not population inference."
uncertainty_N768_active:active_Gamma_h_to_d:bootstrap predictor intervals,results\revision_v2\r3\r3_predictor_comparison_intervals.csv,768,bootstrap_abs_spearman_95_low/high plus CV RMSE,bootstrap stability interval over designed rows,rename and heavily qualify; avoid confidence interval wording,deterministic bootstrap stability range over designed rows,"Useful as robustness check, not population inference."
uncertainty_N768_active:active_Gamma_h_to_s:bootstrap predictor intervals,results\revision_v2\r3\r3_predictor_comparison_intervals.csv,768,bootstrap_abs_spearman_95_low/high plus CV RMSE,bootstrap stability interval over designed rows,rename and heavily qualify; avoid confidence interval wording,deterministic bootstrap stability range over designed rows,"Useful as robustness check, not population inference."
uncertainty_N768_active:active_local_voltage_isolation:bootstrap predictor intervals,results\revision_v2\r3\r3_predictor_comparison_intervals.csv,768,bootstrap_abs_spearman_95_low/high plus CV RMSE,bootstrap stability interval over designed rows,rename and heavily qualify; avoid confidence interval wording,deterministic bootstrap stability range over designed rows,"Useful as robustness check, not population inference."
uncertainty_N768_passive:A_h_mV:bootstrap predictor intervals,results\revision_v2\r3\r3_predictor_comparison_intervals.csv,768,bootstrap_abs_spearman_95_low/high plus CV RMSE,bootstrap stability interval over designed rows,rename and heavily qualify; avoid confidence interval wording,deterministic bootstrap stability range over designed rows,"Useful as robustness check, not population inference."
