target,regime,top_scalar_family,top_scalar_family_abs_spearman,near_tied_families,useful_families,weak_families,best_model_family_by_cv_rmse,best_model_family_cv_rmse,target_specific_recommendation,smi_language,caveat
A_h_mV,active_nonlinear_challenge,dynamic/impedance family,0.7124265342587042,dynamic/impedance family; component family,dynamic/impedance family; component family,DC neck/load ratio family,component family,7.129167917256004,Use synaptic-drive and impedance/component context for amplitude.,"Describe SMI as a compact coordinate for the divider family, not as a universal predictor.",Family rankings are descriptive over designed/sensitivity rows and depend on available columns.
A_h_mV,all_nonexploratory,synaptic-drive family,0.9823958636710142,synaptic-drive family,synaptic-drive family,component family; dynamic/impedance family; DC neck/load ratio family,synaptic-drive family,0.7533529016395549,Use synaptic-drive and impedance/component context for amplitude.,"Describe SMI as a compact coordinate for the divider family, not as a universal predictor.",Family rankings are descriptive over designed/sensitivity rows and depend on available columns.
A_h_mV,baseline_reference_targets,DC neck/load ratio family,1.0,DC neck/load ratio family; component family,DC neck/load ratio family; component family,,DC neck/load ratio family,3.864644928461276,Use synaptic-drive and impedance/component context for amplitude.,"Describe SMI as a compact coordinate for the divider family, not as a universal predictor.",Family rankings are descriptive over designed/sensitivity rows and depend on available columns.
A_h_mV,exploratory_matched_baseline_comparisons,component family,0.70290272158224,component family,component family,,component family,8.611788317091243,Use synaptic-drive and impedance/component context for amplitude.,"Describe SMI as a compact coordinate for the divider family, not as a universal predictor.",Family rankings are descriptive over designed/sensitivity rows and depend on available columns.
A_h_mV,exploratory_mechanistic_decomposition,dynamic/impedance family,0.4819789749602489,dynamic/impedance family,,,DC neck/load ratio family,2.239035466666877,Use synaptic-drive and impedance/component context for amplitude.,"Describe SMI as a compact coordinate for the divider family, not as a universal predictor.",Family rankings are descriptive over designed/sensitivity rows and depend on available columns.
A_h_mV,exploratory_scenario_uncertainty,synaptic-drive family,0.9888095697472508,synaptic-drive family,synaptic-drive family,,synaptic-drive family,0.1753454637334865,Use synaptic-drive and impedance/component context for amplitude.,"Describe SMI as a compact coordinate for the divider family, not as a universal predictor.",Family rankings are descriptive over designed/sensitivity rows and depend on available columns.
A_h_mV,exploratory_scenarios,dynamic/impedance family,0.8221451475649413,dynamic/impedance family,dynamic/impedance family; component family,synaptic-drive family,component family,8.611788317091243,Use synaptic-drive and impedance/component context for amplitude.,"Describe SMI as a compact coordinate for the divider family, not as a universal predictor.",Family rankings are descriptive over designed/sensitivity rows and depend on available columns.
A_h_mV,fixed_load_geometry_sweep,DC neck/load ratio family,1.0,DC neck/load ratio family; component family,DC neck/load ratio family; component family,,DC neck/load ratio family,0.6622399665183284,Use synaptic-drive and impedance/component context for amplitude.,"Describe SMI as a compact coordinate for the divider family, not as a universal predictor.",Family rankings are descriptive over designed/sensitivity rows and depend on available columns.
A_h_mV,global_uncertainty_N96,synaptic-drive family,0.9833803570123958,synaptic-drive family,synaptic-drive family,component family; dynamic/impedance family; DC neck/load ratio family,synaptic-drive family,0.6557212839613404,Use synaptic-drive and impedance/component context for amplitude.,"Describe SMI as a compact coordinate for the divider family, not as a universal predictor.",Family rankings are descriptive over designed/sensitivity rows and depend on available columns.
A_h_mV,matched_neck_heterogeneous_load,DC neck/load ratio family,1.0,DC neck/load ratio family; component family,DC neck/load ratio family; component family,,DC neck/load ratio family,0.0002512776329895,Use synaptic-drive and impedance/component context for amplitude.,"Describe SMI as a compact coordinate for the divider family, not as a universal predictor.",Family rankings are descriptive over designed/sensitivity rows and depend on available columns.
A_h_mV,passive_morphology_challenge,dynamic/impedance family,0.7756003065880958,dynamic/impedance family; component family,dynamic/impedance family; component family,DC neck/load ratio family,component family,1.55992069877992,Use synaptic-drive and impedance/component context for amplitude.,"Describe SMI as a compact coordinate for the divider family, not as a universal predictor.",Family rankings are descriptive over designed/sensitivity rows and depend on available columns.
